"","sample","tissue","endometriosis","severity","p37652_at","p202624_s_at","CABIN1"
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.834279,7.346209,8.090244
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.207694,8.286174,8.746934
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.222844,8.064106,8.643475
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.84616,7.540736,8.193448
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.312487,7.623269,8.467878
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.871507,7.594215,8.232861
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.774538,7.509286,8.141912
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.293232,7.994097,8.6436645
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.633728,8.356507,8.9951175
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.281877,8.015463,8.64867
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.513426,8.415223,8.9643245
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.185662,7.861328,8.523495
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.42694,6.036797,6.7318685
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.746269,7.281232,8.0137505
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.004646,7.506088,8.255367
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.848653,6.572463,7.210558
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.684873,7.053771,7.869322
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.239533,8.137409,8.688471
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.865438,7.322436,8.093937
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.279513,7.910917,8.595215
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.515149,7.078464,7.7968065
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.309079,6.922193,7.615636
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.141354,7.605696,8.373525
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.568202,7.342424,7.955313
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.968014,7.446804,8.207409
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.737982,7.207878,7.97293
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.720689,6.968157,7.844423
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.591291,7.095831,7.843561
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.295035,7.648668,8.4718515
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.83355,7.685263,8.2594065
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.759235,7.456037,8.107636
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.246568,7.947573,8.5970705
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.720934,7.180357,7.9506455
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.500016,6.095464,6.79774
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.061734,7.603314,8.332524
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.531486,7.085818,7.808652
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.554791,6.401142,6.9779665
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.260677,6.863294,7.5619855
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.565433,7.562851,8.064142
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.651595,7.256897,7.954246
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.292572,6.869604,7.581088
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.052967,6.509944,7.2814555
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.582954,5.998881,6.7909175
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.312213,7.95755,8.6348815
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.593089,7.370717,7.981903
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.310793,5.412861,6.361827
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.320732,5.699934,6.510333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.427954,6.132302,6.780128
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.897324,5.416111,6.1567175
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.854883,5.489022,6.1719525
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.099512,5.385579,6.2425455
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.467982,5.752181,6.6100815
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.918537,5.598432,6.2584845
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.237245,5.619465,6.428355
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.31792,5.859052,6.588486
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.965539,5.789947,6.377743
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.120869,5.740734,6.4308015
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.484201,6.971281,7.727741
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.135219,5.752294,6.4437565
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.09989,5.660079,6.3799845
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.67188,7.418914,8.045397
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.269605,6.863294,7.5664495
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.44235,6.806167,7.6242585
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.62976,6.987232,7.808496
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.597192,7.969598,8.783395
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.134156,7.350409,8.2422825
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.707756,6.863294,7.785525
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.038982,7.49998,8.269481
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.003659,7.38947,8.1965645
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.216762,7.804384,8.510573
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.255195,7.687235,8.471215
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.232591,6.863294,7.5479425
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.788958,7.202822,7.99589
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.7637,7.386847,8.0752735
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.4537,6.744316,7.599008
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.699507,7.044546,7.8720265
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.176075,7.616029,8.396052
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.632161,8.091909,8.862035
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.900517,7.662352,8.2814345
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.376811,6.723903,7.550357
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.634902,6.863294,7.749098
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.803087,8.285559,9.044323
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.002997,7.500058,8.2515275
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.968506,7.516485,8.2424955
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.376885,7.844977,8.610931
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.276638,7.924629,8.6006335
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.903868,7.431202,8.167535
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.335325,7.764797,8.550061
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.466366,7.90758,8.686973
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.441979,7.015741,7.72886
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.327393,6.927525,7.627459
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.083103,6.873481,7.978292
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.103764,7.427764,8.265764
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.484487,7.470061,8.477274
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.398762,7.75666,8.577711
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.72051,7.82969,8.7751
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.755272,8.203943,8.9796075
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.67515,7.779208,8.727179
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.633844,7.117484,7.875664
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.334926,6.92891,7.631918
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.772497,6.661314,7.2169055
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.315059,6.863294,7.5891765
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.107702,6.662324,7.385013
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.517103,5.911672,6.7143875
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.387045,6.863294,7.6251695
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.631869,7.00024,7.8160545
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.135412,6.863294,7.499353
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.27617,6.766589,7.5213795
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.173678,6.415591,7.2946345
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.903463,5.760459,6.331961
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.810027,6.302494,7.0562605
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.674146,6.382965,7.0285555
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.19175,6.863294,7.527522
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.835276,6.69282,7.264048
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.970473,6.414999,7.192736
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.143582,6.599617,7.3715995
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.481455,5.966755,6.724105
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.123499,6.33208,7.2277895
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.663615,6.767448,7.2155315
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.200485,6.610689,7.405587
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.892544,6.27163,7.082087
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.846502,6.487232,7.166867
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.866382,6.394043,7.1302125
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.47895,6.82275,7.15085
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.485859,6.338505,6.912182
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.153593,6.919796,7.5366945
