"","sample","tissue","endometriosis","severity","p37145_at","p205495_s_at","GNLY"
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.440715,11.426887,11.433801
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.613223,14.818433,14.715828
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.206543,12.188776,12.1976595
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.400842,10.461898,10.43137
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.370433,12.283228,12.3268305
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.829342,11.970315,11.8998285
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.086274,10.009116,10.047695
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.195358,14.30447,14.249914
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.31188,12.2202,12.26604
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.81336,14.901054,14.857207
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.937834,15.069605,15.0037195
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.783551,12.709571,12.746561
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.871678,12.873935,12.8728065
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.488993,14.725292,14.6071425
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.959417,12.988983,12.9742
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.709517,12.617816,12.6636665
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.070249,12.940864,13.0055565
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.47289,14.803296,14.638093
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.014425,13.045262,13.0298435
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.959701,9.709757,9.834729
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.845354,11.97406,11.909707
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.757371,10.792569,10.77497
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.615314,10.318348,10.466831
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.192009,14.477459,14.334734
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.760148,14.779053,14.7696005
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.622606,12.709806,12.666206
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.877739,11.883545,11.880642
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",15.236912,15.235872,15.236392
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.539744,13.679409,13.6095765
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.589463,13.6547,13.6220815
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.626013,10.651989,10.639001
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.217575,9.91892,10.0682475
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.569975,11.60519,11.5875825
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.542576,10.576545,10.5595605
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.672105,8.59159,8.6318475
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.003891,9.150475,9.077183
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.034252,13.08872,13.061486
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.221611,11.322657,11.272134
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.565718,7.455925,7.5108215
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.519703,9.489481,9.504592
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.544886,8.617229,8.5810575
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.343187,11.355627,11.349407
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.950075,7.991049,7.970562
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.638755,11.631367,11.635061
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.97131,12.923404,12.947357
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.762683,10.787572,10.7751275
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.2639,10.164904,10.214402
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.62099,10.751143,10.6860665
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.82944,14.75516,14.7923
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.674989,11.706953,11.690971
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.684173,11.748062,11.7161175
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.746311,14.927287,14.836799
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.252132,13.322937,13.2875345
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",15.06023,15.229979,15.1451045
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.702838,12.607463,12.6551505
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.118927,12.186233,12.15258
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.426186,12.542375,12.4842805
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.719308,11.683017,11.7011625
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.303253,14.279492,14.2913725
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.64738,13.792551,13.7199655
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.058603,14.238454,14.1485285
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.83663,14.020022,13.928326
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",15.136746,15.363621,15.2501835
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.04052,14.220425,14.1304725
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.491845,10.314069,10.402957
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.425428,11.572787,11.4991075
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.344777,11.342244,11.3435105
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.91983,10.901567,10.9106985
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.832257,14.825128,14.8286925
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.799029,11.816883,11.807956
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.29684,13.519877,13.4083585
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.63336,14.769031,14.7011955
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.49778,13.594863,13.5463215
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.961175,12.66009,12.8106325
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.016681,13.00042,13.0085505
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.635385,13.667356,13.6513705
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.590603,10.004049,10.297326
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.983668,11.987866,11.985767
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.241919,11.24681,11.2443645
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.463203,13.557559,13.510381
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.730814,9.82041,9.775612
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.406385,11.585724,11.4960545
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.758451,12.989743,12.874097
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.037144,10.248281,10.1427125
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.035777,8.861439,8.448608
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.707056,10.882152,10.794604
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.520481,8.402202,8.4613415
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.407211,13.443159,13.425185
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.178812,7.09518,7.136996
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.312407,11.380594,11.3465005
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.070004,11.039029,11.0545165
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.677823,12.869967,12.773895
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.064045,8.77109,8.9175675
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.092498,13.177815,13.1351565
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.805286,13.83274,13.819013
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.782284,9.559361,9.6708225
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.346398,13.532379,13.4393885
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.034547,7.904983,7.969765
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.083597,9.097224,9.0904105
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.531732,8.326784,8.429258
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.889154,8.885234,8.887194
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.04637,12.11495,12.08066
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.254689,9.321684,9.2881865
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.874733,10.769829,10.822281
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.18514,14.438706,14.311923
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.515868,9.393983,9.4549255
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.349376,6.745131,7.0472535
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.659144,11.769647,11.7143955
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.923168,10.683212,10.80319
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.351182,6.841036,7.096109
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.381784,13.53568,13.458732
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.425968,9.079284,9.252626
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.19995,8.04771,8.12383
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.975257,8.698929,8.837093
