"","sample","tissue","endometriosis","severity","p219130_at","p232489_at","TRMT13"
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.769396,2.992391,3.3808935
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.564676,4.265483,4.9150795
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.520844,3.569039,3.0449415
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.198484,4.079642,3.639063
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.516654,6.61615,7.066402
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.005564,6.836968,5.921266
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.902421,6.55625,5.7293355
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.624542,3.950365,5.2874535
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.212583,5.730077,5.47133
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.33859,5.817453,5.0780215
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.050064,5.272602,5.661333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.338029,2.992391,3.16521
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.33859,4.809407,4.5739985
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.852572,4.057481,4.9550265
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.363285,3.896189,4.129737
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.841077,5.953741,5.897409
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.944999,3.359094,3.6520465
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.577571,3.896189,4.23688
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.30541,6.653796,4.979603
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.198484,4.588343,3.8934135
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.815465,4.588343,4.201904
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.77073,3.615422,3.693076
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.003841,3.125486,4.5646635
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.496952,6.645007,6.0709795
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.863682,4.588343,5.2260125
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.461458,6.882004,7.171731
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.458454,5.238433,5.8484435
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.154355,5.445305,6.29983
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.09834,3.896189,5.9972645
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.422272,3.923452,5.172862
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.996968,6.249614,6.123291
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.173845,2.236067,4.704956
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.728825,6.654299,6.691562
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.421817,6.240356,6.3310865
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.364702,5.663645,7.0141735
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.544267,4.655577,5.599922
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.167135,3.896189,5.531662
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.040663,5.881293,6.460978
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.86144,5.311052,6.086246
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.924193,7.289468,7.6068305
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.524855,5.944612,6.7347335
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.223122,6.195769,6.7094455
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.84021,7.590004,7.715107
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.344523,6.162202,6.7533625
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.668463,6.509073,7.088768
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.697447,7.310166,7.5038065
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.266955,5.40502,6.3359875
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.72225,3.896189,5.3092195
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.066732,5.176488,6.12161
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.658136,8.024538,6.841337
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.145044,4.812301,5.9786725
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.901758,5.989057,6.4454075
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.555079,3.896189,5.225634
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.871861,4.820306,5.8460835
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.999649,4.617757,5.808703
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.634642,4.829196,5.231919
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.327558,4.593071,4.9603145
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.567355,4.966253,5.266804
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.477484,3.830188,5.153836
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.181226,4.674163,4.9276945
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.727753,5.562965,5.645359
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.116266,5.719241,4.9177535
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.455338,4.588343,4.5218405
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.74621,6.126177,6.4361935
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.940058,5.5327,5.236379
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.917336,4.219774,5.068555
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.184186,5.342068,5.763127
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.301164,7.373442,6.337303
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.318149,7.079704,5.6989265
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.66612,3.896189,4.2811545
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.684996,6.65423,6.669613
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.080844,5.299215,6.1900295
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.418439,4.648138,5.5332885
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.207929,4.588343,4.898136
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.553524,5.629345,5.5914345
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.406587,4.727652,5.0671195
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.905152,2.894609,4.3998805
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.253009,5.313427,5.283218
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.431422,4.568761,5.5000915
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.648302,3.800005,4.7241535
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.488449,4.17253,4.8304895
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.018715,5.256272,5.6374935
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.301951,4.108798,5.7053745
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.417341,7.614644,7.5159925
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.747003,7.137999,6.942501
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.257942,8.255757,7.7568495
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.36552,7.543644,7.454582
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.33109,8.133546,7.732318
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.463515,7.328278,6.8958965
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.271553,7.270976,6.7712645
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.78152,6.853577,7.3175485
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.182573,6.005071,7.093822
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.801311,7.797381,7.799346
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.499693,6.67131,7.0855015
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.665709,4.91401,6.2898595
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.173139,6.919497,7.046318
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.413625,5.513563,6.463594
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.762483,5.481455,6.621969
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.522486,6.684177,7.1033315
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.998092,6.189934,7.094013
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.976223,5.671829,6.324026
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.392675,6.995521,7.194098
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.294688,8.006623,7.6506555
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.875635,8.02431,7.9499725
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.020167,6.662979,7.341573
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.895272,7.468358,7.181815
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.382597,7.214017,7.298307
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.840572,3.869797,5.3551845
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.761033,6.349653,6.555343
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.449165,6.559533,7.004349
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.812507,6.343414,6.5779605
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.693769,4.544503,6.119136
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.58577,3.444865,5.0153175
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.204542,7.51819,7.361366
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.003679,7.061245,7.032462
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.237282,6.520564,6.878923
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.9264,6.747183,6.8367915
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.472215,7.100844,7.2865295
