"","sample","tissue","endometriosis","severity","p207713_s_at","p221827_at","RBCK1"
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.985457,11.051805,10.018631
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.2596,9.796166,9.527883
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.80758,10.585787,9.6966835
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.605414,10.478106,9.04176
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.579834,10.66226,10.121047
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.273877,10.113513,9.693695
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.322953,10.128546,9.2257495
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.733344,10.589131,9.6612375
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.034203,10.858253,9.946228
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.36541,10.453677,9.9095435
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.738558,10.655613,9.6970855
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.149075,9.707031,8.428053
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.786549,9.68546,8.7360045
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.27892,10.29709,9.788005
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.21329,10.253569,9.7334295
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.604766,8.780907,7.6928365
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.081946,8.890245,7.9860955
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.277894,8.668049,7.9729715
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.74867,8.959556,7.854113
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.196659,8.688786,7.9427225
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.726211,8.094699,7.910455
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.646742,8.489798,7.56827
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.057076,8.720392,7.888734
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.99965,8.908555,7.9541025
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.868451,9.000259,7.934355
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.750637,9.592634,8.1716355
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.032811,8.691658,7.8622345
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.812567,9.305582,8.5590745
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.934892,8.667266,7.801079
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.818351,8.344186,7.5812685
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.63787,10.536293,9.5870815
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.482785,9.461962,8.9723735
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.003231,9.951756,9.4774935
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.701255,11.443161,10.572208
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.90034,10.988672,10.444506
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.66128,11.186637,10.4239585
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.71447,9.992201,9.3533355
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.260305,10.498313,9.879309
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.712873,9.976275,9.344574
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.127159,11.076559,10.101859
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.392497,9.86848,9.6304885
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.403848,10.166587,9.2852175
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.973952,10.888471,9.9312115
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.345181,9.846315,9.095748
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.683223,11.257763,9.970493
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.823288,10.991645,9.9074665
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.281606,10.868982,10.075294
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.466643,11.099391,10.283017
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.809123,9.970243,9.389683
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.181456,9.324924,8.75319
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.855049,10.748175,9.801612
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.685773,10.696459,10.191116
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.886729,9.83309,9.3599095
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.02691,10.531909,9.7794095
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.0351,10.434006,9.734553
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.892594,9.55012,9.221357
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.396563,10.089346,9.2429545
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.986634,10.146747,9.5666905
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.456547,10.63766,10.0471035
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.894924,10.34633,9.620627
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.779625,10.357502,9.5685635
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.249348,9.152854,8.701101
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.80713,7.970503,7.8888165
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.374253,8.042675,8.208464
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.294415,8.521031,8.407723
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.399925,7.258186,7.3290555
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.258337,6.93993,7.0991335
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.890587,6.807394,7.3489905
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.101313,7.683597,7.892455
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.454152,7.94878,7.701466
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.611268,8.439718,7.525493
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.474911,7.985006,7.7299585
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.948873,7.90858,7.4287265
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.010341,8.943583,7.476962
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.849131,7.999074,7.4241025
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.132292,9.1653,8.648796
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.785496,9.24846,8.516978
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.628561,7.315424,7.4719925
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.753481,8.203056,7.4782685
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.999197,8.538474,7.2688355
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.560879,8.317415,7.439147
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.526886,8.400151,7.4635185
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.561487,8.476645,8.019066
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.770643,8.683362,7.7270025
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.873426,8.03557,7.454498
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.638676,7.96754,7.303108
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.846362,9.790934,8.318648
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.362224,7.745768,7.553996
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.581949,8.691924,7.6369365
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.777563,8.009334,7.3934485
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.439061,8.44297,7.4410155
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.359525,8.82819,7.5938575
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.504145,8.785533,8.144839
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.320406,8.583775,7.4520905
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.871559,8.397279,7.134419
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.324251,8.249957,7.287104
