"","sample","tissue","endometriosis","severity","p217457_s_at","p229905_at","RAP1GDS1"
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.510207,5.691202,5.6007045
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.003267,3.650444,3.8268555
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.99636,5.094355,5.0453575
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.262872,4.656875,4.9598735
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.623173,4.112047,4.86761
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.542637,5.097334,5.3199855
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.522302,4.12048,4.821391
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.165898,6.784176,5.975037
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.166273,4.112047,4.13916
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.185839,3.650444,4.4181415
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.586833,5.087058,4.8369455
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.111112,4.112047,4.6115795
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.321582,4.112047,4.2168145
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.338411,4.112047,5.225229
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.940686,3.978541,4.4596135
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.954561,5.305403,5.129982
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.515251,4.849949,5.6826
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.203384,7.957016,7.0802
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.135916,5.43061,5.283263
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.212602,6.769182,6.990892
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.618512,7.31822,7.468366
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.165243,6.458295,6.311769
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.153658,5.354929,5.7542935
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.35774,6.661757,7.0097485
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.781742,7.015977,6.8988595
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.412021,6.938855,6.675438
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.786166,7.837451,7.3118085
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.951559,4.8132,5.3823795
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.005791,6.661515,6.833653
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.699128,5.601333,6.6502305
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.227649,5.413177,6.320413
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.469107,4.656875,6.062991
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.566724,5.564897,6.5658105
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.071712,5.104453,6.0880825
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.597653,4.656875,6.127264
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.703762,4.656875,6.1803185
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.744512,4.845039,6.2947755
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.684432,5.680876,6.682654
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.211573,5.489917,6.350745
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.0398,5.173666,6.606733
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.662122,6.145619,6.9038705
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.324847,4.292953,5.3089
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.709214,5.655445,6.6823295
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.45937,5.371449,6.4154095
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.21776,5.65074,6.43425
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.621863,7.438205,7.030034
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.054762,6.183682,6.619222
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.861547,5.041481,5.951514
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.341321,3.650444,3.9958825
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.467581,4.656875,5.562228
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.826849,6.357051,6.59195
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.595966,4.334109,5.4650375
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.313995,5.459025,5.88651
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.962012,3.650444,4.306228
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.769859,3.650444,4.7101515
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.622175,6.779859,6.701017
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.469182,5.273383,5.3712825
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.876942,5.097079,5.9870105
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.34511,6.13135,6.23823
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.64707,4.890885,5.2689775
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.910196,3.650444,3.78032
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.910196,4.112047,4.0111215
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.377657,5.574448,5.9760525
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.103775,5.89411,6.4989425
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.631864,6.026429,6.3291465
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.163935,3.650444,3.9071895
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.985832,5.959104,5.972468
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.31325,4.399513,5.3563815
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.857624,6.209181,6.0334025
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.61192,3.650444,3.631182
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.1576,5.956889,6.0572445
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.507841,4.799634,5.6537375
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.974125,4.575298,5.2747115
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.008837,4.8132,5.4110185
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.569113,6.668404,6.6187585
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.622175,6.780404,6.7012895
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.915283,7.785927,7.350605
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.792863,6.712718,6.7527905
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.990225,6.308768,6.6494965
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.481005,7.460497,7.470751
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.460973,6.753922,6.6074475
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.166004,6.622146,6.894075
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.169364,4.636077,5.4027205
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.825463,4.8132,5.8193315
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.622175,3.811163,5.216669
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.675194,4.656875,5.6660345
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.184707,4.163339,5.674023
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.622175,4.775489,5.698832
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.711705,4.381791,5.546748
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.050298,4.455473,5.7528855
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.917166,4.656875,5.7870205
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.622175,4.116115,5.369145
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.937011,4.112047,5.524529
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.37872,5.758721,6.5687205
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.672155,4.612562,5.6423585
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.043896,4.199511,5.6217035
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.610294,4.443658,5.526976
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.990985,4.894292,5.9426385
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.948218,4.344434,5.646326
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.315554,3.055628,4.685591
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.19641,4.472447,5.8344285
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.808354,4.475552,5.641953
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.223303,4.601299,5.912301
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.037401,4.043362,5.5403815
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.966463,4.175578,5.5710205
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.048625,4.237843,5.643234
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.414835,4.122881,5.768858
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.960322,5.635849,6.2980855
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.190357,4.656875,5.923616
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.844248,3.974738,5.409493
