"","sample","tissue","endometriosis","severity","p222906_at","p228191_at","FLVCR1"
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.738808,8.776825,7.7578165
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.527093,6.994458,6.2607755
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.339338,7.314446,5.826892
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.933544,8.61287,6.773207
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.294468,6.328453,5.3114605
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.691614,8.034203,6.8629085
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.092297,8.832143,7.96222
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.130418,8.082198,7.106308
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.577504,8.70253,7.640017
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.406088,8.340999,6.3735435
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.53904,7.09724,5.31814
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.03444,6.830903,5.9326715
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.614883,9.169404,7.8921435
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.206585,7.783852,5.9952185
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.632745,8.122747,6.877746
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.480516,8.516651,7.4985835
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.04066,8.621565,7.3311125
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.101781,8.546874,6.8243275
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.474144,9.659018,8.566581
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.415029,6.627937,5.521483
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.714704,8.325125,6.5199145
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.257739,8.304305,7.281022
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.467002,6.994458,5.73073
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.156847,8.973235,7.565041
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.183392,8.506276,5.844834
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.872204,8.846005,6.8591045
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.7683,6.951621,5.8599605
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.025194,7.532571,6.2788825
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.098549,7.581222,6.3398855
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.576181,7.292292,6.4342365
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.443269,8.855184,7.1492265
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.123959,8.686772,7.9053655
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.086677,8.778754,7.4327155
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.564793,9.729122,8.1469575
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.171583,8.907876,7.5397295
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.171583,8.884149,7.527866
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.655102,8.743414,7.699258
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.605868,8.498045,7.0519565
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.377405,8.753278,7.0653415
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.399824,7.72518,6.562502
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.994355,9.110635,7.552495
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.886311,8.928785,6.907548
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.320147,9.532155,8.426151
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.756245,8.326421,7.041333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.821569,8.041024,6.4312965
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.631193,9.782055,8.706624
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.176583,9.233464,8.2050235
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.816029,9.776641,8.796335
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.28055,9.254153,8.2673515
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.704306,9.724304,8.214305
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.60815,9.698744,8.653447
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.908816,9.824779,8.8667975
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.079966,9.983372,9.031669
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.598419,8.885461,7.74194
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.947651,9.99039,8.9690205
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.551577,9.255971,8.403774
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.752895,9.597486,8.6751905
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.499784,8.792886,8.146335
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.362352,9.725589,9.0439705
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.6127,9.487419,8.5500595
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.044785,7.996272,6.5205285
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.293823,8.596417,6.94512
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.391481,8.912803,7.652142
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.26342,8.024374,6.643897
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.540973,7.512657,6.026815
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.186973,7.075635,5.631304
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.042715,9.009446,7.5260805
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.590913,7.912501,6.751707
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.171583,7.999134,7.0853585
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.437807,9.458545,7.948176
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.965155,6.994458,5.9798065
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.171583,8.00736,7.0894715
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.998559,7.786284,6.8924215
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.059293,8.328414,7.1938535
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.171583,7.967196,7.0693895
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.762811,7.383235,6.573023
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.49125,9.060766,8.276008
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.20912,8.302337,6.7557285
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.642302,8.654343,7.6483225
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.868189,9.189702,8.0289455
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.859852,8.612525,7.7361885
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.895834,7.764088,6.829961
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.399863,8.928028,7.6639455
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.211204,8.060781,7.1359925
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.32722,7.898335,7.1127775
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.171583,8.601248,7.3864155
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.258766,9.189664,8.224215
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.335671,7.995915,6.665793
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.821569,7.724465,6.273017
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.171583,8.590432,7.3810075
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.393498,8.942024,8.167761
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.341357,8.29422,6.8177885
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.626793,7.670229,6.148511
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.819694,7.564306,6.192
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.023458,7.792212,5.907835
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.818961,8.178828,6.9988945
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.171583,7.949094,7.0603385
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.171583,8.161133,7.166358
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.219059,10.097378,9.1582185
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.793419,9.618537,8.705978
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.463851,9.60437,8.5341105
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.965491,10.000703,8.983097
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.736197,9.860592,8.7983945
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.037784,9.422702,8.230243
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.939811,9.557492,8.7486515
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.917321,9.779142,8.8482315
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.649984,9.762028,8.706006
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.465554,10.198727,9.3321405
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.791385,8.984916,7.8881505
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.871634,9.99451,8.933072
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.84003,9.619056,8.229543
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.647352,10.095784,8.871568
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.622668,10.017694,8.820181
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.605683,9.481715,8.043699
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.561481,9.353007,8.457244
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.931046,9.797859,8.8644525
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.759118,8.98355,7.871334
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.385057,9.549894,8.4674755
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.819185,9.99009,8.9046375
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.332815,10.085938,9.2093765
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.770678,9.484276,8.627477
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.03945,10.287015,9.1632325
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.164764,9.073386,8.119075
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.453045,9.662088,8.5575665
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.840212,9.908018,8.874115
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.133819,9.93155,9.0326845
