"","sample","tissue","endometriosis","severity","p213461_at","p224830_at","NUDT21"
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.171916,10.650087,8.4110015
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.653151,9.873077,7.263114
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.576231,9.447889,7.51206
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.605275,10.420816,8.5130455
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.545663,9.51684,7.5312515
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.602987,9.866229,7.734608
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.131509,9.470363,7.800936
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.576231,9.754524,7.6653775
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.529049,9.525005,7.527027
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.405887,10.865556,9.1357215
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.73451,10.254652,7.494581
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.573164,10.264072,7.918618
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.958088,11.882263,9.9201755
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.665327,11.454951,9.560139
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.651483,11.753384,9.7024335
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.129286,11.3324,9.230843
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.555614,10.934603,8.7451085
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.193909,11.732486,9.4631975
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.262253,11.580647,9.42145
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.789661,11.835612,9.8126365
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.736599,10.967568,8.8520835
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.591527,11.960373,9.77595
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.703028,10.560084,8.631556
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.553682,11.277972,9.415827
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.224365,9.471812,7.3480885
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.047263,11.71667,9.8819665
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.065708,11.870035,9.9678715
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.653151,9.396439,7.024795
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.465289,9.495985,7.480637
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.5192,10.91674,8.71797
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.196691,9.59926,7.3979755
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.067623,9.728385,6.898004
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.922777,9.159262,6.5410195
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.460128,10.84101,8.650569
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.718929,9.975578,7.8472535
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.67527,8.935339,6.8053045
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.082463,9.35772,6.2200915
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.067623,8.7019,6.3847615
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.001131,9.890204,7.4456675
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.994589,8.599533,6.297061
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.576231,9.839099,7.707665
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.287965,9.153552,6.7207585
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.275483,8.986877,6.63118
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.565848,8.949909,6.2578785
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.318296,8.776575,6.5474355
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.665017,10.335174,8.0000955
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.033052,10.847474,8.940263
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.163545,9.456931,7.310238
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.113276,9.742768,6.928022
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.171872,9.537884,6.854878
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.27754,9.563564,7.420552
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.603446,10.450317,8.0268815
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.25217,9.506876,6.379523
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.019805,10.712936,8.3663705
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.372897,9.836832,7.6048645
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.848038,9.468418,7.158228
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.576231,10.233623,7.904927
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.141428,10.37355,8.257489
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.561063,10.337351,7.949207
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.495692,10.089529,7.7926105
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.283269,10.373815,7.828542
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.005589,10.738783,8.372186
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.585506,11.730053,9.6577795
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.223009,11.127683,8.675346
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.799723,10.744308,8.2720155
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.470611,10.631314,7.5509625
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.31499,11.04159,8.17829
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.487069,11.267029,8.877049
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.6681,10.737925,8.2030125
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.092636,11.486288,8.789462
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.776331,10.340883,8.058607
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.591461,11.290078,8.4407695
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.067527,10.816004,7.9417655
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.717003,10.558571,8.137787
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.773663,11.389823,8.581743
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.576231,10.404323,7.990277
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.981929,11.687591,9.83476
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.980662,11.328959,9.1548105
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.468766,11.775403,9.6220845
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.781556,11.691839,9.2366975
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.37424,10.626392,8.500316
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.369762,10.829174,8.599468
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.793075,10.918815,8.355945
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.360034,10.066742,8.213388
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.167969,10.710556,7.9392625
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.218314,11.76549,9.491902
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.562593,11.888371,9.225482
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.576231,10.222428,7.8993295
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.601162,11.579727,9.5904445
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.576231,10.236468,7.9063495
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.125478,11.641845,9.3836615
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.252852,11.75468,9.503766
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.075708,11.722991,9.3993495
