"","sample","tissue","endometriosis","severity","p40148_at","p212970_at","p213419_at","APBB2"
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.202905,7.931106,6.548469,7.22749333333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.187395,6.922563,4.428203,5.51272033333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.78574,8.04202,6.09012,6.97262666666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.628556,6.835208,6.204562,6.55610866666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.70899,7.565782,5.757655,6.67747566666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.13576,7.516749,4.852322,6.168277
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.10007,6.730672,5.087651,5.97279766666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.706751,7.133876,6.096449,6.645692
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.250259,8.240717,6.997984,7.49632
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.596479,7.455745,4.000614,5.68427933333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.675495,6.823271,6.061023,6.51992966666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.253166,6.91454,5.725688,6.297798
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.943943,6.915981,4.834405,5.56477633333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.875667,6.855799,3.996124,5.24253
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.205356,7.012332,4.429327,5.549005
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.895278,5.321924,3.030676,4.41595933333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.418905,5.257173,2.584047,4.08670833333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.427712,6.466717,3.361543,5.085324
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.145524,6.838656,4.447301,5.47716033333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.122531,6.149374,3.159927,4.81061066666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.694365,6.313998,2.967906,4.65875633333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.015745,6.780057,2.926814,4.240872
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.077236,6.815769,4.023663,5.305556
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.863469,6.815769,3.689313,5.12285033333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.793498,6.325108,2.800625,4.30641033333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.363302,7.461408,4.951557,6.25875566666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.918443,6.846178,4.303402,5.35600766666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.147836,6.669212,4.206652,5.34123333333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.257692,6.528911,3.519166,4.43525633333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.436043,6.682619,2.926814,4.68182533333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.989407,6.641959,4.048595,5.22665366666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.042091,6.287464,3.533773,4.95444266666667
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.679437,6.982062,4.983909,5.88180266666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.061745,5.583177,2.69699,4.11397066666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.002419,5.341508,2.867907,4.07061133333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.042588,6.163375,3.167848,4.457937
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.231314,6.770839,3.44931,5.15048766666667
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.459735,6.447155,2.926814,4.27790133333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.960245,6.54191,3.557424,5.01985966666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.327793,7.075411,4.153706,5.51897
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.680389,5.421931,2.926814,4.34304466666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.803024,6.625443,3.555179,4.99454866666667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.224019,6.340544,3.379843,4.64813533333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.029936,6.91253,3.106356,5.016274
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.773717,6.737167,2.926814,4.812566
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.34089,8.018019,5.166077,6.50832866666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.000656,7.187981,4.3591,5.51591233333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.030076,7.288623,5.234813,6.184504
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.014625,6.815769,3.359979,5.06345766666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.080604,7.430924,5.315238,6.27558866666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.382043,7.286017,3.115826,4.927962
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.248624,8.492764,4.903275,6.548221
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.101244,7.481702,4.644954,6.07596666666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.170007,6.076105,2.803349,4.34982033333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.211819,8.020411,5.190063,6.47409766666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.257811,6.815769,4.569246,5.54760866666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.913006,7.240364,4.556096,5.90315533333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.115597,6.881218,3.765106,5.25397366666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.486082,7.312444,4.983495,6.26067366666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.666422,7.467147,4.293737,5.809102
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.425168,7.910469,5.763707,6.69978133333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.659978,7.218376,5.135295,6.337883
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.969685,7.572418,5.204951,6.249018
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.267379,7.124934,4.85349,5.748601
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.495727,7.466211,4.962498,6.30814533333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.060332,8.518932,6.67609,7.41845133333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.964007,6.815769,3.299274,5.02635
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.61672,8.017372,6.007235,6.88044233333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.166527,7.808416,6.168099,7.04768066666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.983811,6.815769,3.331197,5.04359233333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.283334,7.088041,3.961028,5.44413433333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.36116,7.901841,5.080104,6.44770166666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.496743,6.266768,4.792604,5.85203833333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.778438,7.590045,5.391996,6.253493
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.039875,7.58279,5.878786,6.833817
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.910629,7.852352,5.138855,6.300612
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.222059,7.028039,4.788958,6.01301866666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.679228,6.815769,4.691787,5.728928
