Probe.Set.ID,Gene.Symbol,Gene.Title,Fold.Change: PE.E - PE.NE.UPP,Fold.Change: ESE.E - ESE.NE.UPP,Fold.Change: MSE.E - MSE.NE.UPP
235646_at,---,---,-2.092132086,-2.256160841,NA
1564378_a_at,---,---,-2.332536095,-3.334478878,NA
1562056_at,---,---,-3.651914531,-4.671545563,NA
233289_at,---,---,NA,2.136487803,2.666667521
201677_at,C3orf37,Chromosome 3 open reading frame 37,NA,-1.629537923,-1.518273648
1559566_at,FBXO42,F-box protein 42,NA,-1.858734862,-1.623369844
233692_at,---,---,NA,-1.875149757,-1.515786509
1565639_a_at,---,---,NA,-2.181769418,-1.791207601
223254_s_at,G2E3,G2/M-phase specific E3 ubiquitin protein ligase,-1.591250581,NA,-1.975028401
237703_at,---,---,-1.624285229,NA,-1.658588743
204566_at,PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent, 1D",-1.668459976,NA,-1.759893341
215408_at,---,---,-1.703776399,NA,-1.660935898
200835_s_at,MAP4,microtubule-associated protein 4,-1.821849151,NA,-2.473451904
1563497_at,USP25,ubiquitin specific peptidase 25,-1.935544806,NA,-2.165817845
226082_s_at,SFRS15,"splicing factor, arginine/serine-rich 15",-2.022186493,NA,-1.997678336
238013_at,PLEKHA2,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2",-2.06921247,NA,-2.463845057
240231_at,---,---,-2.149189777,NA,-2.077669737
232369_at,---,---,-2.168945726,NA,-2.81595003
240499_at,---,---,-2.179288096,NA,-2.295384217
239258_at,---,---,-2.203130747,NA,-2.510670696
235977_at,LONRF2,LON peptidase N-terminal domain and ring finger 2,-2.267646961,NA,-2.605950423
232865_at,AFF4,"AF4/FMR2 family, member 4",-2.442530841,NA,-2.494219049
215092_s_at,NFAT5,"nuclear factor of activated T-cells 5, tonicity-responsive",-2.586913133,NA,-3.009235583
205560_at,PCSK5,proprotein convertase subtilisin/kexin type 5,-3.092652314,NA,-2.865380294
235419_at,---,---,-4.233461985,NA,-7.0780715
215235_at,SPTAN1,"spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)",-1.537538158,-1.936627551,-1.796909612
235959_at,---,---,-1.687439829,-2.752090831,-1.707360545
215611_at,TCF12,transcription factor 12,-1.693552034,-2.194337733,-1.700125336
1556818_at,---,---,-2.047147529,-2.742259277,-1.789850934
232783_at,---,---,-2.049284466,-4.152814788,-2.398980525
239404_at,---,---,-2.050203104,-2.926214594,-1.912260023
232174_at,---,---,-3.023210706,-5.856206702,-3.13481061
