Probe.Set.ID,Gene.Symbol,Gene.Title,Fold.Change: PE.E - PE.NE.NUPP,Fold.Change: ESE.E - ESE.NE.NUPP,Fold.Change: MSE.E - MSE.NE.NUPP
212858_at,PAQR4,progestin and adipoQ receptor family member IV,4.219352103,NA,NA
204981_at,SLC22A18,"solute carrier family 22, member 18",4.196696274,NA,NA
205157_s_at,KRT17,keratin 17,4.191390012,NA,NA
228770_at,GPR146,G protein-coupled receptor 146,4.178823684,NA,NA
1569648_at,DACT2,"dapper, antagonist of beta-catenin, homolog 2 (Xenopus laevis)",4.165570753,NA,NA
218280_x_at,HIST2H2AA3 /// HIST2H2AA4,"histone cluster 2, H2aa3 /// histone cluster 2, H2aa4",4.163283745,NA,NA
208284_x_at,GGT1,gamma-glutamyltransferase 1,4.148994496,NA,NA
203973_s_at,CEBPD,"CCAAT/enhancer binding protein (C/EBP), delta",4.144877063,NA,NA
214404_x_at,SPDEF,SAM pointed domain containing ets transcription factor,4.096612791,NA,NA
211417_x_at,GGT1,gamma-glutamyltransferase 1,4.087868018,NA,NA
1553970_s_at,CEL /// LOC100508206,carboxyl ester lipase (bile salt-stimulated lipase) /// bile salt-activated lipase-like,4.085078322,NA,NA
228994_at,CCDC24,coiled-coil domain containing 24,4.084539643,NA,NA
219888_at,SPAG4,sperm associated antigen 4,4.082705188,NA,NA
227134_at,SYTL1,synaptotagmin-like 1,4.075476757,NA,NA
223179_at,YPEL3,yippee-like 3 (Drosophila),4.045691525,NA,NA
235515_at,C19orf46,chromosome 19 open reading frame 46,4.04393619,NA,NA
204867_at,GCHFR,GTP cyclohydrolase I feedback regulator,4.041969154,NA,NA
205164_at,GCAT,glycine C-acetyltransferase,4.039382007,NA,NA
205910_s_at,CEL /// LOC100508206,carboxyl ester lipase (bile salt-stimulated lipase) /// bile salt-activated lipase-like,4.022571608,NA,NA
225150_s_at,RTKN,rhotekin,4.006948854,NA,NA
229638_at,IRX3,iroquois homeobox 3,4.004680861,NA,NA
227970_at,GPR157,G protein-coupled receptor 157,3.927909374,NA,NA
218880_at,FOSL2,FOS-like antigen 2,3.923586097,NA,NA
226067_at,C20orf114,chromosome 20 open reading frame 114,3.892163125,NA,NA
217973_at,DCXR,dicarbonyl/L-xylulose reductase,3.890723364,NA,NA
206122_at,SOX15,SRY (sex determining region Y)-box 15,3.885029478,NA,NA
203722_at,ALDH4A1,"aldehyde dehydrogenase 4 family, member A1",3.843864198,NA,NA
225650_at,SAMD1,sterile alpha motif domain containing 1,3.836332409,NA,NA
1555216_a_at,LOC645722,hypothetical protein LOC645722,3.835575918,NA,NA
225203_at,PPP1R16A,"protein phosphatase 1, regulatory (inhibitor) subunit 16A",3.822943991,NA,NA
229369_at,VSIG2,V-set and immunoglobulin domain containing 2,3.819518355,NA,NA
218938_at,FBXL15,F-box and leucine-rich repeat protein 15,3.812116598,NA,NA
229107_at,---,---,3.811130448,NA,NA
238327_at,ODF3B,outer dense fiber of sperm tails 3B,3.811008554,NA,NA
228232_s_at,VSIG2,V-set and immunoglobulin domain containing 2,3.809010025,NA,NA
228645_at,SNHG9,small nucleolar RNA host gene 9 (non-protein coding),3.808991313,NA,NA
228868_x_at,CDT1,Chromatin licensing and DNA replication factor 1,3.802574921,NA,NA
227959_at,---,---,3.788992531,NA,NA
213587_s_at,ATP6V0E2,"ATPase, H+ transporting V0 subunit e2",3.785621343,NA,NA
213540_at,HSD17B8,hydroxysteroid (17-beta) dehydrogenase 8,3.783542137,NA,NA
201618_x_at,GPAA1,glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast),3.777065627,NA,NA
78383_at,LOC100129250,hypothetical LOC100129250,3.773391184,NA,NA
204443_at,ARSA,arylsulfatase A,3.7713487,NA,NA
207131_x_at,GGT1,gamma-glutamyltransferase 1,3.770584927,NA,NA
209803_s_at,PHLDA2,"pleckstrin homology-like domain, family A, member 2",3.764731758,NA,NA
229289_at,FAM71E1,"family with sequence similarity 71, member E1",3.764468107,NA,NA
221704_s_at,VPS37B,vacuolar protein sorting 37 homolog B (S. cerevisiae),3.754569086,NA,NA
222191_s_at,B4GALT7,"xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I)",3.745669168,NA,NA
1568617_a_at,KIAA1543,KIAA1543,3.717950763,NA,NA
1555270_a_at,WFS1,Wolfram syndrome 1 (wolframin),3.711686751,NA,NA
219505_at,CECR1,"cat eye syndrome chromosome region, candidate 1",3.695661898,NA,NA
227999_at,PWWP2B,PWWP domain containing 2B,3.692937252,NA,NA
210010_s_at,SLC25A1,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1",3.686922335,NA,NA
1554701_a_at,TBC1D16,"TBC1 domain family, member 16",3.683118186,NA,NA
50314_i_at,C20orf27,chromosome 20 open reading frame 27,3.674470694,NA,NA
211663_x_at,PTGDS,prostaglandin D2 synthase 21kDa (brain),3.66053253,NA,NA
204927_at,RASSF7,Ras association (RalGDS/AF-6) domain family (N-terminal) member 7,3.656539916,NA,NA
221577_x_at,GDF15,growth differentiation factor 15,3.626423644,NA,NA
218756_s_at,DHRS11,dehydrogenase/reductase (SDR family) member 11,3.617840905,NA,NA
221693_s_at,MRPS18A,mitochondrial ribosomal protein S18A,3.609985631,NA,NA
206723_s_at,LPAR2,lysophosphatidic acid receptor 2,3.595116359,NA,NA
219622_at,RAB20,"RAB20, member RAS oncogene family",3.590988543,NA,NA
209577_at,PCYT2,"phosphate cytidylyltransferase 2, ethanolamine",3.589644444,NA,NA
223103_at,STARD10,StAR-related lipid transfer (START) domain containing 10,3.585669853,NA,NA
212430_at,RBM38,RNA binding motif protein 38,3.579371384,NA,NA
218922_s_at,LASS4,"LAG1 homolog, ceramide synthase 4",3.578007014,NA,NA
205864_at,SLC7A4,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 4",3.575388919,NA,NA
236496_at,DEGS2,"degenerative spermatocyte homolog 2, lipid desaturase (Drosophila)",3.573095081,NA,NA
236976_at,FANCA,"Fanconi anemia, complementation group A",3.563281048,NA,NA
227858_at,PCNXL3,pecanex-like 3 (Drosophila),3.556208444,NA,NA
230136_at,LOC400099,hypothetical LOC400099,3.524137643,NA,NA
215603_x_at,GGT1 /// GGT2 /// GGT3P /// GGTLC2 /// GGTLC3,gamma-glutamyltransferase 1 /// gamma-glutamyltransferase 2 /// gamma-glutamyltransferase 3 pseudogene /// gamma-glutamyltransferase light chain 2 /// gamma-glutamyltransferase light chain 3,3.513814873,NA,NA
223050_s_at,FBXW5,F-box and WD repeat domain containing 5,3.502037297,NA,NA
214910_s_at,APOM,apolipoprotein M,3.501167728,NA,NA
236436_at,SLC25A45,"solute carrier family 25, member 45",3.500828129,NA,NA
235148_at,KRTCAP3,keratinocyte associated protein 3,3.489646335,NA,NA
212998_x_at,HLA-DQB1 /// LOC100133583,"major histocompatibility complex, class II, DQ beta 1 /// HLA class II histocompatibility antigen, DQ beta 1 chain-like",3.487027714,NA,NA
218952_at,PCSK1N,proprotein convertase subtilisin/kexin type 1 inhibitor,3.483045426,NA,NA
203919_at,TCEA2,"transcription elongation factor A (SII), 2",3.473287356,NA,NA
222155_s_at,GPR172A,G protein-coupled receptor 172A,3.471162629,NA,NA
210205_at,B3GALT4,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4",3.467360121,NA,NA
244126_at,PEX11G,peroxisomal biogenesis factor 11 gamma,3.464130797,NA,NA
219051_x_at,METRN,"meteorin, glial cell differentiation regulator",3.464082453,NA,NA
50374_at,C17orf90,chromosome 17 open reading frame 90,3.463385689,NA,NA
232269_x_at,LOC100508121,meteorin-like,3.459537782,NA,NA
208606_s_at,WNT4,"wingless-type MMTV integration site family, member 4",3.434806327,NA,NA
218697_at,NCKIPSD,NCK interacting protein with SH3 domain,3.424643648,NA,NA
1553998_at,DMRTC1 /// DMRTC1B,DMRT-like family C1 /// DMRT-like family C1B,3.412014236,NA,NA
221797_at,C17orf90,chromosome 17 open reading frame 90,3.409798648,NA,NA
236892_s_at,LOC404266,hypothetical LOC404266,3.407119668,NA,NA
229156_s_at,LOC100505483,hypothetical LOC100505483,3.405527697,NA,NA
229276_at,IGSF9,"immunoglobulin superfamily, member 9",3.405049007,NA,NA
1558508_a_at,C1orf53,chromosome 1 open reading frame 53,3.402812955,NA,NA
223708_at,C1QTNF4,C1q and tumor necrosis factor related protein 4,3.381992678,NA,NA
214240_at,GAL,galanin prepropeptide,3.380800203,NA,NA
231058_at,FXYD4,FXYD domain containing ion transport regulator 4,3.378408156,NA,NA
218908_at,ASPSCR1,"alveolar soft part sarcoma chromosome region, candidate 1",3.369778694,NA,NA
243900_at,WDR38,WD repeat domain 38,3.365402884,NA,NA
224057_s_at,THAP4,THAP domain containing 4,3.358310304,NA,NA
223631_s_at,C19orf33,chromosome 19 open reading frame 33,3.352746842,NA,NA
228525_at,LRP3,low density lipoprotein receptor-related protein 3,3.349079848,NA,NA
230956_at,C11orf92,chromosome 11 open reading frame 92,3.347907174,NA,NA
204519_s_at,PLLP,plasmolipin,3.347246166,NA,NA
211060_x_at,GPAA1,glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast),3.346891539,NA,NA
227190_at,TMEM37,transmembrane protein 37,3.335088592,NA,NA
210314_x_at,TNFSF13,"tumor necrosis factor (ligand) superfamily, member 13",3.331407997,NA,NA
203851_at,IGFBP6,insulin-like growth factor binding protein 6,3.329706315,NA,NA
244467_at,LOC100510485,putative protein shisa-8-like,3.329113538,NA,NA
203657_s_at,CTSF,cathepsin F,3.323141009,NA,NA
1555831_s_at,LRRC41,leucine rich repeat containing 41,3.309427724,NA,NA
210910_s_at,POMZP3,POM121 and ZP3 fusion,3.30429358,NA,NA
1555310_a_at,PAK6,p21 protein (Cdc42/Rac)-activated kinase 6,3.299665044,NA,NA
220050_at,C9orf9,chromosome 9 open reading frame 9,3.297565332,NA,NA
215293_s_at,PGAP2,post-GPI attachment to proteins 2,3.288188027,NA,NA
228055_at,NAPSB,napsin B aspartic peptidase pseudogene,3.286432655,NA,NA
212540_at,CDC34,cell division cycle 34 homolog (S. cerevisiae),3.286119597,NA,NA
203576_at,BCAT2,"branched chain amino-acid transaminase 2, mitochondrial",3.282757663,NA,NA
227186_s_at,MRPL41,mitochondrial ribosomal protein L41,3.282390573,NA,NA
91816_f_at,MEX3D,mex-3 homolog D (C. elegans),3.276234689,NA,NA
226707_at,NAPRT1,nicotinate phosphoribosyltransferase domain containing 1,3.275171523,NA,NA
223442_at,NICN1,nicolin 1,3.273872368,NA,NA
1562733_at,NCRNA00092,non-protein coding RNA 92,3.273366672,NA,NA
204148_s_at,POMZP3 /// ZP3,POM121 and ZP3 fusion /// zona pellucida glycoprotein 3 (sperm receptor),3.270055809,NA,NA
209499_x_at,TNFSF12-TNFSF13 /// TNFSF13,"TNFSF12-TNFSF13 readthrough /// tumor necrosis factor (ligand) superfamily, member 13",3.255900543,NA,NA
224746_at,KIAA1522,KIAA1522,3.254063046,NA,NA
241396_at,NEDD4L,"neural precursor cell expressed, developmentally down-regulated 4-like",3.254056567,NA,NA
220757_s_at,UBXN6,UBX domain protein 6,3.25126459,NA,NA
210230_at,---,---,3.249976833,NA,NA
215943_at,KIAA1661,KIAA1661 protein,3.247202397,NA,NA
223749_at,C1QTNF2,C1q and tumor necrosis factor related protein 2,3.244699753,NA,NA
213182_x_at,CDKN1C,"cyclin-dependent kinase inhibitor 1C (p57, Kip2)",3.232252148,NA,NA
204248_at,GNA11,"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)",3.223363462,NA,NA
204268_at,S100A2,S100 calcium binding protein A2,3.220373591,NA,NA
241957_x_at,LIN7B,lin-7 homolog B (C. elegans),3.216147385,NA,NA
218180_s_at,EPS8L2,EPS8-like 2,3.216120126,NA,NA
227347_x_at,HES4,hairy and enhancer of split 4 (Drosophila),3.213628197,NA,NA
218115_at,ASF1B,ASF1 anti-silencing function 1 homolog B (S. cerevisiae),3.212010252,NA,NA
209283_at,CRYAB,"crystallin, alpha B",3.211177885,NA,NA
238547_at,HEXIM2,hexamthylene bis-acetamide inducible 2,3.211060663,NA,NA
202826_at,SPINT1,"serine peptidase inhibitor, Kunitz type 1",3.194524406,NA,NA
213348_at,CDKN1C,"cyclin-dependent kinase inhibitor 1C (p57, Kip2)",3.191974013,NA,NA
224477_s_at,NUDT16L1,nudix (nucleoside diphosphate linked moiety X)-type motif 16-like 1,3.188914941,NA,NA
209074_s_at,FAM107A,"family with sequence similarity 107, member A",3.181733523,NA,NA
206599_at,SLC16A5,"solute carrier family 16, member 5 (monocarboxylic acid transporter 6)",3.17175555,NA,NA
221827_at,RBCK1,RanBP-type and C3HC4-type zinc finger containing 1,3.167738408,NA,NA
223199_at,MKNK2,MAP kinase interacting serine/threonine kinase 2,3.167737709,NA,NA
228472_at,CCDC61,coiled-coil domain containing 61,3.167459722,NA,NA
230033_at,C19orf51,chromosome 19 open reading frame 51,3.167395381,NA,NA
230972_at,ANKRD9,ankyrin repeat domain 9,3.166545757,NA,NA
239775_at,---,---,3.165417272,NA,NA
235269_at,FAM83F,"family with sequence similarity 83, member F",3.165297399,NA,NA
218681_s_at,SDF2L1,stromal cell-derived factor 2-like 1,3.165007303,NA,NA
206956_at,BGLAP /// PMF1,bone gamma-carboxyglutamate (gla) protein /// polyamine-modulated factor 1,3.159566431,NA,NA
209912_s_at,KIAA0415,KIAA0415,3.159470505,NA,NA
204717_s_at,SLC29A2,"solute carrier family 29 (nucleoside transporters), member 2",3.151338469,NA,NA
202937_x_at,RRP7A,ribosomal RNA processing 7 homolog A (S. cerevisiae),3.149019704,NA,NA
225777_at,C9orf140,chromosome 9 open reading frame 140,3.147739553,NA,NA
204360_s_at,NAGLU,"N-acetylglucosaminidase, alpha",3.14564003,NA,NA
223895_s_at,EPN3,epsin 3,3.145000388,NA,NA
243924_at,LOC100127980,hypothetical protein LOC100127980,3.144063481,NA,NA
230641_at,LOC100509886,hypothetical LOC100509886,3.13806796,NA,NA
216080_s_at,FADS3,fatty acid desaturase 3,3.137678477,NA,NA
226378_s_at,C19orf25,chromosome 19 open reading frame 25,3.135776991,NA,NA
214083_at,LOC100507315 /// PPP2R5C,"hypothetical LOC100507315 /// protein phosphatase 2, regulatory subunit B', gamma",3.13126163,NA,NA
225401_at,C1orf85,chromosome 1 open reading frame 85,3.127330484,NA,NA
226487_at,C12orf34,chromosome 12 open reading frame 34,3.124214361,NA,NA
221250_s_at,MXD3,MAX dimerization protein 3,3.120855216,NA,NA
240284_x_at,LOC100507644,hypothetical LOC100507644,3.119177463,NA,NA
204733_at,KLK6,kallikrein-related peptidase 6,3.118827511,NA,NA
201397_at,PHGDH,phosphoglycerate dehydrogenase,3.118725008,NA,NA
231015_at,KLF15,Kruppel-like factor 15,3.118418517,NA,NA
218275_at,SLC25A10,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10",3.116866567,NA,NA
215783_s_at,ALPL,"alkaline phosphatase, liver/bone/kidney",3.113534382,NA,NA
224981_at,TMEM219,transmembrane protein 219,3.112797713,NA,NA
219742_at,PRR7,proline rich 7 (synaptic),3.111242698,NA,NA
202799_at,CLPP,"ClpP caseinolytic peptidase, ATP-dependent, proteolytic subunit homolog (E. coli)",3.109611691,NA,NA
1555981_at,C17orf65,chromosome 17 open reading frame 65,3.106741899,NA,NA
200766_at,CTSD,cathepsin D,3.103782059,NA,NA
235814_at,---,---,3.098905787,NA,NA
223318_s_at,ALKBH7,"alkB, alkylation repair homolog 7 (E. coli)",3.088391364,NA,NA
229729_at,TMEM8B,transmembrane protein 8B,3.087074545,NA,NA
238742_x_at,---,---,3.084613798,NA,NA
226149_at,SNHG11,small nucleolar RNA host gene 11 (non-protein coding),3.084239158,NA,NA
220934_s_at,TMEM223,transmembrane protein 223,3.081382537,NA,NA
204279_at,PSMB9,"proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)",3.068813946,NA,NA
204275_at,SOLH,small optic lobes homolog (Drosophila),3.067202088,NA,NA
35148_at,TJP3,tight junction protein 3 (zona occludens 3),3.066808835,NA,NA
219113_x_at,HSD17B14,hydroxysteroid (17-beta) dehydrogenase 14,3.06663293,NA,NA
229930_at,LOC100134361,hypothetical LOC100134361,3.060182438,NA,NA
229872_s_at,LOC100132999,hypothetical LOC100132999,3.05884766,NA,NA
1558507_at,C1orf53,chromosome 1 open reading frame 53,3.055283427,NA,NA
44617_at,OGFOD2,2-oxoglutarate and iron-dependent oxygenase domain containing 2,3.048167227,NA,NA
229177_at,C16orf89,chromosome 16 open reading frame 89,3.046679206,NA,NA
217511_at,KAZALD1,Kazal-type serine peptidase inhibitor domain 1,3.044880748,NA,NA
235095_at,CCDC64B,coiled-coil domain containing 64B,3.044516598,NA,NA
204986_s_at,TAOK2,TAO kinase 2,3.043763328,NA,NA
206622_at,TRH,thyrotropin-releasing hormone,3.040599856,NA,NA
228897_at,DERL3,"Der1-like domain family, member 3",3.036845969,NA,NA
52159_at,HEMK1,HemK methyltransferase family member 1,3.035221252,NA,NA
212706_at,RASA4,RAS p21 protein activator 4,3.028139695,NA,NA
202180_s_at,MVP,major vault protein,3.027056463,NA,NA
205325_at,PHYHIP,phytanoyl-CoA 2-hydroxylase interacting protein,3.018198544,NA,NA
218380_at,LOC728392 /// NLRP1,"hypothetical protein LOC728392 /// NLR family, pyrin domain containing 1",3.003620709,NA,NA
226403_at,TMC4,transmembrane channel-like 4,2.998476616,NA,NA
208190_s_at,LSR,lipolysis stimulated lipoprotein receptor,2.997075829,NA,NA
242303_at,NRG2,neuregulin 2,2.995292532,NA,NA
205682_x_at,APOM,apolipoprotein M,2.992751172,NA,NA
211031_s_at,CLIP2,CAP-GLY domain containing linker protein 2,2.985995913,NA,NA
1557507_at,---,---,2.985500364,NA,NA
207847_s_at,MUC1,"mucin 1, cell surface associated",2.98535322,NA,NA
224301_x_at,H2AFJ,"H2A histone family, member J",2.981203237,NA,NA
1554246_at,C1orf210,chromosome 1 open reading frame 210,2.980585805,NA,NA
228123_s_at,ABHD12,abhydrolase domain containing 12,2.978003562,NA,NA
1569256_a_at,FAM43B,"family with sequence similarity 43, member B",2.977809806,NA,NA
223549_s_at,ESPN,espin,2.976930005,NA,NA
205759_s_at,SULT2B1,"sulfotransferase family, cytosolic, 2B, member 1",2.973483163,NA,NA
233850_s_at,EBF4,early B-cell factor 4,2.972680773,NA,NA
226074_at,PPM1M,"protein phosphatase, Mg2+/Mn2+ dependent, 1M",2.970381125,NA,NA
202009_at,TWF2,"twinfilin, actin-binding protein, homolog 2 (Drosophila)",2.963897617,NA,NA
204934_s_at,HPN,hepsin,2.962638571,NA,NA
1558685_a_at,LOC158960,hypothetical protein BC009467,2.961677197,NA,NA
206016_at,CCDC22,coiled-coil domain containing 22,2.9566678,NA,NA
229264_at,---,---,2.952645302,NA,NA
226846_at,PHYHD1,phytanoyl-CoA dioxygenase domain containing 1,2.950592633,NA,NA
226239_at,TMEM150A,transmembrane protein 150A,2.947978635,NA,NA
241411_at,---,---,2.947771122,NA,NA
36554_at,ASMTL,acetylserotonin O-methyltransferase-like,2.943807758,NA,NA
228089_x_at,TMEM179B,transmembrane protein 179B,2.943064854,NA,NA
218214_at,C12orf44,chromosome 12 open reading frame 44,2.941676674,NA,NA
204545_at,PEX6,peroxisomal biogenesis factor 6,2.94118384,NA,NA
226644_at,MIB2,mindbomb homolog 2 (Drosophila),2.941142393,NA,NA
214073_at,CTTN,cortactin,2.93736272,NA,NA
57539_at,ZGPAT,"zinc finger, CCCH-type with G patch domain",2.936522555,NA,NA
217818_s_at,ARPC4,"actin related protein 2/3 complex, subunit 4, 20kDa",2.934350287,NA,NA
205620_at,F10,coagulation factor X,2.933153206,NA,NA
229957_at,TMEM91,transmembrane protein 91,2.926299176,NA,NA
218813_s_at,SH3GLB2,SH3-domain GRB2-like endophilin B2,2.920644572,NA,NA
235651_at,TTC22,tetratricopeptide repeat domain 22,2.920269174,NA,NA
201428_at,CLDN4,claudin 4,2.917467048,NA,NA
204306_s_at,CD151,CD151 molecule (Raph blood group),2.90982742,NA,NA
205012_s_at,HAGH,hydroxyacylglutathione hydrolase,2.906634022,NA,NA
223580_at,SPSB2,splA/ryanodine receptor domain and SOCS box containing 2,2.905104717,NA,NA
219044_at,THNSL2,threonine synthase-like 2 (S. cerevisiae),2.904959742,NA,NA
218812_s_at,ORAI2,ORAI calcium release-activated calcium modulator 2,2.903706778,NA,NA
1553993_s_at,MED25,mediator complex subunit 25,2.901705,NA,NA
225877_at,TYSND1,trypsin domain containing 1,2.900263898,NA,NA
200986_at,SERPING1,"serpin peptidase inhibitor, clade G (C1 inhibitor), member 1",2.899615049,NA,NA
232037_at,IGDCC3,"immunoglobulin superfamily, DCC subclass, member 3",2.898948989,NA,NA
230475_at,C15orf59,chromosome 15 open reading frame 59,2.897262865,NA,NA
232422_at,A2LD1,AIG2-like domain 1,2.895454486,NA,NA
212187_x_at,PTGDS,prostaglandin D2 synthase 21kDa (brain),2.884528237,NA,NA
215954_s_at,C19orf29,chromosome 19 open reading frame 29,2.883885255,NA,NA
212707_s_at,RASA4 /// RASA4B /// RASA4P,RAS p21 protein activator 4 /// RAS p21 protein activator 4B /// RAS p21 protein activator 4 pseudogene,2.882592231,NA,NA
244071_at,FBLL1,fibrillarin-like 1,2.881747566,NA,NA
224497_x_at,HSD17B14,hydroxysteroid (17-beta) dehydrogenase 14,2.877966399,NA,NA
203437_at,TMEM11,transmembrane protein 11,2.876969789,NA,NA
202240_at,PLK1,polo-like kinase 1,2.869928338,NA,NA
236745_at,CCDC78,coiled-coil domain containing 78,2.869425174,NA,NA
203953_s_at,CLDN3,claudin 3,2.867654343,NA,NA
226926_at,DMKN,dermokine,2.864397708,NA,NA
219143_s_at,RPP25,ribonuclease P/MRP 25kDa subunit,2.864317795,NA,NA
206128_at,ADRA2C,"adrenergic, alpha-2C-, receptor",2.863330469,NA,NA
218661_at,NAT15,"N-acetyltransferase 15 (GCN5-related, putative)",2.861613036,NA,NA
203495_at,LRRC14,leucine rich repeat containing 14,2.857021645,NA,NA
225245_x_at,H2AFJ,"H2A histone family, member J",2.856222196,NA,NA
209462_at,APLP1,amyloid beta (A4) precursor-like protein 1,2.853329169,NA,NA
225767_at,LOC284801,hypothetical protein LOC284801,2.84757113,NA,NA
224658_x_at,PACS1,phosphofurin acidic cluster sorting protein 1,2.845975047,NA,NA
221811_at,PGAP3,post-GPI attachment to proteins 3,2.845737877,NA,NA
204697_s_at,CHGA,chromogranin A (parathyroid secretory protein 1),2.843001037,NA,NA
204802_at,RRAD,Ras-related associated with diabetes,2.837392436,NA,NA
203230_at,DVL1,"dishevelled, dsh homolog 1 (Drosophila)",2.829030783,NA,NA
213526_s_at,LIN37,lin-37 homolog (C. elegans),2.827630404,NA,NA
229693_at,TMEM220,transmembrane protein 220,2.826345518,NA,NA
236054_at,LOC100287289,Hypothetical protein LOC100287289,2.82513942,NA,NA
200872_at,S100A10,S100 calcium binding protein A10,2.825034286,NA,NA
238665_at,ZNF865,zinc finger protein 865,2.814939266,NA,NA
227006_at,PPP1R14A,"protein phosphatase 1, regulatory (inhibitor) subunit 14A",2.814082233,NA,NA
218081_at,C20orf27,chromosome 20 open reading frame 27,2.813155938,NA,NA
217770_at,PIGT,"phosphatidylinositol glycan anchor biosynthesis, class T",2.812853732,NA,NA
204315_s_at,GTSE1,G-2 and S-phase expressed 1,2.809518284,NA,NA
225891_at,TPRN,taperin,2.808878668,NA,NA
202455_at,HDAC5,histone deacetylase 5,2.808401792,NA,NA
219360_s_at,TRPM4,"transient receptor potential cation channel, subfamily M, member 4",2.80806428,NA,NA
224462_s_at,CHCHD6,coiled-coil-helix-coiled-coil-helix domain containing 6,2.798906552,NA,NA
226010_at,SLC25A23,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23",2.797543794,NA,NA
213629_x_at,MT1F,metallothionein 1F,2.794089064,NA,NA
