"","sample","tissue","endometriosis","severity","p1568629_s_at","p229392_s_at","PIK3R2"
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.200471,5.654288,7.9273795
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.193684,6.47611,8.834897
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.80776,5.57171,8.189735
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.701153,4.739788,7.2204705
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.172281,4.72894,7.9506105
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.568336,4.825874,7.697105
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.312382,6.080828,8.696605
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.692066,6.886583,9.2893245
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.121726,4.616462,7.869094
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.496784,4.344248,6.920516
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.200367,5.927123,8.563745
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.698237,5.995377,8.846807
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.930677,4.81387,7.8722735
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.360871,6.853809,9.60734
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.249364,5.844224,9.046794
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.01564,4.357402,7.186521
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.949066,5.325559,8.1373125
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.598534,6.513033,9.0557835
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.10319,4.40874,7.255965
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.125756,5.879672,8.502714
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.550422,5.627902,8.089162
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.900687,5.625368,8.2630275
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.514603,5.585921,8.050262
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.660963,5.181019,7.920991
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.757724,4.695105,7.2264145
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.181312,5.535572,8.358442
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.210895,6.288821,8.749858
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.59575,6.505044,9.050397
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.484606,5.594453,8.0395295
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.844252,5.261703,8.0529775
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.702544,6.629889,9.1662165
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.301927,6.272738,8.7873325
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.931961,5.789722,8.3608415
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.139843,5.93059,8.5352165
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.235246,4.357402,7.796324
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.259569,5.964788,8.6121785
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.868816,4.40874,7.138778
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.31516,5.800104,8.557632
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.857538,4.357402,7.10747
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.575801,4.357402,6.9666015
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.141972,5.183636,8.162804
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.946468,4.83996,7.893214
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.075618,4.797224,7.436421
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.225003,4.501024,7.3630135
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.123629,4.357402,6.7405155
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.921085,4.459333,7.190209
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.144667,4.40874,7.7767035
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.635231,5.070886,8.3530585
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.713625,4.357402,6.5355135
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.000419,4.357402,6.6789105
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.719753,3.909421,6.314587
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.933074,3.356305,5.6446895
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.36073,3.662441,6.0115855
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.842907,3.831063,6.336985
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.895383,3.387232,6.1413075
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.926465,3.387232,6.1568485
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.360296,3.390314,5.875305
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.158113,3.898092,6.5281025
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.503261,3.6512,6.0772305
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.000162,3.734109,6.3671355
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.550348,4.307651,6.9289995
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.932183,3.387232,6.1597075
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.70132,4.357402,6.529361
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.152174,4.423891,7.2880325
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.31386,4.357402,6.835631
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.772474,4.581131,7.6768025
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.507906,4.874236,7.691071
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.461408,6.072879,8.7671435
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.89938,5.095827,7.9976035
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.820586,4.121608,7.471097
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.165833,4.883001,8.024417
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.744655,4.476653,7.610654
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.581342,5.362692,7.972017
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.016538,5.146451,8.0814945
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.928153,4.593932,7.2610425
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.50374,5.512331,8.0080355
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.278435,4.799687,7.539061
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.363187,5.180848,7.7720175
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.072926,4.758842,7.415884
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.892702,5.620962,8.256832
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.28659,6.567414,8.927002
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.888892,4.722061,7.8054765
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.47556,4.800508,7.638034
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.493066,4.797964,7.645515
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.725091,6.218203,8.971647
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.473648,4.643922,7.558785
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.309494,4.744318,7.526906
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.754568,5.080902,7.917735
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.855395,4.357402,7.1063985
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.800381,5.247631,8.024006
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.654958,4.357402,7.50618
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.06042,5.104373,8.0823965
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.655932,4.488088,7.57201
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.931506,4.749396,7.840451
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.871514,3.079027,5.4752705
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.459169,4.060663,5.759916
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.928067,4.40874,5.6684035
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.537945,4.357402,6.4476735
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.784486,4.376267,6.5803765
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.076575,4.368242,6.7224085
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.418958,4.776094,7.097526
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.433856,4.342102,6.387979
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.325398,3.336587,5.8309925
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.890187,4.029663,6.459925
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.410437,3.639674,6.0250555
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.437207,3.567531,6.002369
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.986583,3.567348,5.7769655
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.740659,3.778042,5.7593505
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.027046,3.387232,5.707139
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.244662,3.377976,5.811319
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.282173,3.622837,5.952505
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.677811,3.508047,5.592929
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.958952,4.150481,6.5547165
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.048538,3.937961,6.4932495
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.620107,3.916603,6.268355
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.94922,4.108417,6.5288185
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.492169,3.89195,6.1920595
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.352685,3.976079,6.164382
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.88512,4.226142,6.055631
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.417759,3.885845,5.651802
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.699285,3.689501,5.694393
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.87602,3.388787,6.1324035
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.547966,3.875509,6.2117375
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.765754,3.150119,4.9579365
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.392358,3.565194,5.978776
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.950667,3.456348,5.7035075
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.86064,4.206626,6.533633
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.525849,3.923338,6.2245935
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.691916,3.487042,6.089479
