"","sample","tissue","endometriosis","severity","p218127_at","p218128_at","p218129_s_at","NFYB"
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.585055,7.283087,5.245055,6.704399
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.014491,6.337009,5.543852,6.29845066666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.987039,7.320757,6.74791,7.351902
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.943045,6.784405,3.89659,5.87468
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.173728,6.985153,3.35437,5.83775033333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.854646,6.701704,4.460637,6.00566233333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.401438,6.075745,4.216347,5.56451
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.659822,6.748481,5.228764,6.21235566666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.23144,6.02778,4.010658,5.42329266666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.630624,7.503969,5.695753,6.94344866666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.851384,7.574822,6.870302,7.43216933333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.310721,7.967679,5.727974,7.335458
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.694396,7.89813,7.348566,7.980364
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.74243,7.746604,5.764049,7.084361
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.201796,7.643692,6.642522,7.49600333333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.113012,8.482051,8.288598,8.627887
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.413386,7.360132,5.727974,6.83383066666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.694192,7.463676,6.190314,7.11606066666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.609158,8.061718,7.528883,8.06658633333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.151856,7.381266,7.0074,7.51350733333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.495507,7.733924,8.353175,8.194202
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.066541,8.501975,8.16329,8.57726866666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.362785,7.417877,5.9498,7.24348733333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.918642,8.256719,7.056208,8.07718966666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.371614,9.62212,8.873913,9.28921566666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.241624,9.203546,8.418185,8.95445166666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.446355,9.367095,8.629942,9.14779733333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.758839,9.661252,9.147577,9.522556
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.74005,8.963243,7.900817,8.53470333333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.814227,9.796661,8.813505,9.47479766666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.346615,9.276226,8.542249,9.05503
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.372094,9.286816,8.682715,9.113875
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.091097,9.008838,8.096603,8.73217933333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.330568,9.323489,8.700616,9.11822433333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.812671,8.601892,7.801733,8.405432
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.243908,9.263631,8.459571,8.98903666666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.87983,7.894434,5.814891,7.196385
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.320468,9.319993,8.248562,8.96300766666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.411739,9.616229,9.00517,9.34437933333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.077437,7.36914,5.850049,7.09887533333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.317857,7.59439,6.85464,7.58896233333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.909624,8.759861,8.102572,8.59068566666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.449054,7.820185,6.212356,7.16053166666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.508286,6.923358,5.54758,6.65974133333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.442437,6.771763,5.245055,6.48641833333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.841096,8.661288,7.792472,8.43161866666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.002243,7.461139,6.908107,7.457163
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.210125,6.701095,6.24836,6.71986
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.42971,7.147129,3.691998,6.08961233333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.557516,7.254673,6.060381,6.95752333333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.212397,7.791244,6.568837,7.52415933333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.83306,6.738928,4.895734,6.15590733333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.474453,7.811647,7.132016,7.80603866666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.232212,7.142014,5.740036,6.704754
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.156095,7.188073,3.968105,6.104091
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.704748,6.404112,3.35437,5.48774333333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.182477,7.235554,2.342024,5.25335166666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.265846,7.815744,6.71658,7.59939
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.929885,8.699486,7.649574,8.426315
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.137015,7.072657,5.418492,6.54272133333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.107536,7.109208,5.93298,6.71657466666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.318865,7.541304,4.906764,6.58897766666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.723138,7.367708,5.754254,6.94836666666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.254691,8.009202,6.455749,7.573214
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.365198,6.996419,4.366446,6.24268766666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.294259,8.210701,6.518088,7.67434933333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.082534,7.910318,6.90507,7.63264066666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.574218,6.738928,5.245055,6.51940033333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.954906,7.475293,5.245055,6.89175133333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.245319,7.983704,6.613224,7.61408233333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.823265,8.081864,7.45405,7.786393
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.824162,7.16024,6.987458,7.32395333333333
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.961328,7.915457,6.961879,7.612888
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.291283,7.51223,7.645522,7.816345
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.195136,8.491103,7.246683,8.310974
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.378109,8.118852,5.883766,7.46024233333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.214527,8.118583,7.113187,7.81543233333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.977963,9.146686,6.868506,8.33105166666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.762128,8.779875,7.348865,8.296956
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.794214,8.213435,7.228584,8.07874433333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.092442,8.253414,7.207015,7.850957
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.075291,9.316376,7.939944,8.77720366666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.33648,8.196868,6.863033,7.79879366666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.711983,8.968683,7.91431,8.53165866666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.508668,8.583402,7.116318,8.06946266666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.948202,8.236246,7.277446,7.82063133333333
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.802162,8.76832,7.509393,8.35995833333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.244262,8.301127,7.47644,8.00727633333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.138962,9.104482,8.317509,8.853651
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.809296,8.700577,7.559118,8.35633033333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.03294,9.064887,7.754339,8.61738866666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.972649,9.120954,8.231186,8.77492966666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.712953,8.960904,8.009489,8.56111533333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.294494,8.251968,7.104411,7.88362433333333
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.154498,8.369984,6.363461,7.62931433333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.044738,7.462236,7.497982,7.66831866666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.419889,8.404832,7.100831,7.975184
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.621711,8.769971,7.886982,8.42622133333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.082555,8.917905,7.578343,8.52626766666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.511361,6.852411,7.325694,7.229822
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.136669,8.723421,8.014012,8.62470066666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.639274,7.614965,7.034764,7.42966766666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.003444,9.077097,8.020496,8.70034566666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.945298,9.018043,8.218149,8.72716333333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.673407,8.784843,7.872055,8.443435
