"","sample","tissue","endometriosis","severity","p210859_x_at","p209275_s_at","CLN3"
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.696991,8.918064,8.8075275
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.042307,10.085182,10.0637445
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.338657,10.378696,10.3586765
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.613368,10.648747,10.6310575
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.844161,10.045663,9.944912
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.235528,9.304855,9.2701915
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.189161,9.366644,9.2779025
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.381557,9.517088,9.4493225
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.38591,9.480838,9.433374
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.086636,9.282613,9.1846245
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.192204,10.132638,10.162421
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.676725,10.336108,10.5064165
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.547411,8.701529,8.62447
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.000561,9.892531,9.946546
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.27476,9.220566,9.247663
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.897591,9.044101,8.970846
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.724967,8.794859,8.759913
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.306526,10.294314,10.30042
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.708133,7.789155,7.748644
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.912187,9.899369,9.905778
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.716481,9.190477,8.953479
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.178811,9.191313,9.185062
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.974692,10.052371,10.0135315
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.513043,8.700915,8.606979
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.713712,9.887146,9.800429
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.309837,9.403276,9.3565565
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.661803,9.822509,9.742156
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.799026,10.740868,10.769947
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.925466,10.877383,10.9014245
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.219273,10.172079,10.195676
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.578652,9.719613,9.6491325
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.404874,9.657954,9.531414
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.767783,8.94766,8.8577215
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.38692,8.476447,8.4316835
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.87126,10.067185,9.9692225
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.277743,9.267928,9.2728355
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.512862,8.435847,8.4743545
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.893067,9.78366,9.8383635
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.177655,10.284252,10.2309535
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.163326,9.115803,9.1395645
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.255164,9.217782,9.236473
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.586806,8.676406,8.631606
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.698452,9.523872,9.611162
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.987915,9.030839,9.009377
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.021706,8.979139,9.0004225
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.842997,7.045272,6.9441345
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.623156,7.225998,7.424577
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.354671,7.056768,7.2057195
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.775248,7.379665,7.5774565
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.5196,7.469258,7.494429
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.832011,7.692503,7.762257
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.283781,7.247157,7.265469
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.455122,8.133131,8.2941265
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.981535,7.93688,7.9592075
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.318262,7.05868,7.188471
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.203802,7.958479,8.0811405
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.54323,7.212296,7.377763
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.193317,8.388539,8.290928
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.407861,7.265572,7.3367165
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.364003,7.196829,7.280416
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.795246,9.009776,8.902511
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.690691,9.69752,9.6941055
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.646826,8.604111,8.6254685
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.497846,9.560905,9.5293755
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.756341,9.599386,9.6778635
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.912419,9.923858,9.9181385
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.517446,8.656361,8.5869035
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.554455,9.421802,9.4881285
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.055558,9.995153,10.0253555
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.367544,9.330443,9.3489935
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.946137,9.863482,9.9048095
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.816855,8.666308,8.7415815
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.891243,10.036006,9.9636245
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.478592,8.473752,8.476172
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.998511,8.933083,8.965797
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.584425,9.521382,9.5529035
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.815304,10.739744,10.777524
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.730683,9.456899,9.093791
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.91649,9.250544,9.083517
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.512862,8.544223,8.5285425
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.648019,8.825861,8.73694
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.325389,9.457555,9.391472
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.989564,9.01734,9.003452
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.219275,9.102342,9.1608085
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.364409,8.283696,8.3240525
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.176947,9.309738,9.2433425
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.337005,8.445286,8.3911455
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.991742,9.144648,9.068195
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.571943,9.522824,9.5473835
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.736756,9.758881,9.7478185
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.304401,10.20342,10.2539105
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.749315,7.783297,7.766306
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.155345,7.789155,7.97225
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.209857,7.700249,7.955053
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.640309,8.497106,8.5687075
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.388434,7.004225,7.1963295
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.699064,7.306419,7.5027415
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.455602,7.495071,7.4753365
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.4643,6.365294,6.414797
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.607631,7.365246,7.4864385
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.822565,7.731031,7.776798
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.616238,7.582805,7.5995215
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.730833,6.654605,6.692719
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.632771,7.577209,7.60499
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.436779,7.143149,7.289964
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.887257,7.789155,7.838206
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.603057,7.440299,7.521678
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.28178,7.062904,7.172342
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.509221,7.476285,7.492753
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.539758,7.571192,7.555475
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.223757,6.825313,7.024535
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.89893,6.816303,6.8576165
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.512862,8.433332,8.473097
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.451134,7.473336,7.462235
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.482803,7.333319,7.408061
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.481003,7.350907,7.415955
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.802814,7.614533,7.7086735
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.807847,7.605034,7.7064405
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.898314,7.026347,6.9623305
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.907792,6.503442,6.705617
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.568,7.45112,7.50956
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.598811,6.49905,6.5489305
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.921587,7.644765,7.783176
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.980634,6.991221,6.9859275
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.118187,6.68798,6.9030835
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.081801,6.98788,7.0348405
