"","sample","tissue","endometriosis","severity","p209278_s_at","p209277_at","TFPI2"
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.371139,7.22006,8.2955995
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.823059,7.140269,8.481664
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.006139,11.506338,12.7562385
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.433866,6.536658,7.985262
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.656133,8.1562,9.4061665
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.225367,12.029231,13.127299
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.544917,7.603324,9.0741205
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.150324,7.384518,8.267421
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.515359,7.828137,9.171748
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.592108,4.874855,6.7334815
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.170793,8.294113,9.732453
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.058489,12.902589,13.480539
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.797744,6.511669,7.6547065
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.083283,7.603324,8.8433035
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.302081,12.50567,13.4038755
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.833831,7.383935,8.608883
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.007331,7.060922,8.0341265
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.337141,8.495304,9.4162225
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.963222,10.581699,11.7724605
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.56572,9.64503,11.105375
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.708405,8.320532,9.0144685
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.337513,6.427908,7.3827105
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.556301,7.603324,8.5798125
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.881016,7.603324,8.74217
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.566327,12.677193,13.62176
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.946229,11.205345,12.575787
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.558072,10.534572,11.546322
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.925504,9.36568,10.645592
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.165936,6.887594,8.026765
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.805228,8.487346,9.646287
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.216193,8.300639,9.758416
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.283704,7.980079,9.1318915
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.104293,11.013651,12.058972
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.878408,9.636021,10.7572145
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.91567,7.001258,7.958464
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.78152,7.795379,8.7884495
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.110099,12.03585,13.0729745
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.704006,11.977867,12.8409365
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.15888,8.086816,9.122848
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.312682,8.554011,9.4333465
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.276201,10.265936,11.2710685
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.44556,11.213988,12.329774
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.500712,7.603324,9.052018
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.754428,5.749825,7.2521265
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.665684,9.332489,9.9990865
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.108598,10.834341,11.4714695
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.354984,10.042875,10.6989295
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.760658,11.251363,12.0060105
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.407212,13.587769,13.9974905
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.865575,11.212466,12.0390205
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.081686,9.239583,10.1606345
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.794191,12.364048,13.0791195
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.103432,12.56378,13.333606
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.222992,9.874919,10.5489555
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.880996,9.922385,10.9016905
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.680842,9.956425,10.8186335
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.358788,12.516185,13.4374865
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.326631,9.859998,10.5933145
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.613646,8.980709,9.7971775
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.733527,6.831993,7.78276
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.457318,11.980647,13.2189825
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.142309,8.249823,9.196066
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.932589,7.191551,8.06207
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.714668,7.326824,8.520746
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.707442,7.602976,8.655209
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.198467,7.883055,9.040761
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.403798,7.369809,8.8868035
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.109227,11.825897,12.967562
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.101564,7.839581,8.9705725
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.996973,10.573094,11.7850335
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.001687,9.790244,10.8959655
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.446755,10.889421,12.168088
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.564929,9.159392,10.3621605
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.977353,7.156551,8.066952
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.111367,5.642616,6.8769915
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.974272,9.616323,10.7952975
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.069094,10.592514,11.330804
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.234172,9.23982,10.236996
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.757582,8.295066,9.026324
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.487438,7.603324,8.545381
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.472957,7.603324,8.5381405
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.946553,11.646396,12.7964745
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.768793,6.822748,7.7957705
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.539688,7.513343,8.5265155
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.982161,9.236369,10.609265
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.001494,8.124559,9.0630265
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.232862,9.369398,10.30113
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.93702,7.391803,8.6644115
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.319284,11.700879,12.5100815
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.622166,11.68494,12.653553
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.917257,8.044606,8.4809315
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.87904,12.375989,13.1275145
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.143774,7.158119,7.6509465
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.961196,7.582297,8.2717465
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.811047,6.906469,7.858758
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.463388,6.788249,8.1258185
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.111367,6.689959,7.400663
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",11.279088,10.370482,10.824785
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.353774,9.340281,9.8470275
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",12.831606,10.912176,11.871891
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.836393,14.170276,14.5033345
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.490298,9.782126,10.136212
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.277037,12.63286,13.4549485
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.101141,9.848916,10.4750285
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.111367,7.321507,7.716437
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.819031,8.903195,9.361113
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.899938,10.129114,10.514526
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.302062,13.480649,13.8913555
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.301923,11.810829,12.556376
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.331091,10.608046,11.4695685
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.916013,8.904801,9.910407
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.73696,11.755744,12.246352
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.385593,8.305375,9.345484
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.550471,13.882038,14.2162545
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.564283,11.719572,12.1419275
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.627009,8.857379,9.742194
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.915362,12.408464,13.161913
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.617178,8.873726,9.745452
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.491217,9.518527,10.004872
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.036537,13.092863,13.5647
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.370285,8.303403,9.336844
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.812761,8.33438,9.0735705
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.121855,8.442978,9.2824165
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.127207,8.369227,9.248217
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.881633,9.327239,10.104436
