"","sample","tissue","endometriosis","severity","p208939_at","p208940_at","p208941_s_at","SEPHS1"
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.363934,6.182387,9.02855,7.19162366666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.515204,5.725711,7.627062,6.622659
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.759996,7.736918,8.259228,8.25204733333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.364888,6.761054,8.393568,7.50650333333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.227744,7.140382,8.951963,7.773363
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.347954,7.175333,7.663506,7.728931
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.875663,8.325093,8.699481,8.63341233333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.42944,5.802956,7.282632,6.171676
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.546168,6.039536,8.236307,6.94067033333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.654979,7.953399,7.952794,8.18705733333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.182844,5.979172,7.201868,6.454628
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.118279,6.895992,8.252868,7.42237966666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.940079,7.003178,8.090612,7.67795633333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.426256,6.777844,7.726843,7.31031433333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.710696,6.209992,7.312607,6.41109833333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.936149,8.147475,7.566217,8.21661366666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.885577,5.725711,7.762416,6.79123466666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.561193,5.797285,7.676793,6.34509033333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.492917,6.895992,6.434918,6.94127566666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.218451,5.989761,7.646002,6.61807133333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.183624,7.524577,7.773403,7.82720133333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.420197,7.137883,8.591452,7.71651066666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.580935,6.954109,7.561903,7.03231566666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.569734,5.769247,7.370429,6.56980333333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.304649,5.725711,7.863008,6.63112266666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.323241,5.725711,8.002264,6.68373866666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.667392,6.1365,6.488434,6.43077533333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.490219,6.895992,8.259916,7.548709
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.346037,7.304113,8.190867,7.94700566666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.430485,8.27712,8.819456,8.50902033333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.325209,7.619175,7.547813,7.83073233333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.884875,6.895992,7.477415,7.41942733333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.71833,6.890995,7.323834,7.311053
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.376921,7.33597,7.631996,7.781629
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.980384,7.256624,8.163566,7.80019133333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.862837,7.01688,7.874806,7.584841
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.868949,7.387558,7.768728,7.67507833333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.950885,6.963871,7.389158,7.434638
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.867795,7.646784,7.533864,7.68281433333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.157272,8.009618,8.376728,8.51453933333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.805865,7.72202,8.005526,8.17780366666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.640984,7.867449,8.280386,8.26293966666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.546509,9.438603,8.542014,9.17570866666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.180896,9.074966,7.861703,8.705855
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.235609,8.960785,8.179939,8.792111
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.277263,8.904405,7.939727,8.70713166666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.548158,8.268624,7.663772,8.16018466666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.115304,8.922357,7.605658,8.547773
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.23439,9.102513,8.262319,8.86640733333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.375476,8.955854,8.121339,8.81755633333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.617971,8.172746,7.518534,8.10308366666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.571712,9.436797,8.269875,9.09279466666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.793211,7.812105,7.628492,8.077936
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.613268,9.115988,8.056836,8.92869733333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.084938,8.690262,7.904502,8.22656733333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.653461,9.467953,8.592968,9.23812733333333
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.602101,9.580466,8.533746,9.238771
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.832171,5.725711,7.145937,6.56793966666667
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.330936,7.590894,7.769075,7.89696833333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.713679,7.984649,7.716382,8.13823666666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.981557,5.725711,7.528144,6.74513733333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.983587,6.719467,8.024382,7.575812
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.51491,6.00684,7.508516,7.01008866666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.704634,8.094952,8.63185,8.47714533333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.171915,7.472761,8.951242,8.19863933333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.72584,6.788185,8.142471,7.55216533333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.079618,7.175006,7.482384,7.57900266666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.913155,6.147035,7.657553,6.90591433333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.663643,6.574898,6.689073,6.97587133333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.296522,5.926953,6.207144,6.476873
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.412905,7.593519,7.99776,8.00139466666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.106066,6.441292,7.472669,7.00667566666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.613517,6.45101,7.09041,7.05164566666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.322336,7.373927,7.997919,7.89806066666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.724619,7.73174,8.291018,7.582459
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.575585,7.704814,7.925036,8.06847833333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.411401,8.427491,8.522316,8.78706933333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.394891,7.310865,7.561643,7.42246633333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.571339,7.07409,8.201071,7.6155
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.530374,6.706596,7.00634,7.08110333333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.780459,6.895992,6.94899,7.20848033333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.379286,8.208847,7.823824,8.137319
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.069258,7.581205,8.277122,7.64252833333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.964806,8.465927,8.035356,8.48869633333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.207339,7.204016,8.276766,7.89604033333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.636466,6.895992,8.080344,7.53760066666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.743126,7.03093,7.882458,7.55217133333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.44372,7.783538,8.530932,8.25273
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.383772,6.842176,6.313796,6.84658133333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.154491,6.111158,5.77242,6.346023
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.492615,6.652284,5.927325,6.69074133333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.786091,6.895992,6.180278,6.95412033333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.321346,8.198374,7.715519,8.41174633333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.239771,8.129017,6.997945,7.788911
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.519993,8.612324,7.908451,8.34692266666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.40678,8.306826,5.902737,7.538781
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.845091,8.587352,6.628391,8.020278
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.006087,8.589757,7.27113,8.28899133333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.405254,7.906887,7.616671,7.97627066666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.09525,8.732603,7.057944,8.29526566666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.308618,8.108318,7.403788,7.94024133333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.540018,8.014781,7.027018,7.86060566666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.045339,7.774011,6.569349,7.46289966666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.949263,7.145812,6.789214,7.294763
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.792111,8.241403,6.872467,7.96866033333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.960359,7.287353,6.988319,7.41201033333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.338782,9.085329,7.750672,8.72492766666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.489512,8.329866,7.08619,7.96852266666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.23744,8.937499,7.534568,8.56983566666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.634482,8.13099,7.515382,8.093618
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.585368,8.008644,6.915456,7.83648933333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.305311,7.443898,7.381877,7.710362
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.092483,7.458246,6.524672,7.358467
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.216478,7.31431,7.480073,7.670287
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.19923,7.664795,7.232623,7.69888266666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.538276,9.0459,8.289076,8.95775066666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.512529,8.830999,7.805144,8.716224
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.337923,6.895992,6.469737,6.90121733333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.314189,9.1194,7.945068,8.79288566666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.570505,7.836288,7.46535,7.957381
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.383812,9.167673,7.762634,8.771373
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.134429,8.774568,7.784667,8.56455466666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.940699,8.857064,7.646111,8.48129133333333
