"","sample","tissue","endometriosis","severity","p209592_s_at","p221745_at","p224730_at","p236134_at","DCAF7"
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.533683,7.229249,7.728999,3.284846,6.19419425
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.357523,5.796188,7.375011,4.254365,5.94577175
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.521674,7.060913,7.342971,3.598647,6.13105125
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.245938,6.177468,7.094493,3.767516,5.82135375
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.370162,6.048208,7.761208,4.336689,6.12906675
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.899091,5.853169,7.362129,4.444181,6.1396425
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.542539,5.974409,7.241594,3.734947,5.87337225
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.486398,5.608995,6.917522,3.536067,5.6372455
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.182204,7.108215,7.84628,3.744069,6.220192
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.027482,7.495098,7.968948,3.459568,6.487774
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.825423,6.843531,7.757332,3.793059,6.30483625
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.486245,7.675412,8.724999,4.764362,6.9127545
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.817652,7.530429,8.000992,3.863326,6.55309975
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.801093,6.864128,7.72666,4.277351,6.417308
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.769952,5.992306,6.185182,4.718815,6.16656375
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.087733,5.794904,5.675835,4.701831,5.81507575
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.692805,4.257644,5.486408,4.335518,5.44309375
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.534551,5.27857,5.479606,5.448864,6.18539775
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.996075,6.884115,6.598979,5.437362,6.72913275
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.271412,6.557431,5.371571,4.735515,6.23398225
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.390775,5.173621,5.475555,4.86678,5.97668275
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.024831,5.348733,5.601106,5.658329,6.40824975
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.906514,5.970613,5.506243,5.3043,6.1719175
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.057999,7.318775,5.459418,6.627186,6.8658445
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.595275,5.645142,5.614829,5.765524,6.4051925
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.161805,6.185136,4.102067,5.268966,5.6794935
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.677913,6.659324,4.460447,5.705346,6.1257575
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.68461,5.021636,5.585591,5.927013,6.0547125
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.308519,5.608995,4.951014,6.009032,6.21939
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.412668,6.789317,4.620658,5.823856,6.16162475
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.770771,7.394935,5.075732,5.900171,6.53540225
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.0926,4.332989,4.371132,4.943331,5.435013
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.634063,5.968353,6.657701,5.38494,6.41126425
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.335838,7.151653,5.232352,5.292182,6.50300625
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.339793,6.000366,5.39803,6.507897,6.3115215
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.610278,6.412871,6.430167,5.822651,6.81899175
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.639152,7.42234,4.227291,5.458452,6.18680875
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.400233,6.426865,5.777425,5.676963,6.3203715
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.992053,3.935775,2.427072,5.682251,5.00928775
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.737825,5.97878,6.896709,6.007931,6.90531125
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.975211,5.62377,5.016284,5.388643,6.000977
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.11285,4.860972,5.601106,5.007971,5.89572475
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.698671,5.173621,5.108441,4.718815,5.924887
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.420304,6.334587,5.476085,6.018201,6.31229425
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.029605,5.235381,4.914418,5.056821,5.80905625
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.034071,6.083561,6.76599,4.857838,5.935365
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.034071,5.842647,6.762122,4.335518,5.7435895
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.114345,6.434066,6.651523,4.874538,6.018618
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.66966,5.63706,6.548015,5.069444,5.98104475
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.109078,7.646288,7.824599,5.112584,6.67313725
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.034071,7.279195,7.781979,5.088219,6.545866
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.183366,7.500329,7.42325,5.217593,6.8311345
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.598319,4.249818,5.449037,5.930277,5.30686275
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.227646,3.473239,5.678747,6.401844,5.195369
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.072658,6.73218,7.515316,5.906054,6.556552
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.996779,3.467366,6.263891,6.002636,5.432668
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.812956,3.660132,6.380548,5.427804,5.32036
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.302548,6.805679,6.967617,5.232223,6.32701675
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.034071,4.279226,6.451944,6.581341,5.8366455
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.033519,3.987165,5.999929,5.420516,5.36028225
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.075008,4.249818,5.948773,5.827052,5.52516275
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.549454,3.562466,6.099951,6.771522,5.49584825
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.467925,4.628008,6.703068,6.105283,5.976071
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.603825,8.440402,8.281004,4.304269,6.907375
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.717196,7.20729,8.176042,5.835399,6.73398175
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.298197,7.388878,7.829266,6.435074,6.98785375
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.709015,4.253906,6.564885,6.164971,5.67319425
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.653442,5.952924,7.485728,6.756089,6.46204575
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.522389,4.304278,7.0486,5.681223,5.6391225
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.674738,4.34155,5.456259,5.18904,5.16539675
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.513399,6.590422,7.450476,4.950359,6.376164
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.522389,4.249818,7.161631,5.386969,5.58020175
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.832107,5.93269,7.716273,5.797561,6.56965775
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.277462,3.720639,5.793188,5.505739,5.324257
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.26504,4.077996,5.248516,5.810901,5.35061325
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.903984,6.814016,7.356299,6.312311,6.8466525
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.00951,5.909809,7.367585,5.639824,6.231682
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.40572,6.417474,7.298691,5.476789,6.3996685
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.472279,7.36664,7.590505,5.582755,6.75304475
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.251416,6.699157,7.843022,5.901208,6.67370075
