"","sample","tissue","endometriosis","severity","p208851_s_at","p208850_s_at","THY1"
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.200553,8.029739,8.615146
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.480667,8.761463,9.121065
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.340338,9.087897,9.7141175
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.042816,8.60473,9.323773
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.394652,10.481091,10.9378715
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.820959,9.70299,10.2619745
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.435686,9.836659,10.6361725
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.029198,11.020385,11.5247915
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.320932,10.600912,10.960922
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.848771,11.801754,12.3252625
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.05746,11.047752,11.552606
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.642397,9.429191,10.035794
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.420893,11.200786,11.8108395
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.146429,9.545492,10.3459605
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.6456,10.294444,10.970022
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.358619,11.480484,11.9195515
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.420681,11.368444,11.8945625
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.22801,8.95621,9.09211
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.879529,11.119865,10.999697
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.163351,11.237438,11.7003945
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.677873,9.297832,9.9878525
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.140778,11.112748,11.626763
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.074591,10.326643,10.700617
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.374147,10.923928,11.6490375
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.176037,10.068377,10.622207
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.528356,9.488016,10.008186
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.35014,8.544281,9.4472105
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.007786,10.151807,10.5797965
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.208009,10.968476,11.5882425
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.847119,10.582795,11.214957
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.93775,8.298979,9.1183645
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.518871,9.218599,9.868735
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.652088,9.591528,10.121808
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.541925,10.523677,11.032801
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.367732,10.163025,10.7653785
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.245855,10.235197,10.740526
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.146205,9.261596,9.7039005
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.668935,11.316629,11.992782
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.610986,8.350004,8.980495
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.565651,11.048217,11.306934
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.774429,9.942148,10.3582885
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.271214,9.265336,9.768275
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.338494,8.763947,9.5512205
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.110601,10.160262,10.6354315
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.561386,10.384284,10.972835
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.724412,9.584473,10.1544425
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.25967,8.712085,8.9858775
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.658627,8.301101,8.979864
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.15857,11.026942,11.592756
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.293254,11.436391,11.8648225
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.315777,11.073434,11.1946055
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.533243,10.990981,10.762112
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.907562,10.775479,10.8415205
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.516513,9.455266,9.4858895
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.773207,8.449698,8.6114525
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.403934,11.454882,11.429408
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.375455,11.24409,11.3097725
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.024637,9.990456,10.0075465
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.415465,9.115265,9.265365
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.492854,10.378813,10.4358335
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.389405,10.268926,9.8291655
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.878917,10.972772,10.9258445
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.866686,8.946969,8.9068275
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.255943,11.392337,11.32414
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.769025,10.53877,10.6538975
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.81218,10.033855,10.4230175
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.753103,8.742783,9.247943
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.248738,11.684108,11.966423
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.014209,10.198544,10.6063765
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.205291,11.436919,11.821105
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.473506,9.88986,10.181683
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.939481,12.350521,12.645001
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.905808,12.318777,12.6122925
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.206318,8.794205,9.5002615
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.571057,9.780318,10.1756875
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.078063,10.031022,10.5545425
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.493699,9.031486,9.7625925
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.536973,8.591291,9.564132
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.33451,11.454348,11.894429
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.217348,9.983857,10.6006025
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.921627,8.488075,9.204851
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.588361,9.746177,10.167269
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.002855,9.355013,10.178934
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.254024,11.721521,11.9877725
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.274912,11.06043,11.667671
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.288031,9.655991,10.472011
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.74933,12.093188,12.421259
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.575624,9.086771,9.8311975
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.448532,9.200766,9.824649
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.87132,10.016393,10.9438565
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.301392,9.424247,9.8628195
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.910141,10.299984,11.1050625
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.373058,11.408992,11.891025
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.977617,11.42924,11.7034285
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.480539,9.257875,9.869207
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.952236,8.245775,9.0990055
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.627237,7.331315,7.979276
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.022769,6.422258,7.2225135
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.425573,8.588184,9.0068785
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.491817,8.481077,8.986447
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.294205,10.312157,10.803181
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.572072,11.236504,11.404288
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.41408,11.627714,12.020897
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",10.415035,9.018815,9.716925
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.411484,6.823639,7.6175615
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.086529,9.777758,9.9321435
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.669033,7.291093,7.980063
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.84391,9.84223,10.34307
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.704921,8.226842,8.4658815
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.215861,6.597975,7.406918
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.030183,7.461701,8.245942
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.691925,7.441899,8.066912
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.266317,10.122315,10.694316
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.451093,8.954569,9.202831
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.993307,10.631361,10.312334
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.391051,11.819732,11.6053915
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.20286,10.655986,10.429423
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.592307,8.494388,9.0433475
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.631308,10.554929,10.5931185
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.339014,8.128669,8.2338415
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.767277,9.63932,10.2032985
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.930167,9.291377,9.110772
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.27773,7.620928,7.949329
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.007115,11.265542,11.1363285
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.156495,10.108665,10.63258
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.085377,7.556662,8.3210195
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.771603,11.103032,10.9373175
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.256042,8.140551,8.1982965
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.228706,11.377062,11.302884
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.168812,11.295337,11.2320745
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.9266,11.337515,11.1320575
