"","sample","tissue","endometriosis","severity","p208767_s_at","p208029_s_at","LAPTM4B"
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.761117,10.984951,10.873034
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.969176,11.296237,11.1327065
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.934693,10.241209,9.587951
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.507063,11.216092,10.8615775
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.470862,11.710423,11.5906425
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.654788,9.480488,9.067638
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.062918,10.272812,10.167865
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.674638,12.393554,12.034096
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.633157,10.963002,10.2980795
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.879103,11.307256,10.5931795
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.787551,11.064889,10.42622
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.672073,13.262319,12.967196
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.665231,10.32439,9.9948105
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.341559,10.463402,10.4024805
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.008493,11.303185,10.655839
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.251477,11.496643,11.37406
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.686791,10.915254,10.3010225
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.13257,10.876401,10.5044855
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.253662,10.735749,10.4947055
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.378549,10.320501,9.349525
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.027797,11.253413,10.140605
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.433095,11.119373,10.776234
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.078029,9.827922,8.9529755
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.626914,10.893699,10.2603065
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.866541,11.187766,11.0271535
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.833819,11.129604,10.4817115
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.954041,10.723131,10.338586
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.688869,10.939633,10.314251
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.401271,10.375551,9.888411
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.64834,9.863976,9.256158
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.025463,10.410654,10.2180585
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.812763,11.0011,10.9069315
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.626707,11.552569,11.089638
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.815877,12.504767,12.160322
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.514363,11.973502,11.2439325
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.801725,10.711393,9.756559
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.217285,11.48863,10.8529575
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.11206,11.91071,11.511385
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.406259,11.920587,11.663423
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.639528,10.729501,10.1845145
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.938609,11.6619,11.3002545
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.96481,11.828535,11.3966725
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.989161,12.209692,11.5994265
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.363423,12.217719,11.790571
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.737828,11.995242,11.366535
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.996728,11.799459,11.3980935
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.257264,11.843564,11.550414
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.570224,12.865575,12.2178995
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.870505,12.918603,12.394554
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.571953,12.487472,12.0297125
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.265197,13.285706,12.7754515
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.582775,11.573758,11.0782665
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.865024,12.859334,12.362179
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.858486,12.908147,12.3833165
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.589109,12.428548,12.0088285
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.636175,11.96054,11.2983575
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.994454,13.250208,12.622331
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.932012,12.580961,12.2564865
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.960342,13.19769,12.579016
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.123735,11.300725,10.21223
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.88673,12.8917,12.389215
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.989604,12.915081,12.4523425
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.255232,11.102471,10.6788515
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.3622,11.58875,10.975475
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.550128,12.022056,11.786092
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.259105,11.702478,11.4807915
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.601591,10.630949,10.11627
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.443354,11.204711,10.8240325
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.74076,11.917095,11.8289275
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.524541,12.222412,11.8734765
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.097494,10.361688,9.729591
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.450346,12.036211,11.2432785
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.238161,11.176849,10.707505
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.424683,11.765746,11.0952145
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.304031,10.816746,10.0603885
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.919188,12.787078,12.353133
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.228658,11.116373,10.6725155
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.309019,11.319446,10.8142325
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.030952,9.48866,8.759806
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.512465,9.741932,9.1271985
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.361102,11.933826,11.647464
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.003902,13.065718,12.53481
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.0677,11.687256,10.877478
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.811927,11.201127,10.506527
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.321692,10.856332,10.089012
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.613149,11.919286,11.2662175
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.590965,12.399244,11.9951045
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.492672,12.463148,11.97791
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.150213,12.107241,11.628727
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.582839,12.818193,12.200516
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.951996,11.186893,11.0694445
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.875783,10.755312,10.3155475
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.942079,11.474236,10.7081575
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.754657,12.146643,11.45065
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.797735,12.008004,11.4028695
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.78545,12.229232,11.507341
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.395759,12.81486,12.1053095
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.915971,13.328671,12.622321
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.478674,12.361885,11.9202795
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.459526,12.915781,12.1876535
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.688325,10.771624,9.7299745
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.763744,12.210297,11.4870205
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",11.11252,12.589441,11.8509805
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.039136,10.958019,9.9985775
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.996943,12.80172,11.8993315
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.292724,10.495766,9.894245
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.722034,14.131067,13.4265505
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.388364,13.07171,12.230037
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.843359,12.046746,11.4450525
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.272126,12.812102,12.042114
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.702722,12.303186,11.502954
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.535687,12.469695,12.002691
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.562592,12.503744,12.033168
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.250669,12.224365,11.737517
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.054198,11.878833,10.9665155
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.30805,12.531401,11.9197255
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.953451,11.646207,10.799829
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.306153,12.071475,11.188814
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.764556,11.973865,11.3692105
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.176649,11.865886,11.0212675
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.602285,12.447522,12.0249035
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.449711,12.921539,12.185625
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.284325,11.883414,11.0838695
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.042629,12.975167,12.508898
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.833812,11.933337,11.3835745
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.282983,12.527078,11.9050305
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.544102,12.769554,12.156828
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.645725,12.582119,12.113922
