"","sample","tissue","endometriosis","severity","p203254_s_at","p236132_at","TLN1"
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.997188,4.947743,6.4724655
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.278485,4.163486,6.2209855
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.404123,5.926605,6.165364
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.726624,5.161721,6.9441725
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.847189,4.67291,5.7600495
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.972801,5.184987,5.578894
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.42272,4.104158,6.263439
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.623519,4.08085,5.8521845
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.70957,3.688948,4.699259
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.138366,4.386301,6.2623335
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.083166,4.08085,6.582008
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.245318,4.08085,6.163084
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.447821,4.852683,6.150252
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.794881,3.836757,6.315819
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.773676,3.955173,6.8644245
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.133398,3.761037,6.4472175
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.244162,4.342417,6.2932895
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.1511,3.993012,5.572056
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.801789,3.755249,6.778519
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.130665,4.08085,6.6057575
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.30577,4.08085,4.69331
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.434208,4.08085,4.757529
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.259072,4.08085,4.669961
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.464988,3.795572,4.63028
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.623452,3.427201,4.5253265
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.589496,3.022971,3.8062335
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.789129,4.082835,4.435982
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.878755,4.08085,4.4798025
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.612636,3.639312,4.625974
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.139775,4.08085,4.6103125
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.786019,4.08085,4.9334345
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.767835,4.08085,4.9243425
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.063849,3.563271,5.31356
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.506331,4.491746,4.9990385
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.387049,4.08085,4.7339495
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.57823,4.027173,6.8027015
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.856651,2.904988,5.8808195
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.987215,4.08085,6.0340325
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.710849,4.08085,6.8958495
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.668293,4.291535,6.979914
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.590509,4.763578,7.1770435
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.732663,4.080937,6.4068
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.923441,4.526196,6.7248185
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.50755,3.086088,6.296819
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.281884,5.282846,6.782365
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.816208,4.08085,6.948529
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.518494,3.327392,5.922943
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.848004,4.415011,6.1315075
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.496329,4.257097,6.876713
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.176672,4.833802,6.505237
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.828197,4.007384,6.4177905
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.196079,6.156383,7.176231
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.929085,4.474432,5.7017585
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.332952,3.691728,6.51234
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.296346,3.415591,5.3559685
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.01037,4.114895,6.5626325
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.506548,5.195276,7.350912
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.170035,4.08085,6.6254425
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.524865,4.227357,6.876111
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.73897,4.08085,6.40991
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.212677,4.102383,6.65753
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.752382,4.000284,5.876333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.697927,4.08085,6.8893885
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.319602,4.957501,7.1385515
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.140857,2.904988,6.0229225
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.943733,3.195239,5.069486
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.170064,4.08085,6.625457
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.360779,4.08085,6.7208145
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.152513,3.343704,6.2481085
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.703829,3.895481,6.799655
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.314796,2.936092,5.625444
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.942928,4.08085,6.511889
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.62141,3.71377,6.16759
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.561786,5.075433,7.3186095
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.488283,2.995999,5.742141
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.170763,3.369598,5.2701805
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.842959,3.70639,5.7746745
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.200173,4.08085,6.1405115
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.48032,3.832495,5.6564075
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.857275,3.806089,5.831682
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.009135,4.08085,6.0449925
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.780735,3.821061,5.800898
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.63687,3.681072,5.658971
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.337401,4.08085,6.2091255
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.713289,2.973758,4.3435235
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.088153,3.014168,5.0511605
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.058992,2.904988,4.98199
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.502783,4.08085,5.7918165
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.02878,3.698105,5.8634425
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.896626,4.053651,5.9751385
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.064709,4.08085,5.5727795
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.885114,3.551847,5.7184805
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.239029,4.08085,6.1599395
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.434541,3.779299,5.60692
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.005488,4.270682,6.138085
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.425689,4.925277,6.675483
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.230291,3.671843,5.451067
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.30922,3.834028,6.071624
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.191703,3.092731,5.142217
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.412235,4.08085,5.7465425
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.282235,3.579937,5.431086
