"","sample","tissue","endometriosis","severity","p228620_at","p228714_at","PRKRA-AS1"
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.426507,2.437832,2.4321695
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.354798,2.906013,4.6304055
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.522591,2.906013,3.714302
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.76755,2.62592,3.196735
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.300407,2.437832,2.8691195
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.670989,2.906013,3.788501
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.628341,2.236067,2.932204
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.628341,2.567013,3.097677
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.279162,3.176629,4.7278955
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.899951,3.029758,3.9648545
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.472418,2.795283,4.1338505
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.993728,2.493549,3.7436385
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.299483,2.905918,4.1027005
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.628341,2.62592,3.1271305
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.51638,2.795283,4.1558315
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.628341,2.236067,2.932204
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.754029,2.62592,3.1899745
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.604065,2.906013,3.755039
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.9473,2.324254,3.135777
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.455052,3.565337,4.5101945
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.01097,2.62592,2.818445
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.144839,2.965398,3.5551185
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.463943,2.585527,3.524735
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.616006,2.62592,3.620963
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.628341,2.438148,3.0332445
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.986743,2.236067,2.611405
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.140936,2.437832,2.789384
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.4537,3.047634,4.250667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.391298,2.704223,4.0477605
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.018047,3.351576,4.6848115
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.930131,2.437832,3.6839815
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.592716,2.751629,4.1721725
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.377341,2.906013,4.641677
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.76755,2.439482,3.103516
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.68776,2.905536,3.296648
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.628341,2.437832,3.0330865
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.218934,2.906013,4.0624735
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.380215,4.628024,5.5041195
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.3088,2.906013,4.6074065
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.659284,2.632968,3.646126
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.031887,2.351215,3.191551
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.053288,5.14397,6.098629
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.361798,4.82095,6.091374
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.629061,3.750474,5.1897675
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.569142,5.107477,6.3383095
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.643054,3.527289,5.0851715
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.044236,4.103882,5.074059
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.517219,4.712777,5.614998
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.122503,3.395278,4.7588905
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.511241,2.906013,4.208627
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.633898,4.509278,5.571588
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.113627,3.754427,4.934027
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.276831,4.658814,5.9678225
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.891002,4.312189,5.1015955
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.049624,4.224458,5.637041
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.728313,4.761607,5.74496
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.91521,2.70504,3.810125
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.173369,2.433076,3.8032225
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.76755,2.905918,3.336734
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.050347,2.700851,3.875599
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.755804,2.62592,3.690862
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.639841,2.62592,3.6328805
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.499979,3.589896,5.0449375
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.455052,2.905918,4.180485
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.455052,2.598118,4.026585
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.70078,2.905918,3.303349
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.597751,2.795283,4.196517
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.674741,2.849942,4.2623415
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.628341,2.62592,3.1271305
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.295173,3.022969,4.659071
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.236931,2.906013,4.071472
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.494468,2.905918,4.200193
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.406165,2.905918,3.6560415
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,2.437832,2.3369495
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.275658,4.142975,5.2093165
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.357488,4.113024,5.735256
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.472215,2.906013,4.189114
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.003616,2.672869,3.8382425
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.51241,2.795283,4.1538465
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.455052,2.905918,4.180485
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.795254,2.437832,3.616543
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.08795,3.881421,3.9846855
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.649502,2.906013,4.7777575
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.565896,2.91201,4.238953
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.704641,2.905918,2.8052795
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.087769,3.026732,4.5572505
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.656696,2.797686,4.227191
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.909233,2.906013,4.907623
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.847596,2.62592,3.236758
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.86787,2.905918,4.386894
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.940377,2.906013,4.423195
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.058966,3.769949,5.4144575
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.465254,2.905918,4.185586
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.150091,2.906013,4.528052
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.455052,3.207099,4.3310755
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.637645,2.977208,4.3074265
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.542275,4.866483,6.204379
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.806392,2.827919,3.8171555
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.290704,3.68186,4.986282
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.40046,3.865453,5.6329565
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.950625,3.543534,4.7470795
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.897982,2.906013,3.9019975
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.068132,3.387424,4.227778
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.455052,3.120499,4.2877755
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.663127,3.906785,4.784956
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.898774,5.142144,6.520459
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.024018,5.327759,6.6758885
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.852626,5.334081,6.5933535
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.08789,2.795283,3.9415865
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.222632,5.264032,6.743332
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.502948,3.580703,4.5418255
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.149992,2.906013,4.0280025
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.285863,4.097827,5.691845
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.441191,3.055586,3.7483885
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.801944,5.516137,6.6590405
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.200027,3.771391,4.985709
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.812888,2.260047,3.0364675
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.896786,5.043941,6.4703635
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.996113,4.102628,5.5493705
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.251483,5.218864,6.7351735
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.166686,4.998493,6.5825895
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.181457,4.674663,5.92806
