"","sample","tissue","endometriosis","severity","p212261_at","p212260_at","GIGYF2"
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.806056,5.913048,6.859552
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.454211,5.315263,6.384737
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.695302,6.630564,7.662933
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.450718,6.490901,6.9708095
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.014681,5.810568,6.4126245
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.080696,4.553551,5.8171235
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.666291,7.544218,8.1052545
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.657319,5.154453,5.905886
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.053897,5.393096,6.2234965
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.868509,6.777204,7.3228565
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.188732,5.658063,6.4233975
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.771985,4.553551,6.162768
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.658042,6.368886,7.013464
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.882312,6.540193,6.7112525
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.060997,4.715411,5.888204
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.810455,6.467723,7.139089
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.291873,5.517728,6.4048005
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.518577,5.84063,6.6796035
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.770249,6.189715,6.479982
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.997395,6.032188,7.0147915
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.045235,5.186436,6.1158355
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.115075,5.679225,6.39715
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.134781,5.434623,6.284702
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.307961,5.061223,6.184592
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.72743,5.761568,6.744499
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.522169,5.450252,5.9862105
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.150335,6.628477,7.389406
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.44281,6.681728,7.062269
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.806614,5.577887,6.1922505
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.006915,6.812766,7.4098405
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.556893,7.22629,7.3915915
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.20361,6.540193,7.3719015
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.451601,6.400459,6.92603
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.939919,7.052919,7.496419
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.52627,6.370775,6.9485225
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.993034,6.790646,7.39184
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.728225,7.185944,7.4570845
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.066699,6.540193,7.303446
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.217287,6.933553,7.57542
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.119832,7.409928,7.76488
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.318961,7.459621,7.889291
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.188517,7.271233,7.729875
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.351126,7.743085,8.0471055
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.224747,7.453897,7.839322
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.425895,7.599852,8.0128735
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.276549,7.591379,7.933964
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.130763,7.483872,7.8073175
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.451374,7.294434,7.872904
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.349976,7.549437,7.9497065
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.964351,6.997255,7.480803
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.287723,7.568096,7.9279095
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.555886,6.821684,7.688785
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.087352,7.482353,7.7848525
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.088924,7.392569,7.7407465
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.939198,7.079123,7.5091605
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.312951,7.03575,7.6743505
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.771503,6.540193,7.155848
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.282898,6.070555,6.6767265
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.374653,6.303314,7.3389835
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.621872,6.34032,6.981096
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.927592,6.918087,7.4228395
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.802201,5.907445,6.354823
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.215039,7.130444,7.6727415
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.080918,6.172712,7.126815
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.667079,5.805707,6.236393
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.914916,6.871394,7.393155
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.9466,5.835975,6.8912875
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.501477,6.540193,7.020835
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.745103,6.540193,7.142648
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.239046,5.720916,6.479981
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.003243,5.527851,6.765547
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.653459,5.669272,6.6613655
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.89419,6.540193,7.2171915
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.654223,6.780138,7.2171805
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.799392,6.797518,7.298455
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.523094,5.330901,6.4269975
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.295898,6.913668,7.604783
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.484968,6.529054,7.007011
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.678422,6.580749,7.1295855
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.998702,6.109541,7.0541215
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.869513,6.647171,7.258342
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.422753,6.412513,6.917633
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.419459,5.596037,6.507748
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.880872,6.540193,7.2105325
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.404796,7.409181,7.9069885
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.957087,7.030773,7.49393
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.158593,7.704661,7.931627
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.879519,7.30035,7.5899345
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.414608,7.761796,8.088202
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.435595,7.763734,8.0996645
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.71621,7.708343,7.7122765
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.277009,7.336906,7.8069575
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.404187,6.636387,7.520287
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.040089,7.240035,7.640062
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.153436,7.203569,7.6785025
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.297686,7.186958,7.742322
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.168548,7.33883,7.753689
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.009202,6.839235,7.4242185
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.840718,7.108593,7.4746555
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.463276,7.307644,7.88546
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.151975,7.515279,7.833627
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.340795,7.361462,7.8511285
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.163477,7.291128,7.7273025
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.345898,7.591608,7.968753
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.020613,6.765285,7.392949
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.140013,6.879658,7.5098355
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.525639,7.469394,7.9975165
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.777204,7.003085,7.3901445
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.294605,7.100229,7.697417
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.133333,7.184568,7.6589505
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.998171,7.211965,7.605068
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.074009,7.296445,7.685227
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.036279,6.802847,7.419563
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.188575,7.628396,7.9084855
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.288551,6.674125,6.981338
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.843942,7.253768,7.548855
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.868421,7.253938,7.5611795
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.066967,7.246472,7.6567195
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.1738,7.20539,7.689595
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.895888,6.69519,7.295539
