"","sample","tissue","endometriosis","severity","p217100_s_at","p212840_at","UBXN7"
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.971562,6.706407,4.8389845
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.60866,6.550088,6.079374
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.13802,5.238959,4.6884895
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.345608,6.804804,5.575206
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.481999,4.478882,3.4804405
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.696346,6.2676,4.981973
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.308704,6.497219,5.4029615
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.583763,7.011682,4.7977225
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.37702,4.998683,4.1878515
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.00683,3.931131,3.4689805
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.904375,3.523681,3.214028
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.179039,6.332324,5.2556815
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.073985,5.503521,5.288753
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.883377,6.056023,5.9697
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.299578,5.894763,5.0971705
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.589252,5.833883,5.7115675
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.361341,6.5267,6.4440205
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.609807,5.076151,4.842979
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.011803,5.957618,4.9847105
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.166244,5.233728,5.199986
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.422119,5.770308,5.0962135
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.673015,7.624322,6.1486685
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.664787,5.454844,6.0598155
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.308704,5.658547,4.9836255
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.704242,5.962454,5.333348
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.348464,7.489287,7.4188755
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.135639,7.219132,7.1773855
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.374356,7.284123,7.3292395
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.699923,7.226946,7.4634345
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.397068,7.37698,7.387024
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.437288,7.081651,7.2594695
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.606774,7.447618,7.527196
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.147356,7.13377,7.140563
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.64725,6.432302,6.539776
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.502699,7.236208,7.3694535
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.930371,6.799352,6.8648615
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.210112,7.297083,7.2535975
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.701659,7.902787,7.302223
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.453493,7.435988,7.4447405
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.155699,7.205578,7.1806385
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.310126,6.370434,5.34028
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.14614,6.803949,6.4750445
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.611666,6.227749,5.9197075
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.308704,4.785275,4.5469895
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.179039,6.932645,5.555842
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.168787,5.739046,5.4539165
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.467291,5.69994,5.0836155
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.149152,4.315589,4.2323705
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.263396,5.413737,5.8385665
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.312238,7.737601,5.5249195
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.382423,4.466082,4.4242525
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.827064,6.301489,5.5642765
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.179039,6.277347,5.228193
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.308451,5.790285,5.549368
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.404191,5.366816,4.8855035
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.649055,6.607878,6.1284665
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.657266,8.667387,6.6623265
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.510143,5.552951,4.031547
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.085162,6.458515,6.2718385
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.621549,6.324075,6.472812
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.091976,5.858375,5.9751755
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.179039,6.909843,5.544441
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.464617,6.388337,5.926477
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.025682,6.691362,6.358522
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.456267,4.775488,5.1158775
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.179039,5.932246,5.0556425
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.258225,5.838428,6.0483265
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.084649,4.925851,4.50525
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.217324,5.677093,4.9472085
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.434708,6.354218,5.894463
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.959073,4.557772,5.2584225
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.617147,7.377695,5.997421
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.741679,7.153447,6.447563
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.798023,7.288936,6.5434795
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.50423,6.674294,5.589262
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.1698,7.691949,6.4308745
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.124592,6.80342,5.964006
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.179039,7.70225,5.9406445
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.676586,6.5635,5.620043
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.656873,5.066845,5.361859
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.517309,6.249037,5.883173
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.703503,5.459174,5.0813385
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.984057,5.795536,5.3897965
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.13537,6.983109,6.5592395
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.667418,5.896081,5.7817495
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.956902,5.655624,5.306263
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.063135,5.874077,5.468606
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.978418,5.467646,5.723032
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.55851,5.800853,5.6796815
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.586421,7.533658,7.5600395
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.612892,6.981614,6.797253
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.751081,7.211602,6.9813415
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.858965,5.57963,5.7192975
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.117514,6.446941,5.7822275
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.811916,5.635639,5.7237775
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.518501,6.860551,6.189526
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.073028,6.721458,6.397243
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.170111,5.50591,5.3380105
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.009607,6.575789,6.292698
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.17242,6.02082,5.59662
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.439482,6.747348,6.093415
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.196157,6.965864,6.5810105
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.495783,6.593496,6.0446395
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.493096,6.886818,6.689957
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.57075,6.726357,6.1485535
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.69254,6.579093,6.1358165
