"","sample","tissue","endometriosis","severity","p36994_at","p200954_at","ATP6V0C"
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.226424,9.948356,11.08739
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.410466,11.700555,12.5555105
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.632979,10.44064,11.5368095
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.525001,10.306925,11.415963
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.180374,11.175643,12.1780085
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.495464,10.113344,11.304404
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.905346,10.728453,11.8168995
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.071733,10.733026,11.9023795
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.164332,11.229582,12.196957
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.84536,10.548099,11.6967295
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.012966,11.084642,12.048804
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.059794,11.090927,12.0753605
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.633752,10.493453,11.5636025
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.855453,11.246808,12.0511305
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.574544,9.989716,11.28213
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.774988,9.36721,10.571099
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.077093,10.887191,11.982142
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.012448,11.153669,12.0830585
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.982302,9.704311,10.8433065
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.758556,10.739212,11.748884
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.954283,10.905134,11.9297085
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.021543,10.950921,11.986232
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.840662,10.310068,11.575365
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.226004,10.039459,11.1327315
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.931383,9.789062,10.8602225
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.831477,10.754908,11.7931925
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.906889,11.063473,11.985181
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.433205,8.001529,9.217367
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.552729,8.082136,9.3174325
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.304383,7.500025,8.902204
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.516547,8.006113,9.26133
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.83291,8.724146,9.778528
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.500005,7.346833,8.923419
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.434934,7.912336,9.173635
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.240925,8.075335,9.15813
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.017705,8.913673,9.965689
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.425831,8.028722,9.2272765
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.413742,9.402071,10.4079065
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.657067,8.622331,9.639699
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.529461,9.511584,10.5205225
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.218301,8.192798,9.2055495
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.392419,8.096513,9.244466
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.431444,10.315166,11.373305
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.367829,10.212063,11.289946
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.663334,10.518963,11.5911485
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.95062,11.174252,12.062436
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.115971,10.962191,12.039081
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.186619,11.199226,12.1929225
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.360078,10.341502,11.35079
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.008271,10.946569,11.97742
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.092268,11.179609,12.1359385
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.945683,10.765699,11.855691
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.307865,11.317413,12.312639
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.565393,10.369166,11.4672795
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.242532,10.941474,12.092003
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.487273,10.36487,11.4260715
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.664026,10.44749,11.555758
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.933102,10.793575,11.8633385
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.606652,10.262296,11.434474
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.753429,9.948576,11.3510025
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.707912,10.529308,11.61861
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.882431,9.708345,10.795388
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.545075,10.220943,11.383009
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.908411,10.752065,11.830238
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.784627,10.638124,11.7113755
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.919411,10.639004,11.7792075
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.568796,10.456766,11.512781
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.61023,10.453491,11.5318605
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.16497,9.948576,11.056773
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.709102,10.889929,11.7995155
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.884642,11.191792,12.038217
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.495284,10.363478,11.429381
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.076811,9.897957,10.987384
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.822427,9.948576,10.8855015
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.956072,9.948576,10.952324
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.701005,9.948576,10.8247905
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.881778,9.948576,10.915177
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.105577,9.24592,10.1757485
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.079393,9.022237,10.050815
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.169157,9.75604,10.4625985
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",10.887912,8.612587,9.7502495
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.241024,8.933566,10.087295
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.64766,8.031361,9.3395105
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.716918,9.825478,10.771198
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.988031,8.863187,9.925609
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.237051,8.772302,10.0046765
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.23466,9.004722,10.119691
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.517992,9.585564,10.551778
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.499661,9.87933,10.6894955
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.888075,8.714734,9.8014045
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.423163,9.267436,10.3452995
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.103791,7.990836,9.0473135
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.509614,8.210317,9.3599655
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.531543,8.248619,9.390081
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.849948,8.707133,9.7785405
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.127058,8.900853,10.0139555
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.32348,9.399013,10.3612465
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.294066,9.04708,10.170573
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.46971,9.258911,10.3643105
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.331895,9.20284,10.2673675
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.791963,8.290953,9.541458
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.857456,8.709273,9.7833645
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.704264,9.757012,10.730638
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.618304,8.263808,9.441056
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.260842,9.023061,10.1419515
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.65565,8.162698,9.409174
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.490897,8.130525,9.310711
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.796494,8.464334,9.630414
