"","sample","tissue","endometriosis","severity","p209435_s_at","p207629_s_at","ARHGEF2"
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.051792,4.89241,7.472101
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.496357,6.687688,8.0920225
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.739879,6.025079,7.382479
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.943288,6.558778,8.251033
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.056454,7.279286,8.66787
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.959374,6.6935,8.326437
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.825686,6.793845,8.3097655
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.030563,7.195223,8.612893
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.969686,8.723036,9.846361
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.464503,6.416426,7.9404645
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.06085,6.976673,8.5187615
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.788264,6.628071,8.2081675
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.403229,6.506966,7.9550975
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.990495,6.579489,7.784992
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.160422,7.01468,8.087551
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.074064,6.87735,7.975707
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.094968,7.064441,8.0797045
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.9257,7.043537,7.9846185
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.175021,6.44914,7.8120805
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.887706,7.298175,8.0929405
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.346698,6.26813,7.807414
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.26887,6.021998,7.645434
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.80667,6.031821,7.4192455
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.556462,5.354896,6.955679
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.980587,5.828338,7.4044625
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.79734,6.407221,7.6022805
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.967658,4.964708,6.466183
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.872399,7.209172,8.5407855
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.031799,6.136843,7.584321
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.743399,6.589894,7.6666465
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.677079,6.185679,7.431379
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.628198,8.276031,9.4521145
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.905869,4.942619,6.424244
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.109571,5.457283,6.783427
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.799995,5.847051,7.323523
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.462157,5.992622,7.2273895
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.247649,6.375167,7.811408
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.428051,6.178517,7.303284
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.425992,6.813583,8.1197875
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.53529,6.104704,7.319997
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.912702,5.990845,7.4517735
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.355242,6.028552,7.191897
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.766737,6.473388,7.6200625
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.777246,8.165975,9.4716105
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.554972,6.112335,7.3336535
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.914518,6.46901,7.691764
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.309872,5.167283,6.7385775
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.135202,5.761224,6.948213
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.476075,5.561078,7.0185765
