"","sample","tissue","endometriosis","severity","p203232_s_at","p203231_s_at","ATXN1"
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.474831,7.436897,8.955864
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.259293,7.588938,8.9241155
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.524759,7.374849,8.949804
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.494167,6.961659,8.227913
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.504337,8.838678,9.6715075
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.291431,7.480298,8.8858645
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.56432,8.550495,9.5574075
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.570293,8.585321,9.577807
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.990646,9.43872,10.214683
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.868821,7.955835,9.412328
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.350355,8.568163,9.459259
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.670742,8.301627,9.4861845
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.946335,8.82647,9.8864025
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",11.677022,5.221598,8.44931
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.772681,6.170786,8.9717335
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",12.233862,9.882282,11.058072
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.872794,5.50928,8.191037
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.643168,9.360744,10.501956
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.246764,8.339549,9.7931565
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.262718,7.667412,9.465065
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.306909,5.639552,8.4732305
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.001601,8.633659,9.81763
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.062348,3.70895,7.385649
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.844845,6.031373,8.438109
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.346617,9.429325,10.387971
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.805849,10.103009,10.954429
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.925617,9.463235,10.194426
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.451422,7.473875,9.4626485
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.828533,10.480854,11.1546935
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.646162,7.4517,9.548931
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.326708,8.532765,9.9297365
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.545412,8.147802,9.346607
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.738675,7.305031,9.521853
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.162024,8.718732,9.940378
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.234239,5.622605,8.428422
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.828355,6.376334,8.6023445
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.065855,7.707951,9.386903
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.049667,8.566227,9.807947
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.416098,7.293258,9.354678
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.29368,8.474599,9.8841395
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.646724,7.934884,9.290804
