"","sample","tissue","endometriosis","severity","p215618_at","p230490_x_at","RSU1"
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.574538,6.553807,5.0641725
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.874946,6.840948,5.357947
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.874946,6.351499,5.1132225
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,7.332359,5.6036525
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.874946,6.89786,5.386403
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.874946,7.426695,5.6508205
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.96898,7.20524,5.58711
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.874946,7.382584,5.628765
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.598279,7.047716,5.8229975
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.874946,7.715239,5.7950925
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.874946,6.980957,5.4279515
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.187506,7.222695,5.7051005
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.915655,7.977114,5.9463845
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,6.490021,5.1824835
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.334405,7.703393,6.018899
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,7.092824,5.483885
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.993865,7.144875,5.56937
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.830308,7.084906,5.957607
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.649739,7.442586,6.0461625
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.05161,7.159251,5.6054305
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.271306,7.426695,5.8490005
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.261457,6.815316,5.5383865
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.061975,7.047716,5.5548455
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.758058,7.058605,5.4083315
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.874946,7.249939,5.5624425
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.896205,7.047716,5.4719605
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.200731,7.143577,5.672154
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.276991,7.577789,5.92739
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,7.126252,5.500599
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.874946,7.139511,5.5072285
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.18252,7.047716,5.615118
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.959239,7.511462,5.7353505
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.981321,8.045164,6.0132425
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.291888,7.358785,5.3253365
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.085434,6.747334,5.416384
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,6.522514,5.19873
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.180022,9.485175,6.3325985
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.524086,9.105132,5.814609
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.893725,8.376135,5.63493
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.681728,9.615206,6.148467
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.145035,7.607495,5.376265
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.813409,7.515195,5.164302
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.878343,8.884583,5.881463
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.640427,7.889516,5.2649715
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.923246,9.395092,6.159169
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.976533,8.401543,5.689038
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.80902,9.235396,6.022208
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.628057,9.374913,6.001485
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.874946,7.822849,5.8488975
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.157616,8.940589,6.0491025
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.803399,9.420609,6.112004
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.528144,7.426695,5.4774195
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.774165,6.702611,5.238388
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.145089,7.047716,5.0964025
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.412777,7.267501,5.840139
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.253697,6.767368,5.5105325
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.314522,6.77498,5.544751
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.874946,7.426695,5.6508205
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.874946,6.704222,5.289584
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.941077,7.047716,5.4943965
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.041118,7.995302,6.51821
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.909581,7.020974,5.4652775
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.874946,7.811149,5.8430475
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.470025,7.377012,5.9235185
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.770462,7.601144,6.185803
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.025609,7.290351,5.65798
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.597845,7.650719,6.124282
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.237392,7.047716,5.642554
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.662787,6.65736,5.6600735
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.880504,7.63395,5.757227
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.875316,7.402652,5.638984
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.285405,7.826689,6.056047
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.958643,6.704878,5.3317605
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.15866,7.534217,5.8464385
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.433868,7.549891,5.9918795
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.874946,7.030741,5.4528435
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.488916,7.426695,5.9578055
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.955281,7.426695,5.690988
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.874946,7.099082,5.487014
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.874946,6.386317,5.1306315
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.968883,6.689025,5.328954
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.82414,6.898697,5.3614185
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.824882,8.79078,6.307831
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.874946,8.131865,6.0034055
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.874946,8.613963,6.2444545
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.874946,8.180897,6.0279215
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.874946,7.56705,5.720998
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.874946,7.93,5.902473
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.874946,7.991628,5.933287
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.618194,10.276068,7.447131
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.205481,9.503462,6.8544715
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",3.874946,7.999402,5.937174
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.906464,8.862003,6.3842335
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.194247,9.420806,6.8075265
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.874946,8.195753,6.0353495
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,8.797074,6.33601
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,9.338525,6.6067355
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.269043,8.743012,6.5060275
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.114344,8.580262,6.347303
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.848195,9.158945,6.50357
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.701392,7.963016,5.332204
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.874946,8.385279,6.1301125
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.808371,8.37252,6.0904455
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.874946,8.176648,6.025797
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.874946,7.86334,5.869143
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.874946,8.320345,6.0976455
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.874946,8.112265,5.9936055
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.874946,8.48378,6.179363
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.874946,8.689117,6.2820315
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.58308,8.373885,5.9784825
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.874946,8.460169,6.1675575
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.102214,8.822752,6.462483
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.874946,7.940346,5.907646
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.874946,8.343177,6.1090615
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.874946,7.830226,5.852586
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.991018,8.354131,6.1725745
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.874946,8.891771,6.3833585
