"","sample","tissue","endometriosis","severity","p1557966_x_at","p1557965_at","MTERF4"
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.643405,7.609082,7.1262435
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.891773,6.850024,6.3708985
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.637607,7.749243,7.193425
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.481821,7.933447,7.707634
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.805183,7.772881,7.289032
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.770158,7.726707,7.2484325
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.429633,8.018516,7.7240745
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.22798,8.77718,8.50258
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.549208,7.996557,7.7728825
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.403441,7.986096,7.6947685
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.725784,8.538267,8.1320255
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.036714,7.727122,7.381918
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.161939,7.772881,7.46741
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.983146,8.486029,8.2345875
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.77277,8.502436,8.137603
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.001339,8.806128,8.4037335
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.873924,8.431532,8.152728
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.884891,8.092785,7.988838
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.95869,8.558828,8.258759
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.715896,9.115563,8.9157295
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.74003,9.69839,9.21921
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.322356,9.354103,8.8382295
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.911673,9.54004,9.2258565
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.76956,8.903532,8.836546
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.006017,9.570627,9.288322
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.593671,9.20365,8.8986605
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.457408,9.165103,8.8112555
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.31689,9.092103,8.7044965
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.048925,9.750976,9.3999505
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.601207,9.391172,8.9961895
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.279189,9.792292,9.5357405
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.668413,8.547936,8.1081745
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.125612,9.693701,9.4096565
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.203946,9.814743,9.5093445
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.60192,8.247881,7.9249005
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.595501,8.478083,8.036792
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.814631,8.815926,8.3152785
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.481821,7.962604,7.7222125
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.344642,8.127361,7.7360015
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.878122,7.888531,7.3833265
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.589615,8.198377,7.893996
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.133226,8.433087,7.7831565
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.065141,7.606994,7.3360675
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.267602,7.942782,7.105192
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.467874,7.393675,6.9307745
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.718516,8.363764,8.04114
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.681409,7.994198,7.8378035
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.785359,7.937212,7.8612855
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.481821,7.996443,7.739132
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.7273,8.24889,7.988095
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.53942,7.772881,7.6561505
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.481821,8.288562,7.8851915
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.481821,8.239898,7.8608595
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.846575,8.576322,8.2114485
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.029684,7.800529,7.4151065
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.831351,7.610253,7.220802
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.626119,7.583705,7.104912
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.551282,8.246482,7.898882
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.161667,9.157407,8.659537
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.407247,7.39331,6.9002785
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.765257,8.433269,8.099263
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.590497,8.751199,8.170848
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.686831,7.283145,6.984988
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.06398,8.669218,8.366599
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.862592,8.629372,8.245982
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.72638,8.583112,8.154746
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.986466,7.837178,7.411822
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.865683,8.296567,8.081125
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.639907,8.430436,8.0351715
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.759762,8.198458,7.97911
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.481821,8.132665,7.807243
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.670287,8.176383,7.923335
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.021532,8.861768,8.44165
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.653225,9.354296,9.0037605
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.450073,9.144885,8.797479
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.362852,8.076046,7.719449
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.841988,9.412815,9.1274015
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.038302,8.968834,8.503568
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.077426,8.770237,8.4238315
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.11152,9.181885,8.6467025
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.108681,9.248781,8.678731
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.789968,9.126331,8.9581495
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.494319,8.608096,8.0512075
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.356793,8.975327,8.66606
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.809954,9.447637,9.1287955
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.620035,9.25034,8.9351875
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.535261,8.879423,8.707342
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.084668,8.690478,8.387573
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.200408,8.698645,8.4495265
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.640214,8.490013,8.0651135
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.098728,9.067502,8.583115
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.811118,8.400176,8.105647
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.305355,8.986536,8.6459455
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.828279,9.231466,9.0298725
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.586588,8.298798,7.942693
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.50361,9.082703,8.7931565
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.073803,8.670263,8.372033
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.895061,9.532863,9.213962
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.366791,8.612692,8.4897415
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.282524,8.685891,8.4842075
