"","sample","tissue","endometriosis","severity","p224451_x_at","p226906_s_at","p232543_x_at","ARHGAP9"
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.784238,6.203273,7.797638,7.59504966666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.431532,6.566914,8.509048,8.16916466666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.308769,6.437285,7.937411,7.89448833333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.50544,8.141334,9.841714,9.49616266666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.254649,5.402306,6.186459,6.281138
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.277924,5.792418,6.6943,6.92154733333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.719193,7.177038,8.822046,8.572759
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.413295,5.435353,5.732515,6.193721
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.40931,5.402306,4.839696,5.55043733333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.217544,5.402306,5.490882,6.03691066666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.863783,6.894393,8.631202,8.463126
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.691592,6.3117,7.732778,7.57869
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.790164,5.882628,6.940042,6.87094466666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.604089,5.402306,5.67313,6.22650833333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.208769,4.909746,4.591134,5.23654966666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.500503,5.452754,5.707403,6.22022
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.609724,5.690427,7.60935,7.303167
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.39585,7.389359,8.29869,8.36129966666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.776343,4.491006,5.616338,5.62789566666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.487815,5.402306,5.826167,5.90542933333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.506422,8.433481,9.739634,9.55984566666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.818278,5.515365,7.068114,6.80058566666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.955096,5.417641,6.825505,6.73274733333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.133967,4.633272,4.512596,5.09327833333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.145421,4.72619,5.004427,5.29201266666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.887945,5.389323,6.890177,6.72248166666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.773161,4.577078,4.329918,4.56005233333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.334147,5.301797,5.073464,5.56980266666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.177685,4.561079,4.670705,5.13648966666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.949685,6.459916,6.785015,7.064872
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.069477,5.006532,4.585509,5.220506
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.006539,5.205135,4.531581,5.24775166666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.128253,4.989146,4.535557,5.217652
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.134443,4.023343,3.214967,3.79091766666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.327953,5.402306,5.190982,5.64041366666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.421971,4.673185,4.242687,4.779281
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.669215,4.506174,4.679686,4.95169166666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.144203,5.417641,5.967429,6.17642433333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.5154,4.245306,4.817012,4.85923933333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.337731,4.3065,4.445316,4.69651566666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.403903,5.417641,5.30517,5.70890466666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.207693,7.962496,9.466808,9.21233233333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.97991,5.186927,5.972428,6.04642166666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.471338,4.591599,4.740729,5.26788866666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.279674,8.100929,9.420233,9.26694533333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.231692,6.06586,7.113013,7.136855
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.064829,8.531131,10.094978,9.89697933333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.276889,5.402306,6.027229,6.23547466666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.104353,5.402306,5.75408,6.086913
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.564973,5.309962,6.353856,6.409597
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.486575,5.922519,6.560133,6.656409
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.075129,6.639731,8.416579,8.043813
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.175273,5.413876,5.537479,6.04220933333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.531777,5.402306,6.26992,6.40133433333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.11954,6.77229,8.06526,7.98569666666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.600161,8.139994,9.781957,9.50737066666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.073862,6.612627,7.882232,7.85624033333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.330345,4.430778,4.804552,5.18855833333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.831323,5.402306,4.804552,5.67939366666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.145524,4.508939,4.804552,5.153005
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.596466,4.723475,5.103768,5.47456966666667
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.540083,6.940088,8.549497,8.34322266666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.780956,5.880806,6.821877,6.82787966666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.10254,5.151028,5.538269,5.93061233333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.233558,6.47402,8.020746,7.90944133333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.583612,4.985572,6.144163,6.23778233333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.154978,6.437648,8.02525,7.87262533333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.286534,5.402306,6.477047,6.388629
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.829218,7.268376,8.751756,8.61645
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.74417,5.918055,7.74304,7.46842166666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.737957,5.361309,5.048641,5.715969
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.701644,4.872716,5.571143,5.71516766666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.733478,5.492969,6.479951,6.56879933333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.124983,4.685359,3.919938,4.24342666666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.73312,5.023619,4.53564,5.09745966666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.932243,5.345472,4.968772,5.41549566666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.561048,3.378338,4.445316,4.128234
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.447239,4.450514,3.811611,4.23645466666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.0615,4.90103,4.53564,5.16605666666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.153933,4.451191,4.844437,5.14985366666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.971603,6.693995,6.653484,7.10636066666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.951095,4.479493,4.599415,5.010001
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.035954,5.185157,4.972876,5.39799566666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.394286,6.243477,6.221921,6.61989466666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.102598,5.33738,5.749583,6.063187
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.457235,5.858726,6.071915,6.46262533333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.69475,5.578226,6.632157,6.63504433333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.149065,7.636681,8.043927,8.27655766666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.145421,5.033679,4.479553,5.219551
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.754727,7.115012,7.441448,7.77039566666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.900268,3.236682,3.723303,3.62008433333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.542659,4.81101,4.42576,4.92647633333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.145421,4.866581,4.434476,5.148826
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.827936,4.665952,3.458907,4.31759833333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.579879,6.639899,7.801218,7.67366533333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.644644,4.924513,4.154543,4.9079
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.398683,5.290192,4.804552,5.497809
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.620775,7.042465,7.312904,7.65871466666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.519333,4.792276,4.024195,4.77860133333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.143351,4.636586,4.445316,5.07508433333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.416757,5.283491,5.317787,5.67267833333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.611685,5.98553,6.361099,6.65277133333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.001284,4.693428,4.450416,5.048376
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.061273,7.688301,7.881479,8.210351
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.996669,5.417641,5.597777,6.004029
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.937017,4.851546,4.445893,5.078152
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.145421,4.97677,4.74614,5.28944366666667
