"","sample","tissue","endometriosis","severity","p209600_s_at","p213501_at","ACOX1"
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.92206,3.624958,4.773509
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.850168,3.680387,4.7652775
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.185928,2.731741,3.9588345
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.446459,4.581719,5.514089
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.130267,3.878023,5.004145
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.401789,3.596952,4.9993705
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.700949,4.581719,5.641334
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.460054,5.364676,6.412365
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.74802,5.184089,6.4660545
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.096346,5.791011,6.4436785
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.212991,4.903155,6.058073
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.945893,4.581719,5.763806
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.764338,5.252315,6.0083265
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.075152,4.703368,5.88926
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.733679,5.609246,6.1714625
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.585203,4.399156,5.4921795
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.442757,4.906662,5.6747095
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.523274,6.322132,6.922703
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.740913,6.010435,6.875674
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.951586,5.241457,6.0965215
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.797397,5.823203,6.8103
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.714886,5.512184,6.113535
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.227294,5.851128,6.539211
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.079234,5.605928,6.342581
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.06201,5.525156,6.293583
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.536092,5.418291,5.9771915
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.926155,7.165123,8.045639
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.341366,6.229608,7.285487
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.762401,6.346557,7.054479
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.704815,6.114154,6.9094845
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.970112,6.054207,7.0121595
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.651962,6.214388,6.933175
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.972901,5.718112,6.3455065
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.844312,6.035425,6.9398685
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.394892,5.615732,6.505312
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.05764,5.883196,6.970418
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.288419,5.649245,6.468832
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.462172,4.9655,5.713836
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.255078,5.894444,6.574761
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.701479,6.252019,6.976749
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.297454,5.005393,6.1514235
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.04453,6.484853,7.2646915
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.372205,6.196288,7.2842465
