"","sample","tissue","endometriosis","severity","p212230_at","p209355_s_at","PLPP3"
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.263311,8.033603,8.648457
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.557034,7.560255,7.5586445
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.442281,4.28468,6.8634805
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.803795,9.279716,9.0417555
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.51526,8.323654,7.919457
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.192477,4.28468,5.2385785
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.993601,8.619373,8.806487
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.920946,8.14411,8.532528
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.765345,4.28468,5.5250125
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.098912,5.672249,6.3855805
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.333366,6.404254,6.86881
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.74943,7.635078,7.192254
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.220244,6.687584,6.453914
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.87614,10.414938,10.645539
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.081727,9.19364,9.1376835
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.334865,9.273542,8.8042035
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.318283,8.784882,9.5515825
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.187621,8.784444,8.4860325
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.134403,8.476814,8.3056085
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.360565,8.137488,7.7490265
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.053963,2.472537,4.76325
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.565577,8.093506,8.3295415
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.237531,7.09393,8.6657305
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.393798,8.874188,9.133993
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.754928,7.804129,7.7795285
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.434692,3.005657,4.7201745
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.811073,5.540784,6.1759285
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.619234,10.562695,10.0909645
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.179923,7.263678,7.2218005
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.800868,7.295668,7.548268
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.258519,6.354866,7.8066925
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.00238,6.134842,7.568611
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.925603,7.223957,7.07478
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.704801,6.721106,7.2129535
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.838189,9.061733,9.449961
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.295349,7.732259,8.513804
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.07715,8.577322,9.327236
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.539717,7.655841,9.097779
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.728767,6.993724,8.3612455
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.665431,9.126224,9.3958275
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.651904,4.28468,6.968292
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.516001,9.742388,10.1291945
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.291043,6.830226,7.5606345
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.53051,9.896301,10.2134055
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.169342,10.58324,10.376291
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.158165,8.318888,8.7385265
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.889484,7.662817,8.2761505
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.631464,9.035462,9.333463
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.675995,8.673924,9.1749595
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.911305,9.137678,9.5244915
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.382196,10.880975,11.1315855
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.809527,9.206678,9.5081025
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.78843,7.906895,8.3476625
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.862009,9.131191,9.4966
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.062865,11.14061,11.6017375
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.913703,8.96427,9.4389865
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.427135,11.399855,11.413495
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.131478,9.452908,9.792193
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.657594,10.740033,10.6988135
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.995018,9.107395,9.5512065
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.262788,9.477586,9.870187
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.62383,10.713767,11.1687985
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.002697,8.838219,9.420458
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.281722,7.767835,8.5247785
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.422054,8.895772,9.658913
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.103782,10.22218,9.662981
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.950659,7.833023,8.391841
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.107329,5.205559,6.656444
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.878449,5.918857,6.898653
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.931489,9.257395,9.594442
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.620909,4.774417,5.197663
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.662626,6.705722,7.184174
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.880715,10.952464,10.9165895
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.513648,9.081498,9.297573
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.900354,4.28468,6.092517
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.526692,8.361492,8.944092
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.976489,8.995024,8.9857565
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.905561,8.602081,8.253821
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.236742,5.418672,6.327707
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.626093,7.884845,8.255469
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.884481,8.92479,8.9046355
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.139963,7.407308,8.2736355
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.889122,7.692077,7.7905995
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.997332,10.909823,10.4535775
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.948792,9.286713,9.6177525
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.226472,3.239691,6.2330815
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.710971,5.953239,5.832105
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.805006,7.751813,8.2784095
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.624833,6.783948,7.7043905
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.063098,5.985374,7.024236
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.421787,9.220914,9.8213505
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.189829,8.715251,9.45254
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.746145,11.05011,10.3981275
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.952896,11.683933,11.3184145
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.268167,12.556255,11.912211
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.087315,12.084794,11.5860545
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.68291,10.321823,10.0023665
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.042714,10.383175,9.7129445
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.441003,9.581653,9.011328
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",11.179751,9.698714,10.4392325
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.843915,10.916226,11.3800705
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.908902,9.561143,9.7350225
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.846874,9.416788,10.131831
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.915257,8.828049,9.371653
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.969513,10.044401,10.506957
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.731966,5.375899,6.5539325
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.738551,8.673939,9.706245
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.064005,8.869342,9.4666735
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.702661,7.452124,8.5773925
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.874346,7.782399,8.3283725
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.329517,8.6914,9.0104585
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.170024,8.342971,8.7564975
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.260436,8.228891,8.7446635
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.03031,7.273947,8.1521285
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.101864,8.114732,8.608298
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.031162,10.68553,10.858346
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.493374,6.946122,7.719748
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.45221,8.798371,9.1252905
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.949872,10.157859,10.5538655
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.463659,7.450196,7.9569275
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.442087,7.67658,8.5593335
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.017772,6.247875,7.6328235
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.250627,8.694702,8.9726645
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.861409,9.281693,9.571551
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.143057,8.324413,8.733735
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.919755,7.93907,8.4294125
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.219486,7.609991,7.9147385
