"","sample","tissue","endometriosis","severity","p225880_at","p230241_at","TOR1AIP2"
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.517649,4.904784,7.2112165
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.488345,4.775522,7.1319335
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.403017,5.312036,6.8575265
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.338613,5.365954,6.8522835
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.619432,5.519192,7.069312
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.345894,4.761527,6.5537105
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.930547,4.335823,6.133185
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.872659,4.181877,6.527268
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.983271,3.496205,6.239738
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.457094,4.234305,6.8456995
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.270989,4.107335,6.689162
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.19396,5.247054,7.220507
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.671207,4.896265,7.283736
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.921525,4.825343,6.373434
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.612826,3.652101,5.6324635
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.406247,3.98532,6.1957835
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.295675,5.307009,7.301342
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.37661,6.324243,7.8504265
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.115496,5.765755,7.4406255
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.481698,6.281216,7.881457
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.042519,6.580993,7.811756
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.404804,5.328585,7.3666945
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.354368,6.945955,8.1501615
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.382364,7.120349,8.7513565
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.331521,7.212326,8.7719235
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.187619,5.818769,7.503194
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.768478,7.354637,8.5615575
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.412817,6.324654,7.8687355
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.316873,5.812667,7.56477
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.753804,5.67601,7.214907
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.872094,6.619318,8.245706
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.218413,6.191072,7.7047425
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.57886,5.865736,7.722298
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.117616,5.684473,7.4010445
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.385916,7.341297,8.8636065
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.952031,6.215705,8.083868
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.963099,5.987454,7.4752765
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.197625,6.014369,7.605997
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.40395,6.713746,8.558848
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.70338,5.914864,7.309122
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.174006,7.063193,8.6185995
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.100911,6.395233,7.748072
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.19649,6.244782,7.720636
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.002779,5.76857,7.3856745
