"","sample","tissue","endometriosis","severity","p208784_s_at","p214383_x_at","KLHDC3"
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.288786,8.570103,8.4294445
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.899901,8.396868,8.1483845
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.270663,8.453423,8.362043
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.52351,9.302133,8.9128215
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.51893,8.736058,8.627494
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.58944,8.988081,8.7887605
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.235423,7.312761,7.274092
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.625498,8.338358,7.981928
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.539692,9.327295,8.9334935
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.755498,9.406348,9.080923
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.911928,7.069787,6.9908575
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.606373,7.059538,6.8329555
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.520663,6.917283,6.718973
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.702945,6.965332,6.8341385
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.510503,7.672226,7.5913645
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.716372,7.087224,6.901798
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.035718,7.224802,7.13026
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.168784,7.059538,7.114161
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.458311,7.3782,7.4182555
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.040931,7.160584,7.1007575
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.476136,7.617931,7.5470335
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.789981,6.957255,6.873618
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.89187,7.857492,7.874681
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.076198,7.42779,7.251994
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.991659,7.077874,7.0347665
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.295981,8.605672,8.4508265
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.838838,8.924669,8.8817535
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.566527,8.855126,8.7108265
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.495433,9.368053,8.931743
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.302448,9.712022,9.507235
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.199952,9.306159,8.7530555
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.634307,9.09019,8.8622485
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.078928,9.689179,9.3840535
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.132275,9.878402,9.5053385
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.689786,9.366322,9.028054
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.673512,9.446498,9.060005
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.163199,8.72272,8.4429595
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.953092,8.477448,8.21527
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.258814,8.676387,8.4676005
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.274826,7.999231,7.6370285
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.611861,8.737611,8.674736
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.742261,8.950609,8.846435
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.147041,6.732889,7.439965
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.744313,9.024589,8.884451
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.857424,8.655983,8.2567035
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.706649,7.891056,7.7988525
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.441135,9.97081,9.7059725
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.523229,8.788723,8.655976
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.698182,9.014969,8.8565755
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.205421,9.04833,8.6268755
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.134433,9.606287,9.37036
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.832202,8.169175,8.0006885
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.62313,9.12121,8.87217
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.251281,9.539331,9.395306
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.379038,8.908866,8.643952
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.726962,8.227612,7.977287
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.540838,7.118659,7.3297485
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.031188,8.461275,8.2462315
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.899901,8.009788,7.9548445
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.893418,8.814369,8.8538935
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.520275,8.007802,7.7640385
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.670554,9.004925,8.8377395
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.899901,8.019214,7.9595575
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.565589,7.068699,7.317144
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.81497,6.389156,6.602063
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.832922,7.059538,6.94623
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.601285,7.219525,7.410405
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.58161,6.47825,6.52993
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.596847,7.239578,7.4182125
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.338706,7.274653,7.3066795
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.643783,7.330787,7.487285
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.394469,7.235483,7.314976
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.029109,6.999351,7.01423
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.549184,7.061838,7.305511
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.559314,7.062428,6.810871
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.27873,7.462112,7.370421
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.150034,7.546948,7.348491
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.524211,7.40187,7.4630405
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.638541,7.082063,6.860302
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.315064,6.955169,7.1351165
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.607253,6.521595,6.564424
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.37057,7.817459,7.5940145
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.303149,7.312761,7.307955
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.332748,7.574155,7.4534515
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.16398,7.059538,7.111759
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.471703,7.001803,7.236753
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.361078,7.861213,7.6111455
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.17791,7.649032,7.413471
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.878359,7.311218,7.0947885
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.851669,7.059538,6.9556035
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.591362,7.052149,6.8217555
