"","sample","tissue","endometriosis","severity","p202671_s_at","p218018_at","PDXK"
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.849937,10.017867,9.933902
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.275943,10.157316,10.2166295
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.033274,10.433532,10.233403
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.546204,9.158446,9.352325
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.45844,10.107066,9.782753
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.009827,9.028342,8.5190845
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.4826,9.910023,9.6963115
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.055096,9.508336,9.281716
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.927152,8.935805,8.9314785
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.024302,9.470164,9.247233
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.906032,9.508584,9.707308
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.085525,9.235067,9.160296
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.975011,9.339773,9.157392
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.951516,9.831701,9.8916085
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.730255,9.02417,8.8772125
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.556992,8.771608,8.6643
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.382056,9.666726,9.524391
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.31695,9.353034,8.834992
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.195754,8.996053,8.5959035
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.789914,8.319372,8.054643
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.664945,9.212025,8.938485
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.150957,8.441012,8.2959845
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.102056,8.671936,8.386996
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.06683,8.74391,8.40537
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.299867,8.828423,8.564145
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.134318,8.382516,8.258417
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.410175,8.935416,8.6727955
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.367689,8.594868,8.4812785
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.049933,9.516096,9.2830145
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.980057,9.500727,9.240392
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.081168,8.94824,8.514704
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.240964,8.907594,8.574279
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.644977,9.203311,8.924144
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.833994,9.115552,8.974773
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.609539,8.82932,8.7194295
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.325369,9.577986,9.4516775
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.843037,9.408601,9.125819
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.451681,9.854772,9.6532265
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.54775,9.722329,9.6350395
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.743159,9.669447,9.706303
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.347716,9.528354,9.438035
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.307346,10.681929,10.4946375
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.286279,10.680111,10.483195
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.539314,9.291688,8.915501
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.737258,10.23538,9.986319
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.635344,10.457729,10.0465365
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.547081,9.978982,9.7630315
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.906297,9.845605,9.375951
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.106166,10.528534,10.31735
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.019094,10.368336,9.193715
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.71297,9.262928,8.987949
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.219193,9.810446,9.5148195
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.97879,9.895121,9.4369555
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.222213,9.874452,9.5483325
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.380625,9.123514,8.7520695
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.82401,9.66151,9.24276
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.695621,9.191023,8.943322
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.324283,10.6952,10.5097415
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.554304,9.56268,9.058492
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.55347,10.388718,9.971094
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.690346,10.23074,9.960543
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.807011,9.246976,9.0269935
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.105389,9.732136,9.4187625
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.048286,8.00482,7.526553
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.37358,7.643538,7.008559
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.832769,7.890238,6.8615035
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.776366,7.889039,7.3327025
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.232542,7.752262,6.992402
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.386685,7.642255,7.01447
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.407221,8.59785,8.0025355
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.174553,7.536132,6.8553425
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.484635,7.545072,7.0148535
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.624157,8.083946,7.3540515
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.504917,8.023317,7.764117
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.269306,8.003657,7.6364815
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.048269,8.182494,7.6153815
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.01993,9.050313,8.5351215
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.218932,8.00633,7.612631
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.00049,8.394833,8.1976615
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.063049,7.28818,6.6756145
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.471724,9.355545,8.9136345
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.827701,8.31545,7.5715755
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.043104,7.924539,6.9838215
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.010164,8.024653,7.0174085
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.53134,7.480842,7.006091
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.552393,9.44657,8.9994815
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.769019,8.170537,7.969778
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.622408,8.805502,8.213955
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.952623,8.885977,8.4193
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.333282,8.014659,7.6739705
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.435166,8.230651,7.8329085
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.594038,8.208169,7.9011035
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.225301,10.338748,9.7820245
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.841206,7.977989,7.4095975
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.542255,8.315381,7.928818
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.83655,8.28241,7.55948
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.259171,8.502182,7.3806765
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.840242,8.058421,7.4493315
