"","sample","tissue","endometriosis","severity","p217888_s_at","p234001_s_at","ARFGAP1"
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.215035,7.356529,8.285782
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.548659,6.882561,7.71561
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.483969,7.684398,8.5841835
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.372981,7.557985,8.465483
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.263494,6.486858,7.375176
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.638784,7.448695,8.5437395
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.317039,7.391481,8.35426
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.89524,7.234937,8.0650885
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.127782,8.295688,9.211735
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.001553,8.072169,9.036861
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.70697,5.958296,6.832633
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.653036,7.140708,7.896872
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.793147,7.077912,7.9355295
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.355183,7.580954,8.4680685
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.859182,6.800904,7.830043
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.939351,7.304198,8.1217745
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.926142,7.893286,8.909714
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.771626,6.155181,6.9634035
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.075954,7.375012,8.225483
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.71103,7.291465,8.0012475
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.371274,7.500931,8.4361025
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.701321,7.958761,8.830041
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.370097,6.825566,7.5978315
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.223259,7.15365,7.6884545
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.304912,6.731543,7.5182275
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.246364,6.955553,7.6009585
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.785284,7.098174,7.941729
