"","sample","tissue","endometriosis","severity","p204761_at","p238164_at","USP6NL"
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.223502,3.245591,4.2345465
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.406964,3.302431,3.8546975
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.994911,4.209499,5.602205
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.449263,3.631194,4.5402285
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.406964,4.106126,4.256545
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.33185,4.472896,5.402373
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.41236,4.692437,4.5523985
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.566356,4.593045,5.5797005
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.133613,3.664685,4.399149
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.129095,4.444269,4.786682
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.118007,3.325676,4.2218415
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.922551,4.196074,4.5593125
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.182386,3.210544,4.696465
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.406964,3.384694,3.895829
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.079012,3.325676,4.202344
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.194475,5.115076,5.6547755
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.73934,4.146825,4.9430825
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.37573,5.556904,6.466317
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.508748,3.424884,4.966816
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.994233,4.311418,5.1528255
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.676263,4.310596,5.4934295
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.05414,4.132955,5.0935475
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.411948,4.716377,5.5641625
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.078118,4.140583,5.1093505
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.09457,4.106126,5.100348
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.109231,4.445319,5.777275
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.843595,5.475539,6.159567
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.473548,3.750843,4.6121955
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.675679,3.26406,4.9698695
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.295446,5.542275,6.9188605
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.758309,5.618285,7.188297
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.488381,4.52414,6.5062605
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.348415,5.355681,6.852048
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.617719,4.881271,6.249495
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.424207,4.517714,6.4709605
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.895375,4.982756,6.4390655
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.425248,5.288649,6.8569485
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.414929,4.782072,6.0985005
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.658096,5.919459,7.2887775
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.745354,5.952645,6.8489995
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.067233,5.510672,6.7889525
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.179674,4.106126,5.6429
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.225311,5.930541,7.077926
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.455761,5.792648,7.1242045
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.295443,3.363259,4.829351
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.621658,4.240136,5.430897
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.946603,4.106126,5.5263645
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.175242,4.612101,5.3936715
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.522622,3.210544,4.366583
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.533154,4.129465,4.8313095
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.792491,4.01813,5.4053105
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.452283,4.106126,4.7792045
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.970161,3.325676,4.6479185
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.592302,3.210544,4.401423
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.281838,4.106126,5.193982
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.072918,4.106126,5.089522
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.16747,3.325676,4.246573
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.668716,5.38597,6.027343
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.674932,4.032644,4.853788
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.151861,4.334005,4.742933
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.165412,4.020198,5.092805
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.259753,5.421484,5.8406185
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.875585,4.488974,5.6822795
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.83544,5.603788,6.219614
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.084236,4.410988,5.247612
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.688176,4.451364,4.56977
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.529803,3.737038,4.6334205
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.051024,4.124302,5.087663
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.170236,4.518973,5.3446045
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.142884,4.690017,5.9164505
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.83882,5.061119,5.9499695
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.314591,4.120266,5.2174285
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.782442,3.2814,4.531921
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.417325,4.111753,5.764539
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.838013,4.903371,5.870692
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.529005,3.429812,4.4794085
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.230296,3.210544,4.72042
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.994588,3.184599,4.5895935
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.424964,3.436039,4.9305015
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.573359,3.006566,4.7899625
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.596777,2.47785,4.5373135
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.445501,3.210544,4.8280225
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.21725,3.190865,5.2040575
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.869296,3.731492,5.800394
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.676796,4.15807,5.917433
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.392632,4.006186,5.699409
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.891714,4.285711,6.0887125
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.416234,3.754909,5.5855715
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.409525,4.534557,6.472041
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.491745,4.868925,6.180335
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.880821,4.831546,5.8561835
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.657245,3.649398,5.6533215
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.412106,3.72989,5.570998
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.691053,5.390244,7.0406485
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.806381,4.624836,6.2156085
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.629647,4.356329,5.992988
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.063057,4.566284,6.3146705
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.27192,4.621809,5.9468645
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.33525,3.553244,5.444247
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.05878,4.223622,6.141201
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.60058,4.185618,5.393099
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.693236,3.986743,5.8399895
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.759259,5.037798,6.3985285
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.767189,4.375095,6.071142
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.538266,4.554658,6.046462
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.961235,4.413217,6.187226
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.051723,4.106126,5.5789245
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.45625,4.106126,5.781188
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.641065,4.40876,6.0249125
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.555384,4.276871,5.9161275
