"","sample","tissue","endometriosis","severity","p204879_at","p221898_at","PDPN"
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.658921,6.233645,5.446283
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.991968,7.840573,7.4162705
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.225185,6.880373,6.552779
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.829351,6.45545,6.1424005
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.904899,6.927076,6.4159875
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.829351,6.880373,6.354862
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.008717,8.292513,7.650615
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.296293,8.883563,9.089928
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.829351,5.690827,5.760089
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.829351,6.983678,6.4065145
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.936741,7.551943,7.244342
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.829351,7.290677,6.560014
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.218781,5.690827,5.454804
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.685436,8.444629,8.5650325
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.848115,5.470676,5.1593955
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.375318,5.190522,4.78292
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.482232,5.190522,5.336377
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.00335,7.232774,6.618062
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.829351,6.047517,5.938434
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.713353,5.690827,5.70209
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.361279,7.471855,6.916567
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.775958,7.051675,6.4138165
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.804796,6.15257,5.978683
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.430719,8.265142,7.8479305
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.365955,6.746659,6.556307
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.14376,5.190522,5.167141
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.772196,5.470676,5.621436
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.348836,8.5318,8.440318
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.829351,6.565955,6.197653
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.526577,7.972289,7.749433
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.916583,5.601491,5.259037
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.716172,7.824863,7.2705175
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.271693,7.308192,7.2899425
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.314973,7.886671,7.100822
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.316035,6.972981,6.144508
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.36084,6.880373,6.1206065
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.649935,7.999203,7.824569
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.219819,5.86188,5.0408495
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.829351,7.694422,6.7618865
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.193323,7.168208,6.6807655
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.847114,6.406682,5.626898
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.110153,6.280346,5.6952495
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.947705,7.783414,6.8655595
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.546236,7.772908,7.159572
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.928594,7.949631,7.4391125
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.154543,4.765736,3.9601395
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.400664,7.899862,7.150263
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.342097,7.604479,6.973288
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.776596,8.14967,7.963133
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.668959,6.858374,6.2636665
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.989959,6.880373,6.435166
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.411367,7.399731,6.905549
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.985035,7.913077,6.949056
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.03188,7.322841,7.1773605
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.929231,7.315993,7.122612
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.238435,7.175705,7.20707
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.44667,5.753977,5.1003235
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.647652,7.274606,6.961129
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.38649,9.394754,9.390622
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.870417,6.880373,6.375395
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.117654,5.690827,5.4042405
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.7142,7.791323,7.2527615
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.773411,8.821734,8.7975725
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.760254,6.891171,6.3257125
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.969613,5.744849,4.857231
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.785204,7.008573,5.8968885
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.99187,6.723892,6.357881
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.564479,8.003416,7.7839475
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.997238,9.049912,8.523575
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.227299,6.485702,6.3565005
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.106083,6.880373,5.993228
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.829351,7.596474,6.7129125
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.829351,6.880373,6.354862
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.643338,7.6087,7.626019
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.829351,7.27719,6.5532705
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.923815,6.955727,6.939771
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.829351,5.690827,5.760089
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.847114,5.470676,5.158895
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.848115,5.757978,5.3030465
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.065485,6.399496,5.2324905
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.845504,5.223925,4.5347145
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.363783,6.880373,6.122078
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.829351,6.880373,6.354862
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.847114,6.699867,5.7734905
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.367723,6.880373,5.624048
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.641814,7.884645,6.7632295
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.511037,7.483173,6.997105
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.849446,6.818157,6.3338015
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.101712,6.017258,5.559485
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.847114,5.477809,5.1624615
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.377767,7.913652,7.1457095
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.682811,5.652719,5.167765
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.370305,7.457138,6.9137215
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.611008,5.190522,4.900765
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.73395,7.564389,6.6491695
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.359156,7.434778,6.396967
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.638517,9.518388,9.0784525
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.823288,6.309905,5.5665965
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.856941,6.820249,5.838595
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.935621,6.154002,5.5448115
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.944021,6.960288,5.9521545
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.829351,7.854113,6.841732
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.847114,5.516872,5.181993
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.141785,8.465478,7.3036315
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.132766,8.836745,8.4847555
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.852592,5.690827,5.2717095
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.443685,6.641637,6.042661
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.829351,7.506661,6.668006
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.604393,9.172299,8.888346
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.550943,6.880373,6.215658
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.804584,9.550811,8.6776975
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.829351,7.59719,6.7132705
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.426821,6.395065,5.910943
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.155229,6.619118,5.8871735
