"","sample","tissue","endometriosis","severity","p55583_at","p221794_at","p221793_at","DOCK6"
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.878753,6.915809,2.236067,5.67687633333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.063856,6.137983,2.236067,5.14596866666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.403536,6.087367,2.236067,5.24232333333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.762963,6.885121,2.236067,5.62805033333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.315773,7.35508,2.236067,5.96897333333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.340519,6.023151,2.236067,5.19991233333333
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.202056,5.88678,2.236067,5.108301
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.512382,7.289934,2.236067,6.01279433333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.052493,7.19407,2.236067,5.82754333333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.368516,7.420346,2.236067,6.00830966666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.248737,7.455712,2.236067,5.980172
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.125503,8.026953,2.236067,6.462841
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.977055,7.867882,2.236067,6.36033466666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.40376,7.501841,2.236067,6.04722266666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.926417,8.016132,2.236067,6.392872
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.43623,7.672333,2.236067,6.11487666666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.341601,8.31136,2.236067,6.629676
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.305496,9.285651,2.236067,7.275738
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.828376,7.081269,2.236067,5.71523733333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.587191,7.571098,2.236067,6.131452
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.116345,8.342832,2.236067,6.56508133333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.132011,7.031435,2.236067,5.79983766666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.497434,7.710791,2.236067,6.14809733333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.30252,6.827277,2.236067,5.78862133333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.931793,7.675646,2.236067,6.28116866666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.477723,7.342256,2.236067,6.018682
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.127284,7.278708,2.236067,5.88068633333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.673308,7.809608,2.236067,6.239661
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.248651,8.186895,2.236067,6.55720433333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.322828,7.560111,2.236067,6.03966866666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.511431,7.623996,2.236067,6.12383133333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.783957,7.8542,2.236067,6.291408
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.170166,9.614117,2.236067,7.34011666666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.217697,7.200129,2.236067,5.884631
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.408503,8.449317,2.236067,6.69796233333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.838152,7.846435,2.236067,6.30688466666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.227301,6.959046,2.236067,5.80747133333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.069884,6.924522,2.236067,5.743491
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.609637,6.123636,2.236067,5.32311333333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.277103,6.292377,2.236067,5.26851566666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.932895,6.956048,2.236067,5.37500333333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.28629,7.075324,2.236067,5.53256033333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.548363,6.120804,2.236067,5.30174466666667
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.598533,6.277322,2.236067,5.37064066666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.18092,7.759093,2.236067,6.05869333333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.285824,7.448727,2.236067,5.990206
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.372889,7.605386,2.236067,6.07144733333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.391128,6.59692,2.236067,5.40803833333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.872278,6.866069,2.236067,5.658138
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.146391,7.352607,2.236067,5.91168833333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.682473,4.948717,2.236067,4.622419
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.714147,8.214364,2.236067,6.38819266666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.998167,7.122346,2.236067,5.78552666666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.989393,6.891928,2.236067,5.705796
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.111407,7.4216,2.236067,5.92302466666667
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.143224,8.615731,2.236067,6.66500733333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.753702,5.776857,2.236067,4.92220866666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.55435,6.483196,2.236067,5.42453766666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.330164,6.11668,2.236067,5.227637
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.376077,6.504938,2.236067,5.37236066666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.148694,7.041555,2.236067,5.808772
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.625153,6.67207,2.236067,5.51109666666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.955883,7.125476,2.236067,5.77247533333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.84493,6.601365,2.236067,5.56078733333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.84369,6.667024,2.236067,5.58226033333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.626224,6.220641,2.236067,5.36097733333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.867687,6.848317,2.236067,5.65069033333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.071505,9.371717,2.236067,7.22642966666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.854939,6.47957,2.236067,5.52352533333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.147895,7.175673,2.236067,5.85321166666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.582281,6.503137,2.236067,5.440495
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.945665,5.843156,2.236067,5.008296
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.262642,6.118065,2.236067,5.20559133333333
