"","sample","tissue","endometriosis","severity","p219683_at","p227499_at","p227524_at","FZD3"
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.713791,5.80137,4.673345,5.729502
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.225921,4.786587,4.729399,5.24730233333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.396256,5.627075,4.920843,5.648058
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.877697,4.58025,3.788206,4.74871766666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.481788,5.803034,4.789227,5.69134966666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.875398,7.067386,5.438104,6.460296
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.875734,6.625116,5.592272,6.364374
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.834922,6.046657,4.920843,5.93414066666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.351539,5.553152,4.920843,5.60851133333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.994542,6.842972,5.800491,6.879335
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.864112,7.434009,5.532552,6.94355766666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.742641,7.061475,5.529283,6.77779966666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.377828,7.705919,6.865358,7.64970166666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.999434,7.481169,6.26939,7.24999766666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.313776,7.220686,6.089683,7.20804833333333
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.118515,7.090139,5.63086,6.94650466666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.016448,7.081185,5.650268,6.915967
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.91919,7.123214,5.835062,6.95915533333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.12967,7.439428,6.285174,7.28475733333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.227456,6.891605,5.571944,6.56366833333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.251287,7.497272,6.120511,7.28969
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.032135,6.543704,5.475313,6.01705066666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.500671,7.595816,6.751117,7.615868
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.420081,7.311239,6.30605,7.34579
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.22582,5.216523,4.385159,5.275834
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.671596,5.411789,4.729399,5.60426133333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.307256,6.291205,5.191592,6.263351
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.96968,4.136053,4.764618,4.62345033333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.670746,6.026827,4.877291,5.52495466666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.308591,3.857504,4.478635,4.54824333333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.144079,6.406747,4.759762,6.10352933333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.399749,5.01462,4.828569,5.41431266666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.396113,4.163072,4.508895,5.02269333333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.771342,7.060674,4.920843,5.58428633333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.333845,5.979181,4.877291,5.73010566666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.008257,5.466192,4.828569,5.76767266666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.286938,4.163072,4.729399,4.72646966666667
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.224271,7.023917,4.94672,6.39830266666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.63736,4.945138,4.732318,5.10493866666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.670746,4.875623,4.920843,5.15573733333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.426879,5.29053,4.920843,4.87941733333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.426879,4.266358,4.49829,4.39717566666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.138199,6.564609,4.858916,6.18724133333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.843319,6.638648,4.920843,6.46760333333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.334163,5.076632,4.572361,5.32771866666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.441024,5.077061,4.383688,4.96725766666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.416176,5.619968,4.828569,5.621571
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.810584,4.47879,4.729399,5.00625766666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.929874,5.957688,4.737382,5.87498133333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.346567,7.23943,4.920843,6.16894666666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.51138,6.436113,4.877291,6.274928
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.352876,5.870703,4.769176,5.66425166666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.280329,5.448526,4.729399,5.48608466666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.777372,5.31166,4.920843,5.66995833333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.322971,5.19555,4.729399,5.41597333333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.815788,5.286636,5.429762,5.51072866666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.44905,4.466444,5.51181,5.14243466666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.426879,4.865296,5.85455,5.04890833333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.200826,4.487105,5.377764,5.02189833333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.949025,6.022361,7.217626,6.72967066666667
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.426879,4.179084,6.609115,5.07169266666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.848031,5.457411,6.479413,5.928285
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.383691,6.433678,4.828569,5.88197933333333
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.587335,7.553156,5.468193,6.86956133333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.762237,6.693959,5.855365,6.437187
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.466595,6.32909,4.877291,5.890992
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.609069,6.746982,4.94536,6.43380366666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.624742,6.907941,5.793819,6.77550066666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.435285,8.19565,6.432968,7.68796766666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.249336,6.697057,4.858137,6.26817666666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.134126,5.804122,3.9814,5.30654933333333
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.138003,7.492865,5.374323,7.00173033333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.255887,7.074444,5.437672,6.58933433333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.85946,7.304773,6.451539,7.20525733333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.728778,7.286425,6.917308,7.310837
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.559589,7.604238,6.65205,7.271959
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.916438,5.804122,4.623549,5.44803633333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.221098,7.250882,5.81338,6.76178666666667
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.288088,7.127945,5.690892,6.70230833333333
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.474124,6.571182,4.781868,6.27572466666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.731286,5.766052,4.828569,5.77530233333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.276677,6.552395,5.389682,6.40625133333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.400686,6.950937,6.143258,6.831627
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.245199,7.344315,5.622223,7.070579
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.39151,5.804122,4.729399,5.641677
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.73727,7.080708,6.410497,7.07615833333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.694885,5.804122,5.292817,5.930608
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.685242,7.440022,6.135135,7.08679966666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.133571,6.997281,5.943731,6.69152766666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.099004,6.731232,6.190645,6.673627
