"","sample","tissue","endometriosis","severity","p227853_at","p228845_at","PLBD2"
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.529932,3.561789,5.0458605
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.537385,4.464291,5.000838
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.087774,3.854502,4.971138
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.331987,7.330881,7.831434
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.988716,7.415778,7.702247
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.714845,7.59225,8.1535475
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.141722,8.263564,8.702643
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.987086,8.006972,8.497029
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.942383,7.332399,8.137391
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.944644,8.39952,8.172082
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.557198,8.73616,8.646679
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.08684,7.078993,7.5829165
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.457858,6.533595,6.9957265
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.783391,8.003072,8.3932315
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.929029,7.823043,7.876036
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.62146,6.995093,7.8082765
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.489257,8.686417,8.587837
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.814691,8.963325,8.889008
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.145665,4.788202,5.9669335
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.732853,7.006684,7.8697685
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.548739,8.028773,8.288756
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.11938,6.351393,7.2353865
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.485927,8.01104,8.2484835
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.537316,7.992159,8.2647375
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.602973,6.598946,7.1009595
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.371781,8.136732,8.7542565
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.719278,6.167795,6.9435365
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.618792,6.693356,7.656074
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.095869,8.317849,8.706859
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.963719,7.261696,7.6127075
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.899807,8.310028,8.6049175
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.65168,6.969194,7.810437
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.13751,7.937461,8.0374855
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.804458,7.656908,7.730683
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.357901,8.734399,8.54615
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.322702,7.519022,7.920862
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.689468,8.038482,8.363975
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.425265,7.592032,8.0086485
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.780725,8.018818,8.3997715
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.179405,5.061448,6.1204265
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.445586,8.026651,8.2361185
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.579476,7.114766,7.847121
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.68502,5.640634,6.662827
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.226618,6.602372,7.414495
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.234053,7.712123,7.973088
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.066515,7.607057,8.336786
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.130497,6.919001,7.524749
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.550436,7.003942,7.777189
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.13899,5.811321,6.4751555
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.746604,7.260315,8.0034595
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.978543,7.029934,8.0042385
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.277479,4.468609,5.373044
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.572574,4.862072,5.717323
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.736831,4.501117,5.618974
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.437613,4.875807,6.15671
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.817554,4.752658,5.285106
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.727136,4.746636,5.236886
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.875655,4.987437,5.931546
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.54121,4.321675,5.4314425
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.419586,4.911479,5.6655325
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.708574,4.915291,5.8119325
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.983947,5.016745,5.500346
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.076837,5.068119,6.072478
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.441031,5.030872,5.7359515
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.825966,5.043674,5.93482
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.320346,4.795447,5.5578965
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.353842,7.95959,8.656716
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.978083,6.052074,7.0150785
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.104678,6.91259,7.508634
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.4185,8.001053,8.2097765
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.265262,8.720859,8.9930605
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.951226,7.53741,8.244318
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.245173,7.093471,7.669322
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.544777,7.901344,8.2230605
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.161542,6.986667,7.5741045
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.929035,8.009357,7.969196
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.690845,8.872576,9.2817105
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.155211,6.898392,7.5268015
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.154411,7.645802,7.9001065
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.837396,7.314461,8.0759285
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.672663,7.069176,7.8709195
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.182691,7.196386,7.6895385
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.150065,7.737709,7.943887
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.707387,7.714041,8.210714
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.566638,7.1196,7.843119
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.072799,5.920945,6.996872
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.606692,7.173658,7.890175
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.967901,8.3061,8.6370005
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.101908,7.596178,7.849043
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.282654,7.340484,7.811569
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.697665,7.585233,8.141449
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.655952,7.188951,7.9224515
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.587274,6.708251,7.6477625
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.043438,8.30792,8.675679
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.829057,8.129444,8.4792505
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.018377,6.862646,7.4405115
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.043736,6.563362,7.303549
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.804758,4.045165,4.9249615
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.866931,4.33651,5.6017205
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.950804,3.8255,5.388152
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.602623,4.718487,5.660555
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.864989,4.134409,5.499699
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.854571,3.042784,4.9486775
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.69439,5.030872,6.362631
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.452211,4.94864,6.2004255
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.154696,4.245043,6.1998695
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.696734,4.874624,5.285679
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.411741,4.997944,5.7048425
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.099218,5.030872,6.065045
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.837888,4.377265,5.1075765
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.191871,4.516526,5.8541985
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.800583,3.84481,5.3226965
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.064343,5.030872,6.0476075
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.016368,3.996446,5.506407
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.517778,4.321675,5.9197265
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.538231,4.559684,5.5489575
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.48481,5.030872,5.757841
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.594763,4.691544,5.6431535
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.603002,4.713818,5.65841
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.583511,5.030872,6.3071915
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.691784,3.797189,4.7444865
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.670117,4.362304,5.5162105
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.660014,4.647875,5.6539445
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.183127,3.396084,4.7896055
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.726487,3.693853,4.71017
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.007161,5.120254,6.0637075
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.544672,4.286373,5.9155225
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.671763,4.331906,5.0018345
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.489811,4.793792,5.6418015
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.671763,4.343518,5.0076405
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.671763,3.877095,4.774429
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.801266,4.238909,5.5200875
