"","sample","tissue","endometriosis","severity","p243910_x_at","p208838_at","p239771_at","CAND1"
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.095712,8.33427,5.422312,6.61743133333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.18583,8.293436,6.010424,6.49656333333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.858566,8.152752,4.91441,6.308576
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.927804,7.795648,5.816081,6.51317766666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.095712,8.385171,5.174822,6.55190166666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.080192,8.129888,5.64026,6.61678
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.312698,8.884303,5.708105,6.63503533333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.980979,8.774835,5.50559,6.75380133333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.146492,8.559685,5.662363,6.78951333333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.073073,8.838296,5.668131,6.85983333333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.251934,8.964334,5.892087,6.702785
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.162972,6.853778,5.73028,5.91567666666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.53291,6.939347,5.530219,6.00082533333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.193068,10.124596,5.489179,7.26894766666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.657954,8.008006,5.429153,6.03170433333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.193068,8.80895,6.134856,7.04562466666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.132955,9.189505,5.489179,6.937213
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.095712,8.666227,5.83471,6.86554966666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.193068,8.393191,5.629072,6.73844366666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.309458,9.739457,5.638071,7.22899533333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.024152,7.624715,4.677162,5.775343
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.846553,8.017287,5.489179,6.45100633333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.574243,9.490212,6.25422,7.43955833333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.229617,7.792902,4.5186,5.84703966666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.340374,9.249636,6.315007,7.30167233333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.166035,8.24835,6.03847,6.484285
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.45565,8.323681,6.137265,6.63886533333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.193068,8.266442,6.209132,6.88954733333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.193068,7.893229,6.615137,6.900478
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.354673,8.04629,5.647127,6.34936333333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.218652,7.26295,4.499876,5.993826
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.61444,8.868989,5.575348,6.686259
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.210402,8.915061,6.870981,7.332148
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.079139,9.522655,5.816717,7.13950366666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.414858,9.795773,5.450797,7.220476
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.095712,9.036618,5.636249,6.92285966666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.766033,8.863012,5.508195,6.71241333333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.693103,9.551399,4.997242,7.08058133333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.851672,9.218308,5.50559,6.85852333333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.565578,8.751923,6.547277,6.954926
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.184638,9.084461,4.51949,6.262863
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.865852,8.973629,6.072154,6.970545
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.803505,9.146468,5.50559,6.818521
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.263077,10.036846,6.97473,7.75821766666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.441115,9.016027,6.380315,6.945819
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.456484,8.793698,5.50559,6.58525733333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.536467,10.657496,3.785119,7.32636066666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.932983,10.533095,4.113617,7.19323166666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.816415,10.326317,4.686741,7.60982433333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.868058,10.280631,5.192539,7.78040933333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.432895,9.984116,5.33926,7.58542366666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.294858,10.39083,5.484265,7.72331766666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.191135,10.358488,5.548368,7.69933033333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.229686,10.379471,4.492362,7.367173
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.785913,9.971261,4.717792,7.158322
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.799718,10.469888,4.301256,7.52362066666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.964609,9.915564,4.00969,6.96328766666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.777753,10.416512,4.499876,7.56471366666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.403359,9.62844,4.665582,7.23246033333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.477632,10.579412,3.714747,7.25726366666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.295155,10.535754,3.980463,7.27045733333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.617422,8.54805,5.007746,6.05773933333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.499937,9.279205,5.746787,7.17530966666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.117837,9.8533,5.489179,7.15343866666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.047028,9.026833,5.50795,6.86060366666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.193068,8.358911,6.107321,6.88643333333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.85837,8.554919,5.956334,6.78987433333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.329504,9.774884,5.50559,6.86999266666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.771447,8.580574,5.489179,6.61373333333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.193068,8.391561,5.494614,6.693081
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.219206,9.059661,7.447726,7.575531
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.857141,8.302858,5.489179,6.549726
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.578759,9.098355,5.608084,6.76173266666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.495633,8.496827,6.671639,7.22136633333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.127141,9.333972,5.697843,7.05298533333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.331513,8.932233,5.50559,6.58977866666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.196974,8.507927,5.604586,6.769829
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.518233,9.316847,6.385146,7.74007533333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.412822,8.584622,6.613334,6.87025933333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.674862,9.5803,6.056557,7.43723966666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.878402,9.859091,6.191942,7.643145
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.863691,9.135346,5.548719,7.18258533333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.686182,8.892159,4.600202,6.05951433333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.427244,8.921627,6.021717,7.12352933333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.283991,9.03543,5.515451,6.94495733333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.095712,9.433181,4.496114,6.67500233333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.949704,9.103328,6.177812,7.076948
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.193068,9.451652,5.42974,7.02482
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.377691,9.156582,5.805751,6.780008
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.049737,8.432655,5.499364,6.327252
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.364334,9.065846,5.50559,6.97859
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.195937,9.359827,5.632926,7.06289666666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.193068,9.266418,4.352729,6.60407166666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.291147,8.645982,3.573305,6.17014466666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.989588,8.42256,3.573305,5.995151
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.964489,8.965296,4.687078,6.53895433333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.218871,9.393569,4.680644,6.76436133333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.193068,8.269963,3.573305,6.012112
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.403537,8.712397,4.441683,6.51920566666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.159151,9.990727,6.137822,7.76256666666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.748428,10.120622,5.758704,7.54258466666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.231194,10.375114,7.125633,8.24398033333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.800605,9.900852,5.661807,7.45442133333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.300948,9.997108,6.693079,7.997045
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.938322,10.000526,6.17146,7.703436
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.535034,10.096131,6.334804,7.98865633333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.519084,9.82369,5.489179,7.27731766666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.298062,9.484235,4.437138,7.073145
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.776507,10.334565,6.825528,8.3122
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.439793,9.49866,7.028493,7.65564866666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.636663,10.499179,5.516317,7.884053
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.492797,10.218268,6.188897,7.966654
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.370822,10.079543,6.59799,8.01611833333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.154473,10.398234,6.139725,7.89747733333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.095712,9.824031,5.368543,7.09609533333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.879503,9.946946,6.186501,7.67098333333333
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.926614,10.234142,6.632273,7.93100966666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.722219,9.563669,5.380438,7.22210866666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.668528,10.007797,5.489179,7.38850133333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.240231,10.430734,6.274781,7.98191533333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.231678,10.525173,7.468946,8.408599
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.543905,9.088909,6.644007,7.425607
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.589085,10.253707,5.489179,7.44399033333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.820682,9.605849,5.50559,7.310707
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.236954,10.214176,5.962329,7.471153
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.978315,10.384957,5.50559,7.622954
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.881064,10.355771,5.50559,7.58080833333333
