"","sample","tissue","endometriosis","severity","p41113_at","p213641_at","p213639_s_at","ZNF500"
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.342965,7.289728,9.297764,8.31015233333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.327381,7.666871,9.421705,8.47198566666667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.517923,7.697593,9.603266,8.60626066666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.712909,5.023344,5.783988,5.17341366666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.612954,5.023344,5.495363,5.043887
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.625368,5.023344,5.474063,5.040925
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.553514,4.323405,6.181654,5.01952433333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.617388,5.145291,5.961354,5.24134433333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.152022,5.038173,6.168842,5.45301233333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.040206,5.185487,5.807655,5.34444933333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.955139,6.355615,8.196069,7.168941
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.70237,6.455909,7.73029,6.96285633333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.750846,5.425127,8.087922,6.75463166666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.809843,5.822969,7.743531,6.79211433333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.222875,5.023344,7.22756,6.15792633333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.714742,5.024639,7.228262,5.98921433333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.6914,5.318151,7.674716,6.56142233333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.590263,5.907592,7.483983,6.66061266666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.00288,5.023344,7.12534,6.05052133333333
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.335749,6.442423,8.137068,7.30508
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.186638,4.28341,6.969688,5.81324533333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.042352,3.915869,6.986094,5.31477166666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.957403,5.320265,7.913373,6.730347
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.310482,5.023344,7.525879,6.28656833333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.933546,6.121977,7.869658,6.97506033333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.711198,5.023408,7.85272,6.52910866666667
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.649817,6.082255,7.743531,6.825201
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.174387,4.669104,6.976254,5.60658166666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.652897,4.323405,6.856894,5.61106533333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.389883,5.185487,7.682872,6.419414
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.119633,4.46936,7.525738,6.03824366666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.342421,4.972174,7.711892,6.34216233333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.772709,5.023344,6.668679,5.82157733333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.943029,4.493015,7.445522,5.960522
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.152318,5.023344,7.242021,6.13922766666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.651642,4.46936,7.519508,6.21350333333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.771498,5.094201,7.581397,6.149032
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.163052,4.516101,7.526381,6.06851133333333
