"","sample","tissue","endometriosis","severity","p206992_s_at","p237400_at","DMAC2L"
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.358814,7.533253,5.9460335
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.190498,6.398708,5.794603
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.009627,7.30706,6.1583435
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.643332,6.352855,5.4980935
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.211602,4.83842,4.525011
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.642098,4.783052,4.712575
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.642098,6.972811,5.8074545
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.735315,6.737256,5.7362855
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.844736,6.353949,5.0993425
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.72791,6.768774,5.248342
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.720092,7.30114,5.510616
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.72791,6.526048,5.126979
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.72791,5.081482,4.404696
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.195069,5.934311,5.06469
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.72791,5.794754,4.761332
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",3.720092,9.171057,6.4455745
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.613679,8.383189,5.998434
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.280242,8.037926,6.159084
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.442361,7.205606,5.8239835
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.884388,7.963388,5.923888
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.546228,8.296887,6.4215575
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.470781,6.934994,5.2028875
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.72791,7.836994,5.782452
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.150969,6.853052,5.5020105
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.790482,6.850122,5.320302
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.373205,6.693753,5.033479
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.826121,7.622878,6.2244995
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.953549,7.180111,5.56683
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.59517,7.147437,5.8713035
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.411699,8.992397,6.702048
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.720092,6.855447,5.2877695
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.804595,7.472438,5.6385165
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.720092,6.648683,5.1843875
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.270942,7.566577,5.9187595
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.957296,7.976447,5.9668715
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.33408,7.029565,5.6818225
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.157662,6.970019,5.5638405
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.891113,4.792154,3.8416335
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.751607,7.395576,6.0735915
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.068299,7.040221,5.55426
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.645158,6.747969,5.6965635
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.848535,7.120787,5.484661
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.57211,7.396794,5.984452
