"","sample","tissue","endometriosis","severity","p1553186_x_at","p1553986_at","p235144_at","RASEF"
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.541459,4.438471,5.862602,6.280844
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.144547,3.484192,6.939988,5.85624233333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.67235,2.93218,4.260544,4.95502466666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.927874,3.489508,4.100058,5.17248
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.711892,3.365398,5.245929,5.441073
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.015551,3.01289,2.624679,4.55104
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.231597,2.93218,4.260544,4.47477366666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.561505,4.951572,7.523065,7.34538066666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.087929,6.367388,7.715593,7.72363666666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.876212,3.06372,4.260544,5.40015866666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.341032,6.115298,8.045076,7.833802
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.702627,2.93218,5.292632,5.64247966666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.282199,6.384355,7.402488,7.35634733333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.777917,4.49997,6.305055,6.52764733333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.574867,3.079082,5.246805,4.63358466666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.907537,4.333386,5.22196,5.820961
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.957287,2.93218,8.019441,6.63630266666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.80584,6.008009,7.240759,7.01820266666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.509643,3.01289,4.260544,5.26102566666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.487256,3.01289,3.086262,4.19546933333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.541823,5.367169,7.905557,6.938183
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.164061,6.305173,8.257304,7.908846
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.141107,3.94823,3.175945,5.08842733333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.348697,2.929171,4.369426,5.21576466666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.919989,3.881054,6.522762,5.77460166666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.090472,2.93218,5.963573,5.32874166666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.504023,4.199432,5.379269,5.69424133333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.022741,3.01289,5.14812,5.39458366666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.620237,3.01289,7.50028,6.37780233333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.621185,3.999647,6.558621,6.393151
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.994964,7.504063,8.983882,8.494303
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.207622,7.533166,8.815897,8.18556166666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.729935,5.240687,7.11569,7.02877066666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.366849,2.809746,4.530574,5.235723
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.715374,5.663073,8.036555,6.80500066666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.326497,6.976628,8.370303,8.224476
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.75116,4.211874,6.510059,6.491031
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.169366,2.825768,7.069245,6.354793
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.758089,3.118831,5.384998,5.75397266666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.288279,3.06372,4.546997,4.966332
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.549422,3.06372,7.001405,6.204849
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.309421,2.817644,6.286128,5.80439766666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.429273,2.93218,6.742615,6.36802266666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.202567,4.21801,6.7889,6.403159
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.885301,6.693254,9.239898,8.606151
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.206735,3.004063,5.901262,6.03735333333333
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.394711,3.976726,6.647658,6.67303166666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.793082,4.733254,7.601946,7.04276066666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.289264,8.385916,9.983994,9.21972466666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.756094,4.965303,7.261675,6.99435733333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.448324,5.652446,9.201446,7.434072
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.592296,3.354527,7.343819,6.09688066666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.426236,8.550159,8.736698,9.23769766666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.42024,4.914374,7.309743,6.548119
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.258019,4.65038,7.367015,6.75847133333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.407771,2.809746,5.194399,5.47063866666667
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.271349,7.215284,8.770962,8.085865
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.151476,2.93218,5.373061,5.48557233333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.878344,6.871407,8.018743,7.92283133333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.243623,3.78428,6.091975,6.03995933333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.896479,3.06944,7.010531,6.32548333333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.634478,2.93218,4.752155,5.43960433333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.280629,2.809746,3.980208,5.02352766666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.353073,6.66803,7.576003,7.865702
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.761866,3.276886,4.283267,5.10733966666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.141107,3.071865,5.919781,5.71091766666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.543039,7.384376,9.091524,8.67297966666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.592204,6.407515,8.14937,7.716363
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.476342,3.334073,5.447108,5.75250766666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.743973,5.714338,7.052173,7.17016133333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.435985,6.194842,7.322388,7.65107166666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.074106,4.206025,5.778754,6.35296166666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.585152,2.93218,5.888878,5.46873666666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.480044,2.809746,5.23351,5.8411
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.573978,2.994106,6.131186,6.23309
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.914757,6.086896,7.138142,7.37993166666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.141107,2.809746,5.228835,5.39322933333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.233648,6.593654,8.17354,8.00028066666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.247226,7.232941,7.705673,8.06194666666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.802975,4.059881,4.260544,4.7078
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.082418,2.910557,4.95781,5.31692833333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.195842,2.93218,5.930412,6.019478
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.382417,2.809746,5.859418,5.68386033333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.322195,3.769962,4.87263,5.32159566666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.312007,2.809746,5.047716,5.72315633333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.250987,4.992128,6.591491,6.94486866666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.832664,8.796528,9.804984,9.14472533333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.518066,8.461237,9.718704,9.232669
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.843635,8.8326,9.225357,9.30053066666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.827781,6.896234,8.403953,8.042656
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.467544,4.637638,5.542416,6.54919933333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.716461,4.725011,4.260544,6.23400533333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.445607,4.432148,5.033466,6.30374033333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",11.402602,2.876384,6.685988,6.98832466666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.7465,2.809746,6.61924,6.725162
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",11.276749,5.192925,6.528773,7.666149
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.520779,8.096708,9.430227,9.349238
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.397833,4.183983,7.332932,7.304916
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.389547,7.011044,9.5304,9.31033033333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.547537,2.93218,7.294851,6.924856
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.419979,4.128445,9.499672,8.016032
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.269195,4.679563,9.400129,8.11629566666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.081618,4.372153,6.544465,7.33274533333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.109566,6.129093,8.40924,8.21596633333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.598671,4.089114,6.45963,6.715805
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.364349,4.049622,5.027585,6.813852
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.18935,4.683138,6.11998,7.33082266666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.049411,3.65182,7.312926,7.004719
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.821075,3.749396,5.63552,6.73533033333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.396671,6.442369,8.643622,8.827554
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.794723,5.306706,7.744489,7.94863933333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.805979,5.468128,9.09894,8.45768233333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.960443,4.782556,9.499007,8.414002
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.949867,3.540787,6.55795,7.01620133333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.213149,2.93218,6.616932,6.58742033333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.860159,4.259247,9.233825,7.78441033333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.617045,3.870465,6.039538,6.84234933333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.315464,5.738857,8.753771,8.60269733333333
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.280522,2.93218,6.343154,6.51861866666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.972564,3.364237,6.578795,6.97186533333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.374713,3.310437,6.891125,7.19209166666667
