"","sample","tissue","endometriosis","severity","p219317_at","p238992_at","POLI"
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.862442,4.477124,5.169783
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.580045,6.317926,5.9489855
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.694002,6.437783,7.0658925
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.620082,5.777928,5.699005
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.630345,6.335775,5.48306
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.232549,6.445452,5.8390005
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.804062,3.283754,3.043908
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.149153,5.964186,5.5566695
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.812369,5.586346,6.1993575
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.719007,3.719358,4.2191825
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.163887,5.983102,6.0734945
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.636576,5.501793,4.5691845
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.140798,5.356585,4.7486915
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.242671,4.260452,4.7515615
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.02471,5.696713,4.8607115
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.497287,3.941639,4.719463
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.936243,4.066636,4.0014395
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.305355,7.073223,6.689289
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.770195,5.891689,5.830942
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.355635,6.507049,6.431342
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.64637,7.839921,8.2431455
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.156257,6.426849,6.791553
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.475902,6.580905,7.5284035
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.487634,6.528594,7.508114
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.887027,6.45499,6.6710085
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.890138,6.002261,6.4461995
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.115378,6.407633,7.2615055
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.331731,6.475339,6.903535
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.791488,6.526186,7.158837
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.568228,7.285206,7.926717
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.846243,6.49931,6.6727765
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.033545,5.260174,6.1468595
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.619608,6.710426,7.665017
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.512847,7.308897,7.910872
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.268501,7.87233,8.5704155
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.932376,6.939387,7.9358815
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.204191,7.419813,8.312002
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.942808,7.626835,8.2848215
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.590055,7.575351,8.582703
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.788886,7.257465,8.0231755
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.319766,7.321875,8.3208205
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.004042,7.611325,8.3076835
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.84046,6.57719,7.208825
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.528216,7.06855,7.798383
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.836699,6.814744,7.3257215
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.557985,7.450588,8.0042865
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.003653,7.479075,8.241364
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.275402,5.787182,6.531292
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.089883,6.426849,7.258366
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.054815,6.729472,7.3921435
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.766,5.867088,6.316544
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.580045,6.052581,5.816313
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.580045,5.081018,5.3305315
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.440434,5.684933,6.5626835
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.580045,4.611437,5.095741
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.153281,4.319664,5.2364725
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.637709,6.426849,5.032279
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.986658,3.495569,4.2411135
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.109008,6.396694,6.752851
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.589152,5.42225,6.005701
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.951492,4.694291,5.3228915
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.907601,4.740066,5.8238335
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.8332,5.160765,5.4969825
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.509763,6.45499,5.4823765
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.580045,6.426849,6.003447
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.598613,6.343563,6.471088
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.788275,6.192024,6.9901495
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.206727,6.308839,6.757783
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.615263,5.019299,5.317281
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.865611,5.91119,5.8884005
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.535963,5.802495,6.169229
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.529598,6.785311,6.6574545
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.762144,6.140256,4.9512
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.893691,6.332101,6.612896
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.422518,5.197254,5.809886
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.423047,4.96025,5.6916485
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.778959,6.556375,6.667667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.577286,6.449585,7.0134355
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.889382,7.49164,8.190511
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.455543,6.783894,7.6197185
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.864337,6.6977,7.2810185
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.051469,7.216809,7.634139
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.377212,6.810811,7.5940115
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.468678,6.45499,6.961834
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.964117,6.426849,6.695483
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.42439,7.633262,8.528826
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.085186,8.037597,8.5613915
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.582613,7.592994,8.0878035
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.064705,7.781766,8.4232355
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.748751,6.899634,7.8241925
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.245628,7.013424,8.129526
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.652244,7.547039,8.0996415
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.939357,7.784797,8.362077
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.84029,7.699521,8.2699055
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.24983,8.327188,8.788509
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.478958,6.161535,6.8202465
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.94215,7.453012,8.197581
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.298909,7.697311,8.49811
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.807343,7.996242,8.4017925
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.220013,8.383527,8.80177
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.149257,6.909599,7.529428
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.691816,7.51799,8.104903
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.914933,6.746148,7.8305405
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.865655,7.443735,8.154695
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.586747,7.422135,8.004441
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.678761,7.304726,7.9917435
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.904952,7.686396,8.295674
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.134324,6.475013,7.3046685
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.74163,7.377861,8.0597455
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.896748,7.152284,8.024516
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.496286,7.089315,7.7928005
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.422845,7.124617,7.773731
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.720682,7.815436,8.268059
