"","sample","tissue","endometriosis","severity","p213211_s_at","p213210_at","p222053_at","TAF6L"
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.183888,4.793932,2.236067,4.404629
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.847162,5.51922,2.236067,4.867483
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.716517,6.253082,2.236067,5.40188866666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.536368,5.977085,2.236067,5.24984
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.602653,6.025088,2.236067,5.287936
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.340209,6.131249,2.236067,5.23584166666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.636749,6.317513,2.236067,5.39677633333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.628803,4.793932,2.236067,4.552934
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.988778,5.245764,2.236067,4.82353633333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.034192,5.864446,2.236067,5.04490166666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.21699,4.890761,2.236067,4.44793933333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.34387,5.666276,2.236067,4.74873766666667
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.220237,4.793932,2.236067,4.083412
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.395934,4.980191,2.236067,4.53739733333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.220237,4.793932,2.236067,4.083412
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.122707,5.897626,2.236067,5.08546666666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.58453,4.499343,2.236067,3.77331333333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.386298,5.176499,2.236067,4.59962133333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.561736,4.793932,2.236067,4.53057833333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.12002,4.793932,2.236067,4.38333966666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.162943,5.936298,2.236067,5.11176933333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.566875,5.206277,2.236067,4.66973966666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.268288,4.793932,2.236067,4.43276233333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.220237,4.859437,2.236067,4.105247
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.547663,5.557024,2.236067,5.11358466666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.892548,4.794755,2.236067,4.30779
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.600448,4.919187,2.236067,4.585234
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.455323,4.805184,2.236067,4.498858
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.135213,5.077425,2.236067,4.816235
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.40817,4.818384,2.236067,4.48754033333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.884006,4.755764,2.236067,3.95861233333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.220237,4.793932,2.236067,4.083412
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.434571,4.617309,2.236067,4.09598233333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.288967,4.793932,2.236067,4.43965533333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.687955,3.830508,2.236067,3.58484333333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.584563,4.793932,2.236067,3.87152066666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.90073,4.793932,2.236067,3.97690966666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.125851,4.008658,2.236067,3.790192
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.220237,4.186879,2.236067,3.881061
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",3.982472,3.566277,2.236067,3.26160533333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.752596,4.332158,2.236067,3.773607
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.719094,4.137532,2.236067,3.69756433333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.664201,3.850499,2.236067,3.583589
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.931695,4.354008,2.236067,3.84059
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.400261,4.137532,2.236067,3.92462
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.220237,4.513326,2.236067,3.98987666666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.01832,4.148577,2.236067,3.800988
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.503553,4.793932,2.236067,4.17785066666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.58453,3.983661,2.236067,3.60141933333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.277183,3.629217,2.236067,3.38082233333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.57493,4.119546,2.236067,3.64351433333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.358164,4.793932,2.236067,4.12938766666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.45944,3.679878,2.236067,3.45846166666667
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.754299,4.029486,2.236067,3.673284
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.044321,4.024761,2.236067,3.43504966666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.747491,3.88763,2.236067,3.62372933333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.119572,3.893541,2.236067,3.74972666666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.584563,4.138804,2.236067,3.65314466666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.768975,4.137532,2.236067,3.71419133333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.524744,4.137532,2.236067,3.632781
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.58453,4.150101,2.236067,3.65689933333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.719845,4.24382,2.236067,3.733244
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.58453,3.755312,2.236067,3.525303
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.578058,4.136259,2.236067,3.650128
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.584563,4.137532,2.236067,3.65272066666667
