"","sample","tissue","endometriosis","severity","p1555501_s_at","p219507_at","RSRC1"
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.402372,4.578539,4.9904555
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.370947,4.143,4.7569735
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.831159,4.446524,4.6388415
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.631901,6.489356,6.0606285
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.287538,3.606774,4.447156
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.431793,4.058348,4.2450705
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.830181,3.707741,3.268961
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.060928,3.946988,4.503958
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.257191,4.142842,4.7000165
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.833352,3.04401,3.938681
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.236337,3.152177,3.694257
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.298122,3.04401,4.171066
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.823372,3.895324,4.359348
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.792213,4.446524,4.6193685
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.436369,3.659785,4.548077
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.108234,3.992713,5.0504735
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.719986,3.946988,4.333487
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.931118,4.563134,4.747126
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.014243,4.481246,5.2477445
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.936959,4.777906,4.8574325
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.928544,4.381762,4.655153
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.875234,5.728071,5.8016525
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.479727,2.617407,4.048567
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.020245,4.858554,4.9393995
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.436369,3.693145,4.564757
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.769053,3.946988,4.3580205
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.866339,5.159581,5.51296
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.748604,3.04401,3.396307
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.985137,3.929006,4.4570715
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.831159,4.836569,4.833864
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.488195,5.322057,5.405126
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.083302,4.423376,4.253339
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.748604,3.192185,3.4703945
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.401255,3.800157,4.100706
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.399091,4.358223,4.378657
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.436369,3.680873,4.558621
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.405882,6.539547,6.4727145
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.95149,3.911058,3.931274
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.473059,4.623041,5.04805
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.89897,4.383062,5.141016
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.98956,3.162295,4.0759275
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.197326,4.390459,4.7938925
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.589707,3.121625,4.355666
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.436369,4.742303,5.089336
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.342166,6.597548,6.969857
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.204135,4.612638,5.4083865
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.699406,4.539497,4.6194515
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.639712,4.798163,5.2189375
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.461914,6.577192,7.519553
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.404669,5.413343,6.409006
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.437544,5.371129,6.4043365
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.539095,5.752343,7.145719
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.604793,4.955968,6.2803805
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.427721,6.097993,6.762857
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.493321,5.563541,6.528431
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.923595,5.333248,6.6284215
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.659428,4.813425,6.2364265
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.98032,6.072636,7.026478
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.863328,6.911195,7.3872615
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.263128,6.432917,7.3480225
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.211092,6.698755,6.4549235
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.902949,5.45984,6.6813945
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.939068,6.095673,7.0173705
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.862223,5.237242,5.5497325
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.424355,5.133228,5.7787915
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.9448,4.779789,5.3622945
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.32972,4.042429,4.6860745
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.994408,4.910029,4.9522185
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.831159,3.448547,4.139853
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.140167,4.779024,5.4595955
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.76893,4.004094,4.386512
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.481696,4.364316,4.923006
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.855077,3.946988,4.4010325
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.687164,3.946988,4.817076
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.436369,5.145225,5.290797
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.55722,4.47168,5.01445
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.009065,4.378876,5.1939705
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.436369,5.193703,5.315036
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.014751,4.491115,4.752933
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.834589,5.063156,4.9488725
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.927634,4.154966,4.5413
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.109629,4.601119,5.355374
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.505017,5.03911,5.7720635
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.436369,4.677151,5.05676
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.911677,4.446524,4.6791005
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.436369,4.55517,4.9957695
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.71838,4.863548,5.290964
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.436369,2.617407,4.026888
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.831159,5.818979,5.325069
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.890842,4.762707,5.3267745
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.998561,4.446524,5.2225425
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.831159,4.478367,4.654763
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.436369,4.446524,4.9414465
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.32502,3.214994,4.770007
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.62192,4.446524,5.034222
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.032611,4.09055,4.5615805
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.181147,4.778334,4.9797405
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.539229,3.152965,3.846097
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.227949,4.870641,5.049295
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.807844,3.946988,4.377416
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.555649,4.656848,5.1062485
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.097672,4.194337,5.1460045
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.31859,4.259332,5.288961
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.918958,5.580245,5.7496015
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.288146,3.88414,5.086143
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.184403,4.268151,5.226277
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.900492,6.155744,6.528118
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.616387,3.946988,5.2816875
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.103707,3.854032,4.9788695
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.53408,3.247863,4.8909715
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.468133,3.60111,4.5346215
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.759386,4.819338,5.789362
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.968554,7.432142,7.200348
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.172406,6.353179,6.2627925
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.066692,6.964324,6.515508
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.191526,3.946904,5.069215
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.629937,6.05494,6.3424385
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.667783,4.31659,4.9921865
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.855563,3.59438,5.2249715
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.344729,5.418268,5.8814985
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.219178,4.418584,5.318881
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.981961,5.597552,6.2897565
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.195413,3.803053,5.499233
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.107658,3.946988,5.527323
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.446789,6.131989,6.289389
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.295075,5.821095,6.058085
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.190476,5.881887,6.5361815
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.176808,6.087281,6.6320445
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.291102,6.18377,6.237436
