"","sample","tissue","endometriosis","severity","p206391_at","p206392_s_at","p221872_at","RARRES1"
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.639149,8.29004,7.98633,7.63850633333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.225654,3.301037,2.60397,3.376887
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.327246,6.813022,6.411575,6.18394766666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.248992,7.70371,8.151334,7.70134533333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.144314,7.49473,7.589645,7.07622966666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.271991,8.023899,8.09444,7.79677666666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.073203,2.802195,2.268623,3.048007
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.940355,2.453606,2.757693,3.38388466666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.242506,3.662488,3.021391,3.64212833333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.502786,3.472996,2.785276,3.58701933333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.502786,5.219873,4.185752,4.636137
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.502786,3.28866,3.50668,3.766042
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.793776,6.115734,5.476585,5.46203166666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.638491,2.453606,2.757693,3.28326333333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.502786,4.610369,2.805279,3.97281133333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.944205,3.325044,3.287642,3.18563033333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.711839,6.30823,6.721775,6.24728133333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.67033,4.587582,3.384092,4.21400133333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.073203,4.228391,3.265209,3.855601
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.960503,4.54284,3.99074,4.16469433333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.727121,5.271669,5.473349,5.82404633333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.073203,2.905455,3.258366,3.41234133333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.491856,9.355408,9.144123,8.66379566666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.225654,5.130166,4.790526,4.71544866666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.406485,7.024493,7.400901,6.61062633333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.989604,6.720349,6.768642,6.492865
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.325665,4.632118,3.543398,4.16706033333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.502786,3.788608,3.25467,3.848688
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.58334,8.395511,9.530892,8.50324766666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.670977,4.632118,3.384092,4.22906233333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.502786,4.365222,2.805279,3.89109566666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.02761,3.729492,2.757693,3.838265
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.338456,7.058455,7.161264,6.51939166666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.502786,6.951221,6.82296,6.09232233333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.073203,3.168481,2.304777,3.18215366666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.102939,2.263496,3.136826,2.83442033333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.070127,3.972578,4.300806,4.11450366666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.225654,2.772897,2.757693,3.25208133333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.556511,7.985048,7.800203,7.447254
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.265468,9.17659,8.641426,8.36116133333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.323138,2.453606,2.757693,3.17814566666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.715562,6.669764,5.232863,5.53939633333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.409543,8.211789,7.897982,7.506438
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.009216,8.03915,7.977998,7.67545466666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.935008,9.952512,9.568757,9.48542566666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.696523,4.543067,3.667696,3.96909533333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.073203,2.242615,2.268623,2.86148033333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.456979,7.295372,6.623392,6.458581
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.748421,6.235723,6.286921,5.75702166666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.225654,5.727977,5.771667,5.241766
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.099558,4.635878,4.782542,4.50599266666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.672834,10.409906,10.234748,9.772496
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.090342,4.9794,4.694869,4.58820366666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.507332,7.161849,6.68936,6.452847
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.277502,5.030409,4.680076,4.66266233333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.502786,5.46423,5.066883,5.01129966666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.695642,7.078743,7.274595,6.34966
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.510791,4.836345,4.858964,4.73536666666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.450625,10.526668,10.293192,10.0901616666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.426627,9.253109,9.579011,8.75291566666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.31917,3.325044,3.963368,3.869194
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.756808,6.47374,6.269112,5.83322
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.254644,6.491734,6.77507,6.173816
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.139954,6.968559,6.974001,6.360838
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.040498,5.902114,5.753262,5.56529133333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.976057,5.404228,3.62192,4.33406833333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.450212,7.90763,7.635061,7.33096766666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.073203,2.453606,2.542451,3.02308666666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.162597,7.702589,7.297076,6.720754
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.502786,5.005016,4.427856,4.64521933333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.280134,4.150403,2.808219,3.746252
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.467485,6.768077,6.528296,6.25461933333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.723322,5.336076,5.929222,5.99620666666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.838337,9.24905,9.017289,8.70155866666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.737754,7.163294,7.812419,6.904489
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.422459,5.210735,6.286603,5.63993233333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.540107,7.767685,7.544219,7.28400366666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.414945,8.162999,8.168568,7.58217066666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.620499,7.866171,7.81292,7.43319666666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.19169,2.480232,2.408973,3.026965
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.073203,2.324155,2.805279,3.06754566666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.073203,3.892514,3.39299,3.78623566666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.073203,5.702425,5.94127,5.238966
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.614941,8.612067,9.011851,8.412953
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.14869,3.23928,2.491546,3.62650533333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.815262,6.976223,6.790821,6.194102
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.082067,8.60941,8.288084,7.993187
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.073203,5.210735,4.643585,4.64250766666667
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.158448,7.401065,7.907482,7.48899833333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.073203,5.040243,4.596917,4.570121
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.997727,6.917191,7.244122,6.38634666666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.710602,2.544064,2.268623,3.17442966666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.143657,3.736864,2.813446,3.56465566666667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.073203,2.688069,3.265209,3.34216033333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.860582,7.257764,7.195299,6.771215
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.287644,6.710343,5.185638,5.727875
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.583327,9.779419,9.403228,9.25532466666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.893371,8.468185,8.100868,7.820808
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.502786,5.210735,2.805279,4.17293333333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.007505,2.489573,2.236067,2.577715
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.904838,5.880343,5.177665,5.32094866666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",2.787756,2.236067,2.805279,2.60970066666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.437368,7.588448,7.52916,6.85165866666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.073203,4.84404,3.409244,4.108829
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.214132,4.791957,5.125997,4.71069533333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.915971,6.530256,7.095062,6.18042966666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.339113,2.794171,3.240992,3.12475866666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.86397,8.372141,8.649717,7.96194266666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.832537,8.775911,9.081018,8.229822
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.971212,7.782571,8.27683,7.34353766666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.859539,2.236067,2.757693,2.61776633333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.666308,11.037725,11.040843,10.5816253333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.480258,4.717338,3.674824,4.29080666666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.458031,4.679633,3.734282,4.29064866666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.201227,6.979952,6.855188,6.34545566666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.669581,2.236067,2.713397,2.873015
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.30329,9.153672,9.273269,8.910077
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.073203,2.48123,2.984569,3.17966733333333
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.684513,3.325044,4.771691,3.92708266666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.786436,10.003283,9.954957,9.58155866666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.502786,5.835845,6.146745,5.49512533333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.536321,5.210735,5.265078,5.00404466666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.835161,3.948155,4.990267,4.257861
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.642551,8.936824,9.24077,8.27338166666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.557386,6.012656,5.501107,5.35704966666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.939337,8.924143,9.013676,8.62571866666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.589939,5.3764,5.833012,5.26645033333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.502786,5.210735,5.47325,5.062257
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.073203,3.474673,3.384092,3.64398933333333
