"","sample","tissue","endometriosis","severity","p205849_s_at","p209066_x_at","UQCRB"
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.57446,13.151783,13.3631215
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.586025,12.108923,12.347474
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.471495,12.047216,12.2593555
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.891676,12.597363,12.7445195
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.946141,12.608308,12.7772245
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.87269,11.713036,11.792863
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.8319,12.491294,12.661597
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.02896,11.772165,11.9005625
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.854199,12.572394,12.7132965
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.459324,12.191898,12.325611
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.122689,11.828964,11.9758265
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.135701,12.811215,12.973458
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.18128,12.189038,12.185159
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.615236,11.315301,11.4652685
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.06436,11.877224,11.970792
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.196244,11.849128,12.022686
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.20261,11.936198,12.069404
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.05105,11.638114,11.844582
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.856844,12.694946,12.775895
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.69586,12.42549,12.560675
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.69586,12.42906,12.56246
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.747977,13.586881,13.667429
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.532242,12.363092,12.447667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.674161,12.33983,12.5069955
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.034663,12.652212,12.8434375
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.632567,12.256344,12.4444555
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.392879,12.212893,12.302886
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.113219,12.711787,12.912503
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.69586,12.407358,12.551609
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.501749,13.239159,13.370454
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.867561,12.364745,12.616153
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.735316,12.43216,12.583738
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.602328,12.314758,12.458543
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.073285,13.503608,13.7884465
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.926393,13.543579,13.734986
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.251834,13.808087,14.0299605
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.812085,13.092676,13.4523805
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.929038,13.366736,13.647887
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.176478,13.569258,13.872868
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.997648,13.39651,13.697079
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.704917,13.257832,13.4813745
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.966337,13.51518,13.7407585
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.953294,13.36339,13.658342
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.513709,12.860794,13.1872515
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.964299,13.456941,13.71062
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.498755,13.314062,13.4064085
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.752105,13.437208,13.5946565
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.91591,13.507851,13.7118805
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.525918,12.229116,12.377517
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.297285,13.08768,13.1924825
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.39137,12.964602,13.177986
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.673014,12.216376,12.444695
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.231168,11.888847,12.0600075
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.219476,11.862928,12.041202
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.69586,12.388928,12.542394
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.062584,11.959875,12.0112295
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.317382,12.131988,12.224685
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.313629,11.8806,12.0971145
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.666887,11.337814,11.5023505
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.399833,12.034798,12.2173155
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.067516,11.832846,11.950181
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.898405,12.488249,12.693327
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.439953,12.314758,12.3773555
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.134561,11.723152,11.9288565
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.096175,11.682076,11.8891255
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.237394,11.974289,12.1058415
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.007097,12.739203,12.87315
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.860129,11.42768,11.6439045
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.756679,12.449874,12.6032765
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.248846,12.070653,12.1597495
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.037317,11.68028,11.8587985
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.592849,12.314758,12.4538035
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.441858,13.00995,13.225904
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.675586,12.17044,12.423013
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.69586,12.324355,12.5101075
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.775777,11.338338,11.5570575
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.579173,12.222223,12.400698
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.723651,12.350335,12.536993
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.901329,11.510051,11.70569
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.508057,12.89965,13.2038535
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.245519,12.794794,13.0201565
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.489341,12.818162,13.1537515
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.529113,12.905819,13.217466
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.670104,13.18696,13.428532
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.760419,13.11307,13.4367445
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.520914,13.125756,13.323335
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",13.832758,13.047535,13.4401465
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.394428,12.649209,13.0218185
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",13.564344,12.971541,13.2679425
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.652257,13.004437,13.328347
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.763481,12.767386,13.2654335
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.572595,13.095825,13.33421
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.551163,12.716679,13.133921
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.23119,12.41125,12.82122
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.387664,12.673039,13.0303515
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.615509,12.71764,13.1665745
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.849837,12.314758,12.5822975
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.024232,13.500941,13.7625865
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.892701,13.241195,13.566948
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.969605,13.26895,13.6192775
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.880839,12.881811,13.381325
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.673603,12.935237,13.30442
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.098986,13.247235,13.6731105
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.677559,12.896137,13.286848
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.483651,12.831566,13.1576085
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.670764,12.835452,13.253108
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.847257,13.09692,13.4720885
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.911609,12.879865,13.395737
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.69586,11.859909,12.2778845
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.821248,13.329927,13.5755875
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.311548,12.450646,12.881097
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.714057,13.204306,13.4591815
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.716368,13.00026,13.358314
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.908246,13.204306,13.556276
