"","sample","tissue","endometriosis","severity","p218772_x_at","p222735_at","TMEM38B"
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.629804,6.430011,6.5299075
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.347438,4.725939,5.0366885
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.797223,4.427267,4.112245
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.381646,6.679301,6.5304735
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.991663,4.807656,4.8996595
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.346714,5.849986,5.59835
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.661212,4.665989,4.6636005
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.423641,6.347781,6.385711
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.214757,4.514085,4.864421
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.869495,4.08044,3.9749675
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.909081,3.832752,4.3709165
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.797223,4.004257,3.90074
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.41266,5.441311,5.4269855
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.812339,4.539715,4.676027
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.676579,6.270167,6.473373
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.24715,6.481085,6.3641175
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.374428,5.308808,5.341618
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.717407,5.477143,5.597275
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.037922,6.252936,6.145429
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.347438,4.969724,5.158581
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.2313,4.559061,4.3951805
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.744754,5.407875,5.5763145
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.808809,5.651559,5.730184
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.823574,5.441311,5.6324425
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.686336,5.441311,5.5638235
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.754221,5.743224,5.7487225
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.346714,5.441311,5.3940125
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.565619,7.139149,6.852384
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.589422,7.840054,7.714738
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.063158,6.129995,6.0965765
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.828509,7.023491,6.926
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.590929,5.910923,5.750926
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.534737,6.472349,6.503543
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.516497,6.834473,6.675485
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.946398,6.887546,6.916972
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.036765,6.287352,6.1620585
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.763059,7.099137,6.931098
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.633652,6.567867,6.6007595
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.943591,7.163907,7.053749
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.084224,4.873415,4.9788195
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.612934,7.591299,7.6021165
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.737804,7.3877,7.062752
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.408283,5.510706,5.4594945
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.093193,4.262148,4.6776705
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.070479,5.879006,5.9747425
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.038684,5.203238,5.120961
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.473065,5.304563,5.388814
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.912401,4.897022,4.9047115
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.14461,6.049429,6.0970195
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.347438,4.873415,5.1104265
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.338645,2.653086,2.9958655
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.346714,5.542366,5.44454
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.425405,5.405443,5.915424
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.547953,5.748249,5.648101
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.00533,4.677451,4.8413905
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.006719,5.889774,5.9482465
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.277842,5.932498,6.10517
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.217395,5.409376,5.3133855
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.561018,4.911327,4.7361725
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.555908,5.111228,4.833568
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.507621,5.198316,5.3529685
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.47419,5.928312,6.201251
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.347438,5.441311,5.3943745
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.242356,5.109397,5.1758765
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.501398,5.594401,5.5478995
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.455005,5.231658,5.3433315
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.347438,5.379037,5.3632375
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.600125,6.003473,5.801799
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.011598,6.34644,6.179019
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.708368,5.904481,5.8064245
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.771141,4.810576,4.7908585
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.304877,4.032734,3.6688055
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.346714,5.09353,5.220122
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.174284,4.208546,4.191415
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.090867,4.152354,3.6216105
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.471185,4.345714,3.9084495
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.809408,4.152354,4.480881
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.727214,4.814896,4.771055
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.331173,4.495059,3.913116
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.751777,5.437765,5.094771
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.473292,7.070253,6.7717725
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.454601,6.904691,6.679646
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.551815,5.552763,5.552289
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.216295,4.837036,4.5266655
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.180836,6.702957,6.4418965
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.576052,4.600552,4.588302
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.636458,5.595671,5.6160645
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.347438,5.50602,5.426729
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.445309,5.90151,5.6734095
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.759393,6.316589,6.037991
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.923591,6.649268,6.7864295
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.580896,7.138604,6.85975
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.514935,7.228944,6.8719395
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.31239,5.643139,5.4777645
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.830239,6.183192,6.0067155
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.12023,6.859566,6.989898
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.332357,5.245874,5.2891155
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.509952,6.226202,5.868077
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.95461,6.065505,6.0100575
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.341456,4.651073,4.4962645
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.579631,5.941038,5.7603345
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.466496,5.901952,5.684224
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.788793,7.46828,7.6285365
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.315406,6.930301,6.6228535
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.330724,6.290148,6.310436
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.147599,6.715338,6.4314685
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.152612,6.264014,6.208313
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.346714,5.860404,5.603559
