"","sample","tissue","endometriosis","severity","p224783_at","p224785_at","UBALD2"
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.081624,8.480618,9.281121
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.878694,9.48647,10.182582
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.385402,9.4206,10.403001
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.80613,7.457087,8.6316085
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.579557,8.598245,9.588901
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.382152,8.799748,9.59095
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.434123,8.37361,9.4038665
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.286843,9.036636,9.6617395
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.78567,9.957184,10.871427
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.935124,7.734481,8.8348025
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.285765,9.892537,10.589151
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.209686,8.688709,9.9491975
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.0237,7.734481,8.8790905
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.844784,8.832286,9.838535
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.282717,8.844889,9.563803
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.268828,9.476986,10.372907
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.488294,9.797637,10.6429655
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.670182,9.428122,10.549152
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.803879,9.890293,10.847086
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.505157,9.414089,10.459623
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.297836,9.521048,10.409442
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.568776,9.085314,9.827045
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.03393,8.369263,9.2015965
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.268696,8.083183,9.1759395
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.834716,8.014818,8.924767
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.201426,8.225653,9.2135395
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.955419,7.827477,8.891448
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.008024,8.279114,9.143569
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.804704,8.491963,9.6483335
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.715634,8.821236,9.768435
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.703216,8.096705,8.8999605
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.053094,8.056195,9.0546445
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.731038,8.21199,8.471514
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.993247,8.102765,9.048006
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.093078,7.734481,8.4137795
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.881854,8.168717,9.0252855
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.279253,6.759875,7.519564
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.229763,6.876588,7.5531755
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.501752,6.252451,6.8771015
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.709893,7.013338,7.3616155
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.140816,7.530979,8.3358975
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.939371,6.796439,7.367905
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.643171,7.112864,7.3780175
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.399619,7.060819,7.730219
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.702332,6.749467,7.7258995
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.841036,6.609935,7.2254855
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.669323,7.56545,8.6173865
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.55932,6.602947,7.0811335
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.837877,7.823278,8.8305775
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.266505,6.783877,7.525191
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.974446,6.764319,7.3693825
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.939252,7.980671,8.9599615
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.575567,8.393723,9.484645
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.678283,8.278936,8.9786095
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.485236,8.667828,9.576532
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.292086,8.273002,9.282544
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.814501,9.128289,9.971395
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.079651,8.575326,9.3274885
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.696706,8.612033,9.6543695
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.601912,9.244343,10.4231275
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.541003,9.201077,9.87104
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.293726,9.471683,10.3827045
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.552605,9.275176,10.4138905
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.187627,9.865976,11.0268015
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.954938,7.987533,8.9712355
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.085696,8.239397,9.1625465
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.535617,9.319453,10.427535
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.078943,9.04918,10.0640615
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.007181,9.079323,10.043252
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.834321,8.008998,8.9216595
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.683879,7.734481,8.70918
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.213634,7.988101,9.1008675
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.518647,8.800549,9.659598
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.491674,8.847564,10.169619
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.753533,8.606305,9.679919
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.039608,8.031704,9.035656
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.022738,9.564658,10.293698
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.715555,7.937963,8.826759
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.61637,8.302367,9.4593685
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.578468,8.590157,9.5843125
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.211782,8.296056,9.253919
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.694716,8.299928,9.497322
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.964626,6.943865,7.4542455
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.646567,8.042624,8.8445955
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.413656,7.734481,8.5740685
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.64539,6.943865,7.7946275
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.055077,6.943596,7.4993365
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.858924,6.057959,6.4584415
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.225351,6.943865,7.584608
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.823428,5.467076,6.145252
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.232673,5.708082,6.4703775
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.226443,6.156806,7.1916245
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.269473,7.031555,8.150514
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.218207,5.83747,6.5278385
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.27262,6.402732,7.337676
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.529424,6.969183,7.7493035
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.381394,6.899032,8.140213
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.928626,7.422063,8.1753445
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.392518,5.313523,6.3530205
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.428125,7.602456,8.5152905
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.578539,6.179328,6.8789335
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.355982,5.976728,6.666355
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.085336,6.474977,7.2801565
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.252975,6.882378,7.5676765
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.555829,6.366344,6.9610865
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.574656,6.59551,7.585083
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.632266,7.150038,8.391152
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.089535,7.032612,8.0610735
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.152692,6.960435,8.0565635
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.053547,6.409953,7.23175
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.454486,5.648201,6.5513435
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.268661,7.932823,9.100742
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.82711,6.587341,7.2072255
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.115391,7.208871,8.162131
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.808647,6.388791,7.098719
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.736795,6.332182,7.0344885
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.787672,6.422021,7.1048465
