"","sample","tissue","endometriosis","severity","p203364_s_at","p203363_s_at","p209021_x_at","ATG13"
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.862977,7.275402,7.464475,7.867618
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.770161,6.895093,7.343798,7.669684
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.421299,8.183061,8.789753,8.79803766666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.821985,7.302989,8.085228,8.07006733333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.598862,9.4667,9.524889,9.53015033333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.668425,5.751628,7.192223,7.204092
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.043537,7.521747,8.165881,8.24372166666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.510391,8.428397,8.28694,8.74190933333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.740981,6.976935,7.63698,7.451632
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.465187,8.052978,8.528859,8.349008
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.33271,8.307513,8.872577,8.8376
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.581481,7.743974,8.383243,8.569566
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.776022,6.756089,7.556546,7.36288566666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.391144,7.574495,7.801771,7.92247
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.292842,8.051646,8.209233,8.18457366666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.62143,7.608352,7.863542,8.031108
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.18159,7.228103,7.778978,8.06289033333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.358063,8.180571,8.356078,8.63157066666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.867272,5.169686,6.11196,6.38297266666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.503504,7.626678,7.994577,8.04158633333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.830847,7.764593,8.06692,8.22078666666667
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.443897,7.20318,7.123786,7.59028766666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.352023,6.744829,7.705522,7.93412466666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.726657,7.312385,7.956463,7.99850166666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.980965,8.094145,7.873177,8.31609566666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.762188,7.396591,7.461164,7.87331433333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.838099,6.897889,7.152056,7.29601466666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.259946,6.386722,6.412656,7.01977466666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.823875,7.801479,7.528158,8.05117066666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.781186,7.806585,8.192106,8.259959
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.609699,6.744829,6.265627,6.873385
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.074986,6.637945,6.302385,7.00510533333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.149851,6.744829,6.429968,7.108216
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.996082,7.308633,6.760335,7.35501666666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.636138,6.744829,6.612117,7.331028
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.976292,6.640699,6.339968,6.985653
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.852276,7.317217,6.730816,7.300103
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.88577,6.633982,6.11196,6.87723733333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.67831,6.744829,6.353399,7.258846
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.004218,6.298061,6.11196,6.80474633333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.56773,7.238004,6.501937,7.43589033333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.138159,7.005823,6.83097,7.324984
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.626543,7.323596,7.211394,8.05384433333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.971101,7.164394,6.571665,7.23572
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.860935,6.771524,6.396708,7.00972233333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.527201,7.56064,8.011513,8.36645133333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.253181,7.294827,7.413018,7.98700866666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.041857,7.44114,7.535451,7.672816
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.819893,8.312465,8.336676,8.489678
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.382002,8.32659,8.543645,8.75074566666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.507919,8.544821,8.556712,8.86981733333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.295242,7.858987,7.991251,8.04849333333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.119728,8.438048,8.537776,8.69851733333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.849645,7.994919,8.589416,8.81132666666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.708419,6.734245,7.835101,7.759255
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.515342,9.19529,9.301403,9.337345
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.938179,6.982052,7.288349,7.73619333333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.312192,7.540413,8.515965,8.45619
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.751936,7.373185,8.258571,8.12789733333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.717286,7.497379,7.518388,7.91101766666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.099623,7.707006,8.047958,8.28486233333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.738206,6.828884,7.706942,7.75801066666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.616206,6.458192,8.307291,8.12722966666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.565232,7.600414,7.843787,8.00314433333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.256529,7.393644,7.637426,7.762533
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.160721,7.342512,8.158643,8.22062533333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.566915,8.687154,9.092952,9.11567366666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.615509,7.132871,8.023928,8.257436
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.060047,7.613378,7.963811,8.212412
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.556549,7.254827,7.454621,7.75533233333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.663608,8.538045,9.081094,9.094249
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.443158,7.400075,7.595276,7.81283633333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.866296,8.502926,8.500226,8.62314933333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.178647,8.368521,8.823928,8.79036533333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.267483,7.433243,7.833148,8.177958
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.07162,6.833445,7.194541,7.69986866666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.314068,8.612661,7.056951,7.99456
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.328736,8.320653,7.797112,8.14883366666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.130095,8.502074,7.471283,8.034484
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.191052,9.079879,8.050425,8.440452
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.812238,7.808069,6.841551,7.487286
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.876234,8.263961,7.564089,7.901428
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.988229,7.695201,6.570886,7.41810533333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.731969,5.167889,5.171339,6.02373233333333
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.791163,6.074424,5.090191,6.31859266666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.783397,5.913702,6.143842,6.613647
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.161284,7.45844,6.943175,7.85429966666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.825245,6.744829,6.356548,6.97554066666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.042139,6.003445,6.291632,6.779072
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.378048,6.744829,6.524667,7.215848
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.673158,6.752418,6.295516,7.240364
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.041461,6.790377,6.302385,7.044741
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.259914,6.484856,5.813418,6.85272933333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.306575,7.763581,7.504616,7.85825733333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.812238,6.094974,6.326706,6.74463933333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.806337,6.272622,6.115979,6.731646
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.633774,6.341015,6.020851,6.66521333333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.180006,6.400488,6.133693,6.904729
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.702403,6.504958,6.302385,6.836582
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.631085,6.744829,6.171037,7.182317
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.408767,6.134792,6.11196,6.55183966666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.023583,6.975234,6.533389,7.177402
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.409982,6.744829,6.245835,7.13354866666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.729647,6.139897,6.290851,6.72013166666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.832406,6.661633,6.11196,6.86866633333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.230511,7.552663,7.585198,7.78945733333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.573622,6.402554,6.409656,6.79527733333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.056265,6.671068,6.684627,7.13732
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.812238,6.348834,6.14632,6.76913066666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.716979,6.326028,6.11196,6.71832233333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.79203,6.430714,6.324886,6.84921
