"","sample","tissue","endometriosis","severity","p210950_s_at","p208647_at","FDFT1"
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.955515,11.887628,11.4215715
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.209208,10.21693,10.213069
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.034685,9.933094,9.4838895
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.166939,11.747234,11.4570865
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.562355,10.362366,9.9623605
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.236089,10.353041,9.794565
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.344878,11.056832,10.200855
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.163922,10.10435,10.134136
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.496724,10.245484,9.871104
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.100964,10.787541,9.9442525
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.784447,10.129719,9.957083
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.708886,10.690038,10.199462
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.7607,10.053823,9.9072615
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.157636,10.785206,9.971421
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.100369,10.535456,10.3179125
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.387556,10.166556,9.777056
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.261899,10.675307,10.468603
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.933873,10.100147,10.01701
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.928186,10.388475,10.1583305
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.029811,11.013127,11.021469
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.540431,10.863957,10.702194
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.487784,11.720867,11.1043255
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.297586,10.840511,10.5690485
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.086321,10.654603,10.370462
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.368786,11.168152,10.768469
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.869693,11.46307,11.1663815
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.981585,11.439421,11.210503
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.101681,10.68472,10.3932005
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.036018,10.827981,10.4319995
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.368569,11.395761,10.882165
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.023922,11.858182,11.441052
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.151357,10.338999,10.245178
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.438537,10.67927,10.5589035
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.044122,12.121697,11.5829095
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.535537,11.682801,11.109169
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.451996,11.527805,10.9899005
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.681285,11.721192,11.2012385
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.3103,12.108397,11.7093485
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.188683,11.237907,10.713295
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.84112,11.859406,11.350263
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.245126,12.140779,11.6929525
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.525059,11.558709,11.041884
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.695213,11.814968,11.2550905
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.59225,11.244216,10.918233
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.476305,11.474282,10.9752935
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.170813,12.490823,11.830818
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.924257,12.003116,11.4636865
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.491576,11.726194,11.108885
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.97987,10.679115,10.3294925
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.711319,11.690662,11.2009905
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.474825,11.156503,10.815664
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.107408,10.460724,10.284066
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.039011,10.406215,10.222613
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.855445,10.202934,10.0291895
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.569358,11.198021,10.8836895
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.421383,10.581218,10.5013005
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.842907,11.710473,11.27669
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.466929,9.781422,9.1241755
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.012526,10.306564,10.159545
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.62707,10.503069,10.0650695
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.479428,10.565013,10.0222205
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.03451,11.036392,10.535451
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.083233,9.940637,9.511935
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.678026,10.602742,10.140384
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.881743,10.59336,9.7375515
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.914034,11.448402,10.681218
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.083283,10.902355,10.492819
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.862501,11.615043,11.238772
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.721054,10.826488,10.273771
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.091442,10.773909,10.4326755
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.088389,10.829792,10.4590905
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.065185,10.906709,10.485947
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.120884,10.743579,10.4322315
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.199334,10.331943,9.7656385
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.178345,11.209029,10.693687
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.387445,10.811209,10.599327
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.77493,10.945917,10.8604235
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.220877,11.126388,10.6736325
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.135268,11.704795,11.4200315
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.578626,9.958599,9.7686125
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.420047,10.629467,10.524757
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.11514,10.390897,10.2530185
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.94153,10.196079,10.0688045
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.349101,10.838183,10.593642
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.729964,10.85007,10.790017
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.456134,11.201079,10.8286065
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.473416,10.89253,10.182973
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.762211,11.051606,10.4069085
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.037593,11.224854,10.6312235
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.437594,12.487046,11.96232
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.198315,10.455416,9.8268655
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.785673,12.210526,11.4980995
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.831703,10.946677,10.38919
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.920269,11.016848,10.4685585
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.49875,10.425709,9.9622295
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.554141,10.85967,10.2069055
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.602068,10.662256,10.132162
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.797751,12.044446,11.4210985
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.97361,11.473741,10.7236755
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.709379,11.145073,10.427226
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.714008,11.609547,11.1617775
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.675981,10.692778,10.1843795
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.922118,11.838911,11.3805145
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.344226,10.910534,10.12738
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.690107,10.528888,10.1094975
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.026213,11.749817,11.388015
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.347289,11.403323,10.875306
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.775146,11.331682,10.553414
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.146874,9.626567,9.3867205
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.483666,11.31075,10.897208
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.360614,10.542324,9.951469
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.069411,11.257816,10.6636135
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.236419,11.537482,10.8869505
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.605141,11.654605,11.129873
