"","sample","tissue","endometriosis","severity","p210104_at","p207078_at","p207079_s_at","MED6"
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.272881,6.461368,5.25151,5.995253
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.618862,6.366392,4.292038,5.09243066666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.665949,6.200666,5.203461,6.02335866666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.214099,5.128322,4.155747,4.49938933333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.048236,5.377938,2.773481,4.399885
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.796246,4.559383,2.236067,3.86389866666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.796246,6.699145,5.552153,5.68251466666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.69066,5.368491,3.385225,4.48145866666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.618862,5.971651,3.49784,4.69611766666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.796246,5.847644,4.082129,4.908673
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.214099,5.533909,3.49784,4.41528266666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.618862,4.64431,2.931924,4.065032
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.796246,4.752663,3.49784,4.34891633333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.163994,7.275709,6.253385,6.897696
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.915212,5.394384,3.924077,4.74455766666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.579037,6.908888,4.585656,5.35786033333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.393237,7.534956,6.187405,7.03853266666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.796246,6.531711,4.021533,5.11649666666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.376251,5.506308,3.365475,4.41601133333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.068717,7.324867,4.360076,5.58455333333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.71515,6.531711,5.108061,6.11830733333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.618862,5.199281,2.773481,4.197208
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.777128,7.497047,4.586359,5.95351133333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.309112,5.811079,4.798704,5.30629833333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.4367,6.931425,5.295403,6.221176
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.93991,5.368491,2.773481,4.69396066666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.796246,6.320618,4.348933,5.15526566666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.187105,6.598558,4.360076,5.381913
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.796246,5.368491,2.669521,4.278086
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.236059,5.643519,3.223887,4.701155
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.535002,5.185325,3.154415,4.624914
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.214099,5.929222,4.053071,4.73213066666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.922551,7.031721,5.186411,5.713561
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.258611,6.616811,4.497837,5.79108633333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.111491,7.800468,5.669351,6.86043666666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.303392,6.403997,4.477985,5.39512466666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.912333,6.835935,5.759614,6.50262733333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.238385,7.704087,7.757201,7.899891
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.820582,7.540638,6.267679,6.87629966666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.002308,6.977513,5.019528,5.999783
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.106276,6.174316,5.688323,6.32297166666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.706415,7.485911,5.403174,6.1985
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.963861,7.106541,5.856465,6.642289
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.988793,7.814219,7.190941,7.664651
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.796246,6.665884,5.203197,5.555109
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.417936,5.397901,5.073172,5.62966966666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.984717,6.490086,7.550108,7.67497033333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.638515,5.368491,7.312281,7.106429
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.224326,7.546677,7.123999,7.63166733333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.742387,6.509443,7.589775,7.61386833333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.304821,6.913647,7.332809,7.51709233333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.577776,7.369979,7.328083,7.75861266666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.666852,7.472557,7.50836,7.88258966666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.617626,6.531711,7.648334,7.59922366666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.314174,6.677781,7.10343,7.36512833333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.827436,6.093427,7.442945,7.45460266666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.878023,3.181278,7.411855,6.49038533333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.778737,4.381812,7.476722,6.87909033333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.98041,7.091781,5.343431,6.80520733333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.892591,5.273727,7.388433,7.184917
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.896641,6.261078,7.513179,7.556966
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.902847,4.328202,5.39284,5.54129633333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.050111,6.354176,5.394203,6.26616333333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.422546,6.625762,5.579984,6.542764
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.492859,6.560528,5.680427,6.24460466666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.429015,6.036563,4.228786,5.23145466666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.914501,6.072725,4.801237,5.59615433333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.930049,6.531711,5.724162,6.39530733333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.141229,6.531711,5.367792,5.680244
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.057816,7.013109,5.490761,6.18722866666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.214099,5.608738,2.631936,4.151591
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.067842,6.899995,4.808788,5.92554166666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.424824,7.285251,5.71028,6.47345166666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.410332,6.687563,4.342749,5.48021466666667
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.9198,7.146443,5.439971,6.168738
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.155189,7.4014,5.732295,6.429628
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.145465,7.209188,5.156134,6.17026233333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.718935,6.615276,3.589374,4.97452833333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.618862,6.531711,2.773481,4.64135133333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.549191,7.437436,6.063057,6.683228
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.610571,7.690672,6.4409,7.247381
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.880638,7.509729,5.711741,6.70070266666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.641008,5.359033,3.761285,4.58710866666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.685371,7.124208,5.068849,5.959476
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.360415,7.551237,5.235909,6.38252033333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.254091,7.577902,5.95254,6.92817766666667
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.618862,5.858728,3.962287,4.81329233333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.98027,7.695172,6.104014,6.92648533333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.100876,6.513169,4.714251,5.77609866666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.618862,4.897624,3.670865,4.39578366666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.984595,7.784,5.77414,6.514245
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.854233,7.765161,6.589943,7.40311233333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.207397,5.964765,6.213602,6.46192133333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.77973,4.877911,5.465414,6.04101833333333
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.748864,5.392628,6.232321,6.45793766666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.374431,4.475335,5.608261,5.81934233333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.68815,4.388053,6.233454,6.103219
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.540341,4.263747,6.174527,5.99287166666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.83035,5.368491,5.584873,6.261238
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.418198,9.133362,5.478598,7.01005266666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.293286,8.860024,6.662021,7.60511033333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.792087,7.862879,6.108185,6.92105033333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.14286,8.281969,6.121747,7.182192
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.177972,8.0087,6.337998,7.17489
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.48815,8.136244,6.44513,7.356508
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.536047,8.52591,6.619369,7.560442
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.536487,8.508671,6.813727,7.61962833333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.180513,7.999437,6.874469,7.68480633333333
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.377408,9.582949,7.186643,8.049
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.457684,8.749893,6.781561,7.663046
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.592321,6.524924,6.911292,7.34284566666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.453118,8.193437,6.484224,7.37692633333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.798887,7.693896,6.71537,7.40271766666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.548486,8.47977,6.736071,7.588109
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.622722,7.533384,5.688727,6.61494433333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.106177,8.372934,6.581829,7.35364666666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.079037,8.236435,5.979536,7.098336
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.006082,6.954978,6.60437,7.18847666666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.244809,8.047526,6.276436,7.18959033333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.922272,7.811773,7.191077,7.64170733333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.351607,8.317486,6.290623,7.31990533333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.775286,10.090854,7.842243,8.569461
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.523431,7.39704,6.782143,7.23420466666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.814919,7.686489,6.789965,7.43045766666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.831552,7.837291,6.647479,7.438774
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.744223,7.683092,6.605909,7.344408
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.904677,7.791022,6.595007,7.43023533333333
