"","sample","tissue","endometriosis","severity","p202048_s_at","p202047_s_at","CBX6"
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.515973,10.592966,11.0544695
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.103073,10.092527,10.0978
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.287232,10.270714,10.278973
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.667513,11.088495,11.378004
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.789285,11.16603,10.9776575
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.61493,8.631941,8.6234355
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.799922,10.662739,10.7313305
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.080819,11.02895,11.0548845
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.025922,9.438049,9.7319855
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.092581,10.141032,10.6168065
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.572798,10.569589,10.5711935
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.511158,10.18663,10.348894
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.990872,10.413395,10.7021335
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.895757,9.661735,10.278746
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.544799,9.663015,9.603907
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.846051,10.58671,10.7163805
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.576015,9.87634,10.2261775
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.185527,10.123621,10.654574
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.154831,10.145984,10.1504075
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.48448,10.330564,10.407522
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.286993,10.107278,10.1971355
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.474241,9.776529,10.125385
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.859833,10.091307,10.47557
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.901127,10.359134,10.6301305
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.881672,10.206812,10.044242
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.28273,10.521988,10.902359
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.384616,7.947279,8.6659475
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.693558,10.183876,10.438717
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.33592,10.087525,10.2117225
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.684446,9.656469,9.6704575
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.868567,9.572558,9.7205625
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.274162,9.983899,10.1290305
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.211444,9.690845,9.9511445
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.473684,10.282104,10.377894
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.845915,9.366562,9.6062385
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.738235,8.912493,8.825364
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.569583,10.713192,10.6413875
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.116131,10.609124,10.3626275
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.950984,8.926721,8.9388525
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.796741,8.516664,8.6567025
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.817564,8.042028,8.429796
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.740416,8.373501,8.5569585
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.126327,7.640847,7.883587
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.684545,7.74001,8.2122775
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.997666,8.188335,8.5930005
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.533488,7.599975,8.0667315
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.628727,8.121393,8.37506
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.534638,8.3424,8.438519
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.901131,8.523328,8.7122295
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.22038,8.830533,9.0254565
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.705921,8.387784,8.5468525
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.914391,8.588564,8.7514775
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.913626,8.588918,8.751272
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.698992,10.181122,10.440057
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.119047,8.889716,9.0043815
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.127731,9.657505,9.892618
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.642467,10.112071,10.377269
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.225926,11.002066,11.113996
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.609072,10.43904,10.524056
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.66187,10.250775,10.4563225
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.122482,10.333714,10.728098
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.923764,9.856645,9.8902045
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.934189,10.44264,10.6884145
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.079019,10.733977,10.906498
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.607322,9.841878,9.7246
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.124103,10.202181,10.163142
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.76833,10.218343,10.4933365
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.460129,10.011767,10.235948
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.304003,10.322261,10.313132
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.590154,9.817054,9.703604
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.782989,9.763896,9.7734425
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.461218,10.309832,10.385525
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.243369,10.498937,10.371153
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.147913,10.275765,10.211839
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.916646,10.899602,10.908124
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.38094,10.636063,10.5085015
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.306796,10.072347,10.1895715
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.298544,9.454153,9.8763485
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.021064,9.746449,9.8837565
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.195365,10.1562,10.1757825
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.895718,10.404978,10.650348
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.483485,9.814619,10.149052
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.653864,9.477565,9.5657145
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.509905,9.349598,9.4297515
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.005094,8.139992,8.072543
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.367463,7.686148,7.5268055
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.958374,7.974642,7.966508
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.439623,8.538028,8.4888255
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.017627,8.70557,8.3615985
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.31421,8.643933,8.4790715
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.509905,9.405922,9.4579135
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.49548,9.218289,9.3568845
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.754282,9.425032,9.589657
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.07756,8.283487,8.1805235
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.498015,7.985153,8.241584
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.304878,8.778437,9.0416575
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.442155,7.38419,7.4131725
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.984134,8.513918,8.749026
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.133154,8.533168,8.833161
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.009494,8.145337,8.5774155
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.529991,8.180091,8.355041
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.648756,8.238866,8.443811
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.111461,7.703696,7.9075785
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.664202,8.673124,8.668663
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.736692,8.624633,8.6806625
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.033452,7.448794,7.741123
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.862683,8.873678,8.8681805
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.167351,7.92219,8.0447705
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.875494,7.505559,7.6905265
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.054733,8.030379,8.042556
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.281074,8.003203,8.1421385
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.040037,8.59081,8.8154235
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.084971,8.550351,8.817661
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.509823,8.168396,8.3391095
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.087189,8.950582,9.0188855
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.373106,8.133227,8.2531665
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.123904,8.929283,9.0265935
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.402384,8.717976,8.56018
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.240625,8.927902,8.5842635
