"","sample","tissue","endometriosis","severity","p37872_at","p216309_x_at","p214692_s_at","JRK"
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.65712,9.025804,8.421473,8.36813233333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.901529,8.063275,7.618592,7.52779866666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.314782,8.229374,7.840552,7.79490266666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.098157,7.981282,7.274745,7.45139466666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.678646,7.109375,6.654443,6.81415466666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.146452,8.378133,7.944447,7.82301066666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.065251,8.459252,7.794337,7.77294666666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.632816,9.303745,8.445564,8.46070833333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.973632,8.116085,7.650426,7.58004766666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.565698,8.644401,7.951005,8.05370133333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.385743,8.508686,8.099311,7.99791333333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.153364,8.21985,7.721859,7.69835766666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.572079,7.776372,7.25281,7.53375366666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.405103,9.103356,8.420028,8.30949566666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.258019,8.994471,8.565675,8.27272166666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.640619,9.605306,8.685535,8.64382
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.804574,7.848149,7.20736,7.28669433333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.17079,8.306436,7.878491,7.785239
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.836819,7.96076,7.587078,7.46155233333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.408992,7.393917,6.805642,6.869517
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.959119,8.075393,7.358265,7.464259
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.040034,8.846126,8.194449,8.02686966666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.933519,8.108378,7.20736,7.416419
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.910519,7.724355,7.20736,7.28074466666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.166496,7.215991,6.788737,6.72374133333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.50877,7.559017,6.864201,6.97732933333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.796057,9.63617,8.628656,8.686961
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.073365,8.62398,7.863219,7.85352133333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.443254,7.271411,6.643891,6.78618533333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.552779,7.034476,6.767639,6.78496466666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.933519,7.825759,7.521594,7.42695733333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.317003,6.842661,6.479899,6.546521
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.988971,7.786004,7.4194,7.398125
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.503103,7.368129,7.113378,6.99487
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.740913,7.182093,7.015999,6.97966833333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.211498,6.491827,6.450396,6.38457366666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.636552,6.99047,6.541033,6.722685
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.313183,7.148627,7.20736,6.88972333333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.605284,6.866792,6.734263,6.73544633333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.351207,6.923275,6.580784,6.618422
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.566141,7.054933,6.439232,6.68676866666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.471195,7.570459,7.20736,7.08300466666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.667865,7.333334,7.043811,7.01500333333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.165169,8.379689,7.883453,7.809437
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.845417,7.88528,7.20736,7.31268566666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.933519,7.486247,7.145665,7.188477
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.118139,7.876473,7.338603,7.444405
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.014263,9.079412,8.439199,8.510958
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.040014,8.24016,7.452694,7.57762266666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.874805,7.939143,7.093188,7.30237866666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.353798,8.640932,7.611109,7.868613
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.933519,7.667019,6.946154,7.18223066666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.374454,8.734142,8.272605,8.127067
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.945133,7.725069,7.20736,7.29252066666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.729891,7.576507,7.1308,7.14573266666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.223518,8.219201,7.628641,7.69045333333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.774975,7.51085,6.856735,7.04752
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.936256,7.962296,7.425211,7.44125433333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.091069,8.273918,7.466361,7.61044933333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.479008,8.981592,8.523779,8.32812633333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.150235,8.86222,7.790327,7.93426066666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.310673,8.527407,8.19256,8.01021333333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.753514,7.945266,7.52814,7.40897333333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.914143,7.712851,7.199324,7.27543933333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.77201,9.3354,8.361341,8.48958366666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.881691,8.14409,7.382357,7.46937933333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.729227,7.577854,7.20736,7.17148033333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.75161,7.526986,6.800342,7.02631266666667
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.726978,8.505074,7.670834,7.63429533333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.943266,8.40959,7.780426,7.711094
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.802588,7.603044,6.994071,7.13323433333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.0564,8.71016,7.894463,7.88700766666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.367148,8.685625,7.852202,7.968325
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.933519,8.197653,7.532379,7.554517
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.933519,6.895294,7.195092,7.00796833333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.813413,6.408079,6.913653,6.711715
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.967321,6.713936,6.802779,6.828012
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.045952,6.907475,7.276138,7.07652166666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.858466,6.834705,7.016514,6.90322833333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.343917,7.4806,7.764729,7.52974866666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.933519,7.365139,7.517871,7.27217633333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.933519,7.560404,7.336358,7.27676033333333
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.933519,7.724633,7.483763,7.38063833333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.361241,7.567396,7.08786,7.005499
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.293754,7.735601,7.228686,7.419347
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.782688,7.0286,6.764546,6.85861133333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.094805,6.610413,6.012427,6.239215
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.758938,7.375136,6.905964,7.013346
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.811287,7.175227,6.719788,6.90210066666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.619879,7.207553,6.773578,6.86700333333333
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.950848,7.867433,7.51615,7.44481033333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.253776,6.470437,6.427253,6.383822
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.258294,7.164914,6.504032,6.64241333333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.710107,7.605078,7.20736,7.17418166666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.716122,7.778671,7.231061,7.24195133333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.933519,7.899611,7.579105,7.470745
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.265927,6.707244,6.52096,6.49804366666667
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.200678,7.473575,7.232155,7.302136
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.817119,6.848491,6.62145,6.76235333333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.383061,6.588588,6.393861,6.45517
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.89438,7.014356,6.584555,6.831097
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.670215,7.220675,7.150749,7.01387966666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.843984,7.328442,7.20736,7.12659533333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.61356,6.951806,6.738873,6.76807966666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.65244,7.548163,6.955072,7.05189166666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.20762,6.672851,6.729175,6.53654866666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.712038,7.260505,7.20736,7.05996766666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.504113,7.190157,6.931502,6.87525733333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.587606,7.273936,7.20736,7.02296733333333
