"","sample","tissue","endometriosis","severity","p201510_at","p210827_s_at","p229842_at","ELF3"
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.955817,8.163515,7.544224,7.55451866666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.423119,7.41921,6.266945,6.70309133333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.414869,8.053358,6.836163,7.43479666666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.168554,9.384306,7.97471,8.50919
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.393213,7.023069,4.734333,5.71687166666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.379698,7.554303,6.152518,6.69550633333333
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.021971,7.803152,6.447088,7.090737
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.509063,6.442621,4.529817,5.49383366666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.970324,7.532818,5.586283,6.36314166666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.753373,7.904254,7.077644,7.24509033333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.781274,9.52535,8.412057,8.906227
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.64921,8.607333,7.546259,7.93426733333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.593491,6.700398,5.880735,6.058208
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.030874,7.628677,6.613753,7.09110133333333
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.834855,7.722212,6.665693,7.07425333333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.023147,9.648977,7.060775,7.91096633333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.465405,10.057506,8.217682,8.913531
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.875104,8.513993,5.922814,6.770637
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.177887,10.673923,8.042756,8.96485533333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.248742,9.607305,5.391037,7.08236133333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.927507,10.655152,5.865566,7.816075
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.593491,8.986846,5.797686,6.79267433333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.629429,9.762706,6.189292,7.52714233333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.377286,9.098731,5.12077,6.86559566666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.939126,11.261202,7.100567,9.10029833333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.270604,11.272266,7.6473,9.06339
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.147494,11.194896,8.628892,9.657094
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.621388,11.194039,7.714233,8.84322
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.833408,10.852193,8.165969,9.28385666666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.926087,9.590132,5.941936,7.48605166666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.2719,11.373246,8.264455,9.63653366666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.125441,8.232076,3.071218,5.476245
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.510259,8.326906,3.714937,5.51736733333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.887199,9.091055,6.303183,7.42714566666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.146265,9.752407,7.364403,8.421025
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.67091,9.816311,7.05076,8.179327
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.127802,10.11365,5.875283,7.70557833333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.634441,10.22865,6.563121,8.14207066666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.790067,11.130876,8.216161,9.37903466666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.593491,9.497925,6.574539,7.221985
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.308114,12.292014,9.217145,10.6057576666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.66003,9.078913,6.333492,7.35747833333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.392886,11.818777,8.627851,9.94650466666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.179759,9.88798,5.960267,7.34266866666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.842963,8.477917,3.726208,5.68236266666667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.508178,8.010182,4.628052,6.048804
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.713058,9.454806,7.005629,7.72449766666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.522018,10.082565,7.614001,8.40619466666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.230268,9.743375,7.28972,8.08778766666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.148722,9.779694,7.637112,8.18850933333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.593491,8.020647,6.160972,6.59170333333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.593491,8.428803,6.549552,6.857282
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.500972,8.056414,5.9737,6.510362
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.593491,6.514725,3.277562,5.12859266666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.209144,7.288579,4.877154,6.124959
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.100916,7.628677,6.521431,7.08367466666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.593491,6.510506,4.485126,5.52970766666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.721837,9.358183,8.481185,8.853735
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.349907,7.628677,5.731729,6.57010433333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.579169,10.273131,9.150503,9.667601
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.967699,9.739203,8.618603,9.10850166666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.43351,8.754471,6.802901,7.66362733333333
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.430685,8.064705,7.413324,7.636238
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.264776,11.342199,9.910948,10.5059743333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.861103,7.453516,7.11381,7.14280966666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.978569,7.438834,6.449774,6.95572566666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.949094,7.683958,6.671888,7.10164666666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.61653,7.182298,5.572216,6.12368133333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.868433,8.576713,7.451772,7.96563933333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.137127,5.472616,2.732241,4.11399466666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.343008,10.713604,9.438731,9.831781
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.473037,8.840375,7.242585,7.851999
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.440287,9.388827,8.046259,8.62512433333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.681913,7.51003,6.195571,6.795838
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.93327,8.90755,7.60076,8.14719333333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.472924,11.654566,8.977063,10.034851
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.878041,7.628677,6.856407,7.12104166666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.643217,8.763578,6.986411,7.79773533333333
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.605073,6.671279,4.48282,5.58639066666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.601934,7.363367,5.853609,6.60630333333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.148683,7.740347,6.95628,7.28177
