"","sample","tissue","endometriosis","severity","p1554078_s_at","p205963_s_at","DNAJA3"
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.622786,8.604461,9.1136235
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.304806,8.233686,8.769246
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.524157,8.675082,9.0996195
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.413568,7.458367,7.9359675
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.601812,7.782805,8.1923085
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.771689,7.649778,8.2107335
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.966323,7.915834,8.4410785
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.337753,8.195329,8.766541
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.532295,7.572062,8.0521785
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.851246,8.095824,8.473535
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.172062,8.205178,8.68862
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.105542,7.018045,7.5617935
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.846501,7.968141,8.407321
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.389058,8.284999,8.8370285
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.845557,7.856666,8.3511115
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.933643,7.893958,8.4138005
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.584751,7.519407,8.052079
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.787049,7.826663,8.306856
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.470738,7.464792,7.967765
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.563783,7.571592,8.0676875
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.314496,7.359867,7.8371815
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.730749,7.599111,8.16493
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.865674,7.764455,8.3150645
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.823577,7.744433,8.284005
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.839726,7.739693,8.2897095
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.590954,7.700893,8.1459235
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.633357,7.657905,8.145631
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.694549,7.456343,8.075446
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.701655,7.660895,8.181275
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.739614,7.62467,8.182142
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.066851,7.833479,8.450165
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.684796,7.851034,8.267915
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.211158,7.225345,7.7182515
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.107592,8.004194,8.555893
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.34524,8.068259,8.7067495
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.688024,7.990619,8.3393215
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.82004,7.643876,8.231958
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.333135,8.379704,8.8564195
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.86108,7.857422,8.359251
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.842772,7.754991,8.2988815
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.966219,8.067956,8.5170875
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.048142,8.174421,8.6112815
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.861237,7.871325,8.366281
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.154248,8.157336,8.655792
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.154636,8.125504,8.64007
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.042636,8.047729,8.5451825
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.880767,7.88626,8.3835135
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.237733,8.22076,8.7292465
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.051292,7.813916,8.432604
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.365623,8.186068,8.7758455
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.055886,8.108919,8.5824025
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.356155,8.251987,8.804071
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.436117,8.336634,8.8863755
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.665692,7.608463,8.1370775
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.776714,7.734205,8.2554595
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.344495,8.43689,8.8906925
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.384521,8.272924,8.8287225
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.141339,8.095786,8.6185625
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.734376,7.617214,8.175795
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.767679,7.757082,8.2623805
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.330235,8.229871,8.780053
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.283084,7.602705,7.9428945
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.97783,6.849266,7.413548
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.177351,7.440194,7.8087725
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.83954,7.672872,8.256206
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.54877,7.739211,8.1439905
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.023373,7.616938,7.8201555
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.111032,8.024288,8.06766
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.948737,6.671389,7.310063
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.536211,7.406002,7.9711065
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.189137,6.971637,7.580387
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.406857,7.267244,7.8370505
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.054209,7.056162,7.5551855
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.742829,6.875334,7.3090815
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.968882,6.957424,7.463153
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.325361,7.398688,7.8620245
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.415491,7.472951,7.944221
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.051127,6.958573,7.50485
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.290195,7.197559,7.743877
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.309044,7.00174,7.655392
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.878965,6.881334,7.3801495
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.217266,6.926028,7.571647
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.128859,7.275698,7.7022785
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.047512,6.961892,7.504702
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.970168,7.262294,7.616231
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.594327,6.759603,7.176965
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.889589,6.840786,7.3651875
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.968244,6.769016,7.36863
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.469395,7.373965,7.92168
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.347019,7.393101,7.87006
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.541463,6.907288,7.2243755
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.171501,7.178886,7.6751935
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.973572,6.956189,7.4648805
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.159038,7.395254,7.777146
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.076583,7.090903,7.583743
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.821917,7.126021,7.473969
