"","sample","tissue","endometriosis","severity","p218216_x_at","p220597_s_at","ARL6IP4"
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.199121,9.313108,9.2561145
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.015326,10.396996,10.706161
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.34532,10.61993,10.982625
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.211238,10.561713,10.8864755
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.804458,10.203001,10.5037295
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.652121,11.033412,11.3427665
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.317496,10.628362,10.972929
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.115471,11.525113,11.820292
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.252184,11.932405,12.0922945
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.470802,10.791826,11.131314
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.942123,10.471105,10.706614
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.136328,11.536539,11.8364335
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.922289,11.169489,11.545889
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.417701,10.768017,11.092859
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.179903,11.350723,11.765313
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.460948,11.471162,11.966055
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.513381,10.252912,10.3831465
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.137892,10.739677,10.9387845
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.801576,11.288671,11.5451235
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.630104,10.013157,10.3216305
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.636776,11.417256,11.527016
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.541742,10.905124,11.223433
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.098148,10.717096,10.907622
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.691028,10.965632,11.32833
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.157447,10.756871,10.957159
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.642918,10.31063,10.476774
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.457759,10.583914,11.0208365
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.660894,11.410351,11.5356225
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.292293,11.664925,11.978609
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.740512,10.288308,10.51441
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.395521,10.640016,11.0177685
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.275665,11.721108,11.9983865
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.84913,11.353948,11.601539
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.208423,11.755766,11.9820945
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.514619,11.123019,11.318819
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.011742,10.467892,10.739817
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.424554,10.965598,11.195076
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.375437,10.118103,10.24677
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.679537,11.189281,11.434409
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.70964,10.108937,10.4092885
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.557635,9.871579,10.214607
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.331202,10.748508,11.039855
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.531807,10.805002,11.1684045
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.77091,10.241516,10.506213
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.572151,10.124517,10.348334
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.680314,10.341555,10.5109345
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.40687,9.924918,10.165894
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.334917,10.836872,11.0858945
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.793396,10.936192,11.364794
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.10701,9.986217,10.0466135
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.01014,9.870682,9.940411
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.196222,9.956741,10.0764815
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.746537,9.617702,9.6821195
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.88962,9.865711,9.8776655
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.218863,10.072369,10.145616
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.188976,10.121183,10.1550795
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.142181,10.00267,10.0724255
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.031529,9.717979,9.874754
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.003155,10.007726,10.0054405
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.925949,9.809426,9.8676875
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.116608,9.960855,10.0387315
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.648496,10.366726,10.507611
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.211695,10.262029,10.236862
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.349848,10.433659,10.3917535
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.245291,9.893477,10.069384
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.535624,9.948839,10.2422315
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.614261,10.969644,11.2919525
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.964676,10.530729,10.7477025
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.686046,11.130031,11.4080385
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.269737,10.367627,10.818682
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.544722,10.634912,11.089817
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.583093,10.97021,11.2766515
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.743574,10.236717,10.4901455
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.889029,11.554358,11.7216935
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.319481,10.555457,10.937469
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.627063,10.149281,10.388172
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.274458,10.560625,10.9175415
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.859879,10.489125,10.674502
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.146377,10.580667,10.863522
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.83349,10.278095,10.5557925
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.562311,11.234481,11.398396
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.627962,10.614502,10.621232
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.161856,10.651696,10.906776
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.101751,10.469352,10.7855515
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.908838,10.459597,10.6842175
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.613493,11.264131,11.438812
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.97499,10.115357,10.5451735
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.661593,10.272462,10.4670275
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.31882,10.944025,11.1314225
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.426129,10.984342,11.2052355
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.173277,10.774393,10.973835
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.186917,10.706597,10.946757
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.401106,11.247962,11.324534
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.99866,10.19172,10.59519
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.088535,10.518068,10.8033015
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.483073,9.65698,9.5700265
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.685386,9.458335,9.5718605
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.77494,9.608685,9.6918125
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.968997,10.009084,9.9890405
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.005575,9.915852,9.9607135
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.283641,10.301584,10.2926125
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.615721,10.76947,10.6925955
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.606033,9.647645,9.626839
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.096288,9.741098,9.918693
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.418661,9.210052,9.3143565
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.825918,9.574875,9.7003965
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.709257,9.591637,9.650447
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.503732,9.180355,9.3420435
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.473354,9.549166,9.51126
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.794767,9.623284,9.7090255
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.625962,9.552901,9.5894315
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.72194,9.72403,9.722985
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.369336,9.245501,9.3074185
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.386827,9.258125,9.322476
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.566962,9.453156,9.510059
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.715187,9.487039,9.601113
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.042769,10.067133,10.054951
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.520465,9.125163,9.322814
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.520203,9.487208,9.5037055
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.356139,9.506293,9.431216
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.332381,9.178342,9.2553615
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.485463,9.468631,9.477047
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.658121,9.547426,9.6027735
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.748351,9.843575,9.795963
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.101491,9.177973,9.139732
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.758844,9.352683,9.5557635
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.208434,8.844664,9.026549
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.81287,9.484127,9.6484985
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.559855,9.390044,9.4749495
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.864295,9.833542,9.8489185
