"","sample","tissue","endometriosis","severity","p205665_at","p220968_s_at","TSPAN9"
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.599393,11.314902,8.9571475
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.327022,9.166267,6.7466445
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.031937,9.982535,8.007236
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.71808,11.078098,8.398089
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.596449,9.730592,7.1635205
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.037734,10.597917,8.3178255
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.613714,10.36652,7.990117
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.501532,9.771734,7.636633
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.505346,10.558388,9.031867
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.778655,10.412709,8.095682
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.012975,10.395164,7.7040695
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.801365,9.984498,7.8929315
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.391136,10.345404,8.36827
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.466979,10.816597,8.641788
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.62543,9.843511,7.7344705
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.290163,10.420733,7.855448
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.412261,10.711994,8.5621275
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.025202,10.560862,8.293032
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.971401,9.910971,7.941186
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.302925,10.758467,8.530696
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.762597,9.585813,7.174205
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.722826,10.48306,7.602943
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.596449,9.510621,7.053535
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.173469,10.165179,8.169324
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.596449,8.951827,6.774138
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.417684,8.99653,6.707107
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.322326,10.590175,7.9562505
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.657819,10.739849,8.198834
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.637592,9.160206,6.898899
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.596449,9.709416,7.1529325
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.927874,9.596647,7.2622605
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.417684,9.47216,6.944922
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.053903,10.476069,8.264986
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.964265,10.43861,8.2014375
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.596449,8.86393,6.7301895
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.565226,8.803618,6.684422
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.543406,8.636933,6.5901695
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.364925,9.338642,6.8517835
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.441434,8.553573,5.9975035
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.596449,8.941947,6.769198
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.440238,9.052024,6.746131
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.587904,9.044503,6.8162035
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.481347,8.396291,5.938819
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.596449,8.538224,6.5673365
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.596449,9.007645,6.802047
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.480649,9.242677,7.361663
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.116579,8.672169,6.394374
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.975419,8.817798,6.8966085
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.596449,8.479022,6.5377355
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.417684,9.625091,7.0213875
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.424758,9.265453,6.8451055
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.497182,9.84125,8.169216
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.981843,9.517818,7.2498305
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.535557,10.725274,8.6304155
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.564924,10.062335,7.8136295
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.8191,9.994303,8.4067015
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.351032,10.566881,8.4589565
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.596449,9.745207,7.170828
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.258941,11.196206,8.7275735
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.551681,11.033299,9.29249
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.438035,9.671934,7.0549845
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.205855,9.752595,7.479225
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.081081,10.152887,8.116984
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.596449,9.385978,6.9912135
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.055836,9.855503,7.9556695
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.61993,10.36163,7.99078
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.596449,10.407835,7.502142
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.676556,10.228199,7.4523775
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.381228,9.945946,7.663587
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.950497,9.879726,7.4151115
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.105197,10.567788,8.3364925
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.596449,10.116165,7.356307
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.596449,9.61718,7.1068145
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.235349,10.417181,7.826265
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.286332,10.509464,7.897898
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.9754,9.727663,7.3515315
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.405816,10.378271,8.3920435
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.770733,10.329013,8.549873
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.596449,10.017563,7.307006
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.597309,10.055115,7.326212
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.954168,6.453217,4.7036925
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.136065,7.26504,5.2005525
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.013274,8.380959,5.6971165
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.236067,8.427419,5.331743
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.77957,8.620247,5.6999085
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.013274,9.209253,6.1112635
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.013274,8.917605,5.9654395
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",3.644367,8.778772,6.2115695
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.417684,9.472995,6.9453395
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",3.634317,8.774586,6.2044515
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.044531,8.610745,6.327638
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.151211,9.183199,6.667205
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.706022,7.493795,5.0999085
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.292053,8.865959,6.579006
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.542723,8.74209,6.1424065
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.596449,8.529344,6.5628965
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.77407,9.153837,6.4639535
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.471986,8.900083,6.6860345
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.526824,8.544737,6.0357805
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.679217,8.527831,6.103524
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.272492,8.380738,6.326615
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.746187,9.162298,6.4542425
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.417684,8.880388,6.649036
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.134222,8.833221,5.9837215
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.417684,9.217952,6.817818
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.622509,8.686628,6.6545685
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.557262,8.837507,6.1973845
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.747504,8.513313,6.1304085
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.308828,8.649201,6.4790145
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.417684,9.317393,6.8675385
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.647906,8.620237,6.1340715
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.814843,8.364989,6.589916
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.410496,8.92789,6.669193
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.922049,8.328442,6.1252455
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.428307,8.382127,6.405217
