"","sample","tissue","endometriosis","severity","p243417_at","p227978_s_at","p227977_at","p234977_at","ZADH2"
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.540443,8.008711,7.760021,5.579486,6.47216525
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.932249,8.950138,8.169686,6.704166,7.18905975
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.501174,6.552871,6.036197,4.709237,5.44986975
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.642967,7.269152,5.775602,5.077047,5.691192
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.550658,6.528713,6.060771,4.823477,5.24090475
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.793499,4.393002,5.469577,3.152304,4.2020955
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.544555,6.281617,6.59004,4.29177,5.4269955
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.205678,5.092425,5.264354,4.793115,4.588893
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.550658,5.070262,5.469577,3.336126,4.35665575
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.48254,5.200543,5.193368,2.981598,3.96451225
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.588507,7.159433,5.903904,4.743097,5.59873525
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.743282,5.403186,4.884823,3.853209,4.721125
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.550658,5.070262,5.469577,4.818565,4.7272655
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.368597,5.48456,5.61168,3.336126,4.70024075
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.002691,6.809202,5.724086,4.356835,5.2232035
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.712147,5.070262,5.467141,3.336126,4.646419
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.917931,5.456285,5.469577,4.102649,4.4866105
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.651747,8.587791,7.787357,6.253055,7.3199875
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.187807,6.528713,5.795588,4.776212,5.32208
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.080687,5.399864,5.469577,3.336126,4.5715635
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.350224,7.556132,7.147493,5.339072,6.34823025
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.808674,5.820653,5.724086,3.510597,4.9660025
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.425226,5.176246,5.174794,3.005658,4.445481
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.647258,5.070262,5.694797,3.934992,4.83682725
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.540443,5.543871,4.744365,3.54074,4.59235475
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.228474,5.200543,5.724086,3.652808,4.45147775
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.86775,6.955879,7.230524,5.708748,6.44072525
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.411612,5.691078,6.180655,4.70391,4.99681375
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.459772,6.288029,5.724086,4.312664,5.19613775
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.540963,5.162596,5.469577,3.336126,4.6273155
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.719807,4.999185,5.469577,2.981598,4.29254175
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.057022,5.200543,5.469577,3.653596,4.8451845
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.420777,5.070262,5.715396,3.66458,4.46775375
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.414075,5.603243,5.947619,3.562141,4.8817695
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.353881,5.398013,5.724086,3.326977,4.70073925
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.62091,5.308318,5.477903,3.336126,4.68581425
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.642967,7.349644,5.925407,5.008322,5.731585
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.588507,5.614648,6.511354,4.443379,5.289472
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.551488,7.355921,6.628094,5.061281,6.399196
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.588507,6.054301,5.993462,4.842923,5.36979825
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.642967,7.653377,6.633706,5.198503,6.03213825
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.553855,8.230278,7.708835,5.576482,7.0173625
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.95651,7.328648,6.602566,5.017981,5.97642625
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.013452,7.515172,7.025705,4.901119,6.113862
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.749957,7.94475,6.754944,5.417978,6.21690725
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.905508,8.644924,7.935787,5.947425,7.358411
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.314457,7.437246,6.502654,5.08335,6.33442675
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.130804,8.210759,7.448097,5.508786,6.8246115
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.822017,7.544714,5.724086,4.343433,5.3585625
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.588507,7.456644,6.454451,4.823477,5.83076975
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.729027,8.95159,8.159557,6.932581,7.69318875
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.363744,9.034372,8.25791,6.711692,7.5919295
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.726055,9.080529,8.221579,6.662081,7.672561
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.091522,8.799205,7.861945,6.628406,7.3452695
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.849978,8.799437,8.073503,6.925453,7.66209275
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.290664,9.508213,8.539096,7.109312,7.86182125
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.39199,9.113568,8.121307,6.717525,7.5860975
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.181928,9.022924,8.132955,6.783288,7.53027375
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.653019,8.960191,8.298169,6.972157,7.720884
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.48907,9.240258,7.884093,6.379805,7.2483065
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.454574,8.937931,8.063624,6.617477,7.5184015
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.753732,8.929086,7.980522,6.351952,7.253823
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.94874,8.095632,7.719238,5.265727,7.00733425
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.145004,9.123945,8.247644,6.661281,7.5444685
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.999915,9.200696,7.982039,7.164813,7.58686575
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.773019,8.099994,7.111891,5.907681,6.72314625
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.406743,8.322849,7.367494,5.469088,6.6415435
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.739885,8.078798,7.478544,6.146206,6.86085825
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.69906,7.623453,6.846967,5.188041,6.08938025
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.931127,6.082675,5.724086,4.04533,4.9458045
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.540443,6.999654,6.534241,4.63457,5.677227
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.64334,7.769121,7.223971,5.181456,6.204472
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.540443,6.654235,5.547571,4.534401,5.3191625
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.642967,6.6559,6.59655,4.689181,5.6461495
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.657068,5.070262,5.322384,3.970856,4.7551425
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.540443,5.560929,5.558641,4.485289,5.0363255
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.962572,7.496183,7.163836,5.390882,6.50336825
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.643187,5.594869,6.347575,4.335189,5.230205
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.114815,7.178066,6.753358,4.823477,5.967429
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.445731,7.132005,6.619804,5.061281,5.81470525
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.540443,7.25736,5.837685,4.962873,5.64959025
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.645353,5.433028,5.724086,4.539135,5.0854005
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.588507,5.200543,6.513378,4.698563,5.25024775
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.588507,7.472138,7.019576,4.962937,6.0107895
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.578009,7.872129,6.641796,5.488738,6.395168
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.791483,6.734862,7.15318,5.061281,5.9352015
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.550658,5.200543,5.469577,4.823477,4.76106375
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.071595,6.339391,5.724086,4.577314,5.4280965
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.597729,6.790877,5.999842,5.157079,5.63638175
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.672773,7.584422,6.971563,5.669936,6.2246735
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.696411,5.070262,5.724086,3.339197,4.707489
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.654416,7.628109,6.911427,5.583949,6.19447525
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.770471,7.27991,6.160508,5.15969,5.59264475
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.481218,6.528713,6.077043,5.061281,5.28706375
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.744071,7.037649,6.503433,5.122829,6.1019955
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.464487,7.642816,7.091038,5.532158,6.43262475
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.28371,8.44816,7.967419,5.390617,6.7724765
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.643187,8.239225,7.994338,5.345906,6.555664
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.886525,9.269011,8.65256,5.935227,7.18583075
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.110244,8.910487,8.064901,5.906199,6.99795775
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.927975,9.213842,8.863845,6.323952,7.3324035
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.588507,8.383116,8.0779,4.823477,6.46825
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.068471,7.818522,8.383713,5.053811,6.58112925
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.301913,7.084164,7.149832,5.187137,6.6807615
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.302695,8.319867,8.002292,6.426251,7.51277625
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.391671,8.844427,8.121592,6.382654,7.685086
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.77974,7.890542,7.36372,5.559303,6.89832625
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.957882,8.003309,7.633318,5.504749,6.7748145
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.286446,8.534627,7.914123,6.205119,7.48507875
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.876547,8.111364,7.451886,5.662249,7.0255115
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.159033,8.371736,7.763798,5.989702,7.32106725
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.843758,8.287237,7.906501,5.706598,6.6860235
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.942466,8.192547,7.440071,5.942029,7.12927825
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.200018,7.221888,6.433606,5.020626,5.9690345
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.383325,9.2806,8.280766,6.841409,7.696525
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.874703,8.844309,7.525663,5.411399,7.1640185
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.279373,9.529419,8.601766,6.775913,8.04661775
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.029768,8.633346,7.824905,6.056299,7.3860795
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.593837,9.05432,8.184457,6.022523,7.46378425
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.31534,8.577298,8.036799,6.130056,7.51487325
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.614596,7.481541,6.908022,5.311516,6.32891875
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.31743,8.870833,8.06451,5.993441,7.3115535
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.194287,8.139199,7.993178,6.173229,7.37497325
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.30505,8.86213,7.677243,6.115666,6.99002225
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.932251,8.693144,8.402332,6.787175,7.7037255
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.588507,6.409493,5.469577,3.336126,4.95092575
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.866091,9.183914,8.228168,6.363554,7.66043175
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.406494,9.069429,8.106711,6.433301,7.25398375
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.450463,8.842466,7.744848,6.283966,7.33043575
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.753249,8.578624,7.651286,6.164576,6.78693375
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.677496,8.503179,7.94716,5.715279,6.9607785
