"","sample","tissue","endometriosis","severity","p209434_s_at","p209433_s_at","p235833_at","PPAT"
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.408305,3.4935,3.895507,3.93243733333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.218528,3.4935,5.285334,4.332454
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.853054,3.745289,3.505858,4.03473366666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.349751,3.153564,3.534526,3.67928033333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.542206,3.825111,4.32949,4.56560233333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.131553,3.677864,3.519836,4.109751
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.913571,3.825111,3.985917,4.57486633333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.983286,5.050832,4.498261,5.510793
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.570467,3.478764,3.534526,4.19458566666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.527855,3.498337,4.058365,4.361519
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.767036,5.593745,3.668688,5.34315633333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.043436,3.812426,4.208724,4.354862
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.218528,4.026487,3.312445,3.85248666666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.880117,3.153564,3.793316,4.27566566666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.893909,5.695244,3.27572,4.95495766666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.131904,5.77218,3.514094,5.13939266666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.062383,5.786401,3.771362,5.54004866666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.129339,3.939993,3.871312,4.64688133333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.658085,4.41431,3.792039,4.95481133333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.509988,6.644967,3.636736,5.93056366666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.094005,6.052556,4.156702,5.76775433333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.181315,7.536266,4.95191,6.556497
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.237414,5.779017,3.933725,5.650052
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.429825,6.570269,3.88904,5.62971133333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.237983,5.252167,4.85352,5.78122333333333
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.107097,6.564396,4.328087,5.99986
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.457426,7.281675,4.739036,6.49271233333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.672367,6.36313,3.371623,5.46904
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.255,6.384268,3.71996,5.78640933333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.852853,7.012739,3.312445,5.72601233333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.377552,7.541959,2.941661,5.953724
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.4301,7.4136,3.423223,5.42230766666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.678365,7.050401,3.983861,6.23754233333333
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.491625,7.146401,3.468224,6.03541666666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.436977,4.110036,3.119515,4.222176
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.503397,4.824158,3.534526,4.62069366666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.403803,5.650476,3.930547,5.32827533333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.757087,3.164197,3.07292,3.66473466666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.212951,3.975655,3.282583,4.157063
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.757087,5.082682,2.619848,4.15320566666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.49808,4.437026,3.534526,4.82321066666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.192772,3.154716,4.622587,4.32335833333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.719329,4.020346,3.312445,4.01737333333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.858826,3.153564,5.442658,4.485016
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.537491,3.336986,3.534526,3.803001
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.284727,5.267051,2.565759,4.70584566666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.757087,4.741442,3.534526,4.34435166666667
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.436977,5.473242,2.986799,4.63233933333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.365252,3.153564,3.692037,4.07028433333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.95176,3.810129,3.312445,3.69144466666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.436977,5.762089,3.839841,5.012969
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.757087,3.301126,3.974022,4.010745
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.000944,5.695967,3.119258,4.938723
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.566844,5.513215,2.730189,4.93674933333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.8165,4.723081,3.31574,4.285107
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.757087,3.4935,4.278343,4.17631
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.515948,5.095531,2.60507,4.40551633333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.757087,4.278017,2.522645,3.852583
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.879184,3.039099,3.672827,4.19703666666667
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.910515,3.153564,3.534526,3.86620166666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.589242,4.244924,3.372999,4.73572166666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.135213,3.4935,2.482239,3.70365066666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.711798,4.305762,4.149328,4.38896266666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.436977,3.153564,3.680142,4.09022766666667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.970311,3.4935,2.938504,4.134105
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.097946,5.479484,3.312445,4.62995833333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.757087,3.4935,2.788423,3.67967
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.028336,4.388823,3.312445,4.24320133333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.757087,5.088554,3.25555,4.36706366666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.903876,6.263124,3.254159,5.14038633333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.166531,5.169623,3.312445,4.549533
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.536472,4.627858,2.582055,4.248795
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.447443,5.292193,3.642663,4.79409966666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.473419,5.062383,3.474409,5.00340366666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.596082,6.991376,3.534526,5.707328
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.467699,6.116795,3.529562,5.371352
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.033443,5.701341,3.318572,5.35111866666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.436977,6.07985,4.508253,5.34169333333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.664977,6.290428,3.097126,5.01751033333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.398641,5.959863,3.36013,5.23954466666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.432786,3.156524,3.154255,4.247855
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.667587,6.003165,3.318428,5.32972666666667
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.253356,6.578634,3.031647,5.287879
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.116875,7.286988,4.18223,6.19536433333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.400487,6.972819,3.534526,5.635944
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.575118,7.292521,3.113025,5.66022133333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.746035,5.591948,4.104888,5.480957
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.972955,5.924069,3.534526,5.14385
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.27903,5.507101,3.624699,5.13694333333333
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.923315,3.767751,2.98852,4.559862
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.156221,5.531736,2.842604,4.510187
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.177598,5.175407,3.684423,5.012476
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.780124,7.683986,3.534526,5.99954533333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.481171,7.52521,4.063281,6.356554
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.952759,5.824121,3.534526,5.43713533333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.557792,7.326962,3.534526,5.80642666666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.354883,5.68261,3.242941,4.76014466666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.135817,7.072083,3.465576,5.55782533333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.261078,6.693372,4.038759,5.664403
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.057937,6.060551,4.431856,5.85011466666667
