"","sample","tissue","endometriosis","severity","p212082_s_at","p214002_at","MYL6"
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.428182,7.659568,11.043875
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.941101,7.50956,11.2253305
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",15.166895,7.231356,11.1991255
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.670427,7.179582,10.9250045
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.834203,7.584202,11.2092025
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",15.045663,7.433811,11.239737
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",15.04444,7.672859,11.3586495
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",15.032253,6.795919,10.914086
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.753913,6.932677,10.843295
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.545782,7.818805,11.1822935
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.60005,7.286015,10.9430325
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.480844,5.603773,10.5423085
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.144048,5.396287,10.2701675
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.300743,7.888126,11.5944345
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.012082,6.294148,10.653115
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.556748,6.853979,11.2053635
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.030629,7.495787,11.263208
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.23913,7.488038,11.363584
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.93909,6.304355,10.6217225
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.246881,7.43527,11.3410755
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.171782,6.202728,10.687255
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.28446,5.879056,10.581758
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.081341,5.317856,10.1995985
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.21635,7.011767,11.1140585
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.215459,5.793235,10.504347
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.279678,5.7964,10.538039
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.580208,8.056247,11.3182275
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",15.140255,7.990849,11.565552
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.830069,7.289228,11.0596485
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.610897,7.223562,10.9172295
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.907642,7.980341,10.9439915
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.431818,7.375424,10.903621
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.835364,7.879979,11.3576715
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.700878,7.589859,11.1453685
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.795609,7.294332,11.0449705
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.920394,7.96927,11.444832
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.19009,7.289305,10.7396975
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.769973,7.208561,10.989267
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.504935,8.161157,11.333046
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.805096,7.306934,11.056015
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.984811,7.851966,11.4183885
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.447629,7.517251,10.98244
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.837483,7.490454,10.6639685
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.778675,8.565,11.1718375
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.773393,7.646996,11.2101945
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.756924,6.90515,10.831037
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",15.137927,7.696157,11.417042
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.248585,7.823201,11.035893
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.810182,7.395917,11.1030495
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.98441,7.752078,11.368244
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.66706,7.523799,11.0954295
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.989418,8.548756,11.769087
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.774137,7.394795,11.084466
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.735018,8.264426,11.499722
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.871948,7.446944,11.159446
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.356633,6.900875,10.628754
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.138137,7.143541,10.640839
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.983081,8.00253,11.4928055
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.000443,8.372316,11.6863795
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.715302,8.256797,11.4860495
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.018588,8.616483,11.8175355
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.646415,8.26316,11.4547875
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.810311,8.454664,11.6324875
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.978957,8.102841,11.540899
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",15.689379,9.362052,12.5257155
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",15.256188,8.08385,11.670019
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",14.962693,7.555501,11.259097
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",15.437175,8.230991,11.834083
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",15.094589,8.236858,11.6657235
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",15.208192,8.207097,11.7076445
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",15.113456,7.159127,11.1362915
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",15.31867,8.4558,11.887235
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",15.435322,7.490887,11.4631045
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",15.191613,8.045251,11.618432
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",15.118054,7.212393,11.1652235
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.034978,5.399112,10.217045
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.04325,6.297216,10.670233
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.966468,6.988942,10.977705
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",14.951316,7.324735,11.1380255
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.109551,7.031441,11.070496
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",15.309858,7.371996,11.340927
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.923426,8.689863,11.8066445
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.277886,6.79976,11.038823
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",15.426218,8.782044,12.104131
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.206958,7.358761,11.2828595
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",15.321706,8.758074,12.03989
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",15.082226,7.963659,11.5229425
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.078022,6.573355,10.8256885
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.245638,7.084581,11.1651095
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.11099,6.907342,11.009166
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.24794,7.350584,11.299262
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",15.294927,6.853586,11.0742565
