"","sample","tissue","endometriosis","severity","p218382_s_at","p218381_s_at","U2AF2"
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.988029,10.942665,8.965347
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.772462,11.090261,9.4313615
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.847624,10.98331,8.915467
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.40192,11.249963,9.3259415
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.084652,11.164288,9.62447
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.453294,11.508442,9.980868
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.065369,11.534567,9.299968
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.938652,11.208068,9.57336
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.493836,10.375031,8.9344335
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.226456,11.535762,9.381109
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.696572,11.510837,9.6037045
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.769779,11.092919,9.431349
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.949381,11.546508,10.2479445
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.36872,11.623565,9.9961425
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.870567,10.219583,8.045075
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.441073,11.105588,9.2733305
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.668512,11.660093,9.6643025
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.629802,10.376483,8.5031425
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.609241,11.490839,9.55004
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.279587,11.114627,9.197107
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.631622,11.234193,8.9329075
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.717024,11.36662,9.041822
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.825308,11.414686,9.119997
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.59541,10.942101,8.7687555
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.890307,11.125875,9.508091
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.606707,11.373148,9.4899275
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.504344,11.560674,9.532509
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.958618,10.897039,8.9278285
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.484514,11.08786,9.286187
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.374392,11.307112,9.340752
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.586321,11.365527,9.475924
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.421534,10.866773,9.1441535
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.562409,11.119525,9.340967
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.398482,11.358033,9.3782575
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.059135,10.554466,8.8068005
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.962019,10.130354,8.0461865
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.260034,11.074081,9.1670575
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.116037,10.475647,8.795842
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.219067,10.322633,8.77085
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.823212,10.798063,8.8106375
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.639843,10.662067,9.150955
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.629802,10.669781,8.6497915
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.897985,10.734025,8.816005
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.156005,10.458576,7.8072905
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.629802,10.187711,8.4087565
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.196679,11.011183,9.603931
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.397052,11.261595,9.8293235
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.641946,9.678843,7.1603945
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.712901,10.030623,7.371762
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.92667,10.105222,7.515946
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.948773,9.702454,7.8256135
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.622195,10.032221,7.827208
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.866538,9.934547,7.9005425
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.927518,10.065053,7.9962855
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.7449,9.815964,7.780432
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.952331,9.687431,7.819881
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.261682,9.713892,6.987787
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.17863,9.904131,8.0413805
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.064574,9.763309,7.9139415
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.171376,10.140997,7.6561865
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.159789,9.948859,8.054324
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.333271,9.838408,8.0858395
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.826864,10.493268,9.160066
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.96087,10.273076,8.616973
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.040551,10.66671,8.8536305
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.793917,11.068195,9.431056
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.8703,11.520415,9.6953575
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.942032,10.742661,9.3423465
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.854519,11.032901,9.44371
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.152755,11.10161,9.6271825
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.902264,10.627341,8.7648025
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.306229,11.345651,9.32594
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.547112,11.249071,9.3980915
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.913931,10.86369,8.8888105
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.629802,11.045244,8.837523
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.984319,10.868953,8.926636
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.801444,11.042868,8.922156
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.30189,10.750052,9.025971
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.022109,11.519062,9.2705855
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.543943,11.416508,8.4802255
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.358225,11.225465,9.291845
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.842131,10.799781,8.820956
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.629802,10.651777,8.6407895
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.405983,11.515764,9.9608735
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.126445,11.109698,9.1180715
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.9111,10.860455,8.8857775
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.425391,11.122252,8.7738215
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.574791,11.048889,9.31184
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.629802,11.06628,8.848041
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.302537,10.937173,9.119855
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.553658,11.21337,9.383514
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.686873,10.73468,9.2107765
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.532525,10.211849,8.372187
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.518554,10.305807,7.9121805
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.509887,10.146811,8.328349
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.150495,10.291552,8.2210235
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.495217,10.254894,8.3750555
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.86611,10.27354,8.069825
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.536422,10.010864,8.273643
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.160296,10.60713,8.383713
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.867724,10.330587,7.5991555
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.733001,10.345025,8.039013
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.140184,9.346268,7.743226
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.341147,10.343344,7.8422455
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.002344,10.672683,8.3375135
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.632493,9.255556,7.4440245
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.767324,10.364769,8.0660465
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.420897,10.27444,7.8476685
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.308399,10.767178,8.5377885
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.80704,10.656231,7.7316355
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.809294,10.245446,8.02737
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.375337,9.388099,7.881718
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.95144,9.811875,7.8816575
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.552101,9.999102,8.2756015
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.902912,10.873662,7.888287
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.005071,9.4373,7.7211855
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.505973,9.979528,7.2427505
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.883894,10.429235,8.1565645
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.898159,9.2992,7.5986795
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.279376,10.126997,7.7031865
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.629802,10.177667,8.4037345
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.065879,10.856506,8.4611925
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.285306,10.406902,8.346104
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.629418,9.742302,8.18586
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.471287,9.78455,8.1279185
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.571251,10.125143,8.348197
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.306997,9.936317,8.121657
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.478178,10.133558,8.305868
