"","sample","tissue","endometriosis","severity","p1558331_at","p220605_s_at","SIRT2"
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.689161,8.800889,7.745025
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.128521,7.846037,6.987279
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.233584,9.596477,8.4150305
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.549611,9.225729,7.88767
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.463882,6.956512,6.210197
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.969089,8.678255,7.823672
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.655683,8.48811,8.0718965
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.500289,7.397549,6.448919
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.945877,8.47178,7.7088285
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.552676,9.02438,8.288528
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.242506,7.67145,7.456978
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.986449,8.758166,7.3723075
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.391023,7.858821,7.624922
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.259481,7.791423,7.025452
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.225517,8.79919,7.5123535
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.744326,8.236035,6.9901805
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.598076,8.881028,7.739552
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.912114,7.375945,6.6440295
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.085614,8.561517,7.8235655
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.686333,8.495792,7.0910625
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.463882,8.853559,7.1587205
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.560722,8.699447,7.1300845
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.120323,8.587872,7.8540975
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.503877,7.89101,7.6974435
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.547003,8.273315,7.910159
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.060652,7.354926,6.707789
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.666096,8.60122,7.633658
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.256922,8.060498,7.15871
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.096712,6.839705,5.9682085
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.100563,8.112303,7.106433
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.464289,8.208176,6.8362325
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.365945,8.035839,6.200892
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.072765,7.779839,6.926302
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.613702,6.644874,6.129288
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.218486,6.772098,6.495292
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.270512,8.334204,7.802358
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.275847,8.508241,6.892044
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.519916,6.294082,5.406999
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.290676,6.725815,5.0082455
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.624993,6.380714,5.5028535
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.126086,6.382412,5.254249
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.737139,6.621992,5.1795655
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.613439,6.506105,6.059772
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.57535,6.542576,5.558963
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.754863,6.403618,5.0792405
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.29193,6.878692,5.085311
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.101849,6.461974,5.2819115
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.564652,6.908076,4.736364
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.870847,6.535344,5.2030955
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.628672,7.245741,5.9372065
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.026825,6.573894,4.8003595
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.109776,6.320205,4.7149905
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.562025,7.928559,7.245292
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.76216,7.519112,6.640636
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.401864,7.886283,6.1440735
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.463882,8.519918,6.9919
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.4294,9.037163,8.2332815
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.005718,8.597014,7.301366
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.463882,8.011423,6.7376525
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.429077,8.892076,7.6605765
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.173604,8.338012,7.255808
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.309016,8.647422,7.978219
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.218401,8.289573,7.753987
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.463882,7.36312,6.413501
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.792624,8.394052,7.593338
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.90896,7.890023,6.8994915
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.741689,7.959921,6.850805
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.219969,8.018288,7.6191285
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.675924,7.901577,7.2887505
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.75222,8.527696,7.139958
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.631682,7.99243,7.312056
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.383876,7.177062,6.780469
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.313599,7.564717,6.939158
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.485991,8.956132,8.2210615
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.36079,8.220475,7.2906325
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.611376,7.773432,6.692404
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.557309,8.22029,6.8887995
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.234749,7.627672,7.4312105
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.410737,7.362172,6.3864545
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.061936,8.037372,7.049654
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.674597,8.375794,7.0251955
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.281349,8.078614,7.1799815
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.194209,7.674928,6.9345685
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.134723,6.677227,5.905975
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.877806,6.052827,5.4653165
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.271872,6.042415,5.1571435
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.350215,6.546767,5.948491
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.371529,6.660028,5.5157785
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.030541,7.249547,6.140044
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.733083,7.765929,6.249506
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.463882,6.657534,6.060708
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.261074,6.025637,5.6433555
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.855673,5.622838,5.7392555
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.297166,6.626404,5.961785
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.523335,5.945087,5.234211
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.346506,6.372417,5.8594615
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.350215,5.62895,5.4895825
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.177771,6.06662,5.6221955
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.15904,6.343218,5.751129
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.463882,6.32993,5.896906
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.678307,5.587739,5.133023
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.990131,5.835016,4.9125735
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.849717,5.955922,5.9028195
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.500683,6.074166,5.7874245
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.463882,6.188736,5.826309
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.356027,6.254571,6.305299
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.493258,6.143545,6.3184015
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.463882,5.801842,5.632862
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.454992,6.10055,5.777771
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.713842,6.100778,5.40731
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.375432,6.26553,5.820481
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.158744,5.874166,5.016455
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.241966,5.78447,5.513218
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.393007,5.980873,5.68694
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.373451,6.228154,6.3008025
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.049018,5.947962,5.49849
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.350215,6.505288,5.9277515
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.848398,6.103492,5.975945
